t,count
1407236253,0
1407236255,0
1407236258,0
1407236259,0
1407236261,0
1407236263,0
1407236265,0
1407236267,0
1407236269,0
1407236271,0
1407236273,0
1407236275,0
1407236277,0
1407236280,0
1407236281,0
1407236283,0
1407236285,0
1407236287,0
1407236291,0
1407236292,0
1407236293,0
1407236295,0
1407236297,0
1407236299,0
1407236301,0
1407236303,0
1407236305,0
1407236307,0
1407236313,0
1407236313,0
1407236313,0
1407236315,0
1407236317,0
1407236319,0
1407236321,0
1407236323,0
1407236325,0
1407236327,0
1407236329,0
1407236331,0
