timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407236252,,,,,,,,13583
1407236253,108781,108799,0.011713,109392,0.018817,0.034620,0.126400,98932
1407236254,,,,,,,,98652
1407236255,266457,266471,0.008824,268291,0.009393,0.014940,0.047953,66033
1407236256,,,,,,,,93280
1407236257,,,,,,,,94524
1407236258,465415,465427,0.008055,466168,0.006459,0.010703,0.031999,76552
1407236259,615058,615071,0.007644,615837,0.002913,0.009427,0.018450,85069
1407236260,,,,,,,,98099
1407236261,815335,815351,0.007543,816070,0.002753,0.009044,0.016813,99948
1407236262,,,,,,,,95609
1407236263,934050,934062,0.007546,934534,0.002763,0.009074,0.016816,19013
1407236264,,,,,,,,96979
1407236265,1125652,1125666,0.007508,1126343,0.002724,0.008708,0.016444,100630
1407236266,,,,,,,,84410
1407236267,1305847,1305860,0.007441,1306544,0.002358,0.008301,0.015347,95932
1407236268,,,,,,,,17051
1407236269,1402031,1402042,0.007400,1402621,0.002204,0.007887,0.014927,77886
1407236270,,,,,,,,85415
1407236271,1581458,1581472,0.007356,1582089,0.002021,0.007848,0.012368,95012
1407236272,,,,,,,,81417
1407236273,1759129,1759142,0.007323,1759862,0.001395,0.007816,0.012368,89497
1407236274,,,,,,,,94251
1407236275,1937376,1937376,0.007330,1937376,0.001399,0.007805,0.014604,87800
1407236276,,,,,,,,87957
1407236277,2096176,2096189,0.007326,2096864,0.001421,0.007779,0.014927,73069
1407236278,,,,,,,,37434
1407236280,2144427,2144437,0.007329,2145015,0.001421,0.007765,0.014927,55522
1407236281,2259409,2259420,0.007339,2259998,0.001418,0.007779,0.014927,68896
1407236282,,,,,,,,88592
1407236283,2432344,2432355,0.007321,2432965,0.001349,0.007742,0.012368,86706
1407236284,,,,,,,,84966
1407236285,2608229,2608239,0.007315,2608822,0.001342,0.007735,0.012368,79358
1407236286,,,,,,,,85614
1407236287,2782133,2782146,0.007308,2782704,0.001334,0.007726,0.012368,97174
1407236288,,,,,,,,68461
1407236289,,,,,,,,21598
1407236291,2881281,2881294,0.007316,2881786,0.001364,0.007735,0.013678,917
1407236292,2882196,2882207,0.007317,2882768,0.001364,0.007742,0.013678,92437
1407236293,3044355,3044368,0.007288,3045047,0.001305,0.007718,0.012116,75565
1407236294,,,,,,,,94062
1407236295,3222415,3222428,0.007283,3223072,0.001305,0.007715,0.012116,83745
1407236296,,,,,,,,83697
1407236297,3365697,3365707,0.007278,3367605,0.001281,0.007718,0.011745,58644
1407236298,,,,,,,,88245
1407236299,3534060,3534068,0.007297,3534504,0.001308,0.007738,0.012116,84825
1407236300,,,,,,,,82799
1407236301,3683448,3683448,0.007297,3683448,0.001305,0.007740,0.012116,57639
1407236302,,,,,,,,82783
1407236303,3832409,3832417,0.007277,3832903,0.000881,0.007744,0.012116,77364
1407236304,,,,,,,,88087
1407236305,4000407,4000416,0.007269,4000953,0.000850,0.007740,0.011745,72017
1407236306,,,,,,,,82368
1407236307,4155586,4155594,0.007251,4156090,0.000754,0.007735,0.010888,79535
1407236308,,,,,,,,89398
1407236309,,,,,,,,24936
1407236313,4307176,4307184,0.007256,4307684,0.000755,0.007737,0.010888,30806
1407236314,,,,,,,,89746
1407236315,4483789,4483799,0.007248,4484401,0.000734,0.007730,0.010517,89318
1407236316,,,,,,,,52530
1407236317,4605707,4605716,0.007247,4606217,0.000729,0.007722,0.010517,74443
1407236318,,,,,,,,81535
1407236319,4770194,4770203,0.007277,4770720,0.000847,0.007741,0.011274,80724
1407236320,,,,,,,,84308
1407236321,4949992,4950001,0.007276,4950647,0.000843,0.007741,0.011274,97777
1407236323,5000000,5000001,0.007280,5000001,0.000844,0.007744,0.011274,
1407236325,5000000,5000001,0.007280,5000001,0.000844,0.007744,0.011274,
1407236327,5000000,5000001,0.007280,5000001,0.000844,0.007744,0.011274,
1407236329,5000000,5000001,0.007280,5000001,0.000844,0.007744,0.011274,
1407236331,5000000,5000001,0.007280,5000001,0.000844,0.007744,0.011274,
