t,value
1407248723,{1407248722=2; total=2}
1407248725,{1407248724=3312; 1407248723=1355; total=4667}
1407248727,{1407248726=8326; 1407248725=6426; total=14752}
1407248729,{1407248728=18598; 1407248727=17171; total=35769}
1407248731,{1407248729=18814; 1407248730=20230; total=39044}
1407248733,{1407248732=23200; 1407248731=23457; total=46657}
1407248735,{1407248734=26401; 1407248733=26965; total=53366}
1407248737,{1407248736=29316; 1407248735=30770; total=60086}
1407248739,{1407248738=30049; 1407248737=30256; total=60305}
1407248741,{1407248740=24576; 1407248739=28049; total=52625}
1407248743,{1407248741=31167; 1407248742=29695; total=60862}
1407248745,{1407248743=31205; 1407248744=29155; total=60360}
1407248747,{1407248746=32679; 1407248745=27221; total=59900}
1407248749,{1407248748=33322; 1407248747=31107; total=64429}
1407248751,{1407248750=27808; 1407248749=31656; total=59464}
1407248753,{1407248751=27851; 1407248752=27970; total=55821}
1407248755,{1407248754=29902; 1407248753=25133; total=55035}
1407248757,{1407248756=31246; 1407248755=32638; total=63884}
1407248759,{1407248758=32662; 1407248757=30368; total=63030}
1407248761,{1407248760=33523; 1407248759=32252; total=65775}
1407248763,{1407248762=30879; 1407248761=30236; total=61115}
1407248765,{1407248764=31417; 1407248763=27400; total=58817}
1407248767,{1407248765=30359; 1407248766=33692; total=64051}
1407248769,{1407248767=32729; 1407248768=31240; total=63969}
1407248771,{1407248770=30741; 1407248769=30865; total=61606}
1407248773,{1407248771=32191; 1407248772=33025; total=65216}
1407248775,{1407248773=32053; 1407248774=33260; total=65313}
1407248777,{1407248776=29936; 1407248775=22555; total=52491}
1407248779,{1407248778=33613; 1407248777=29421; total=63034}
1407248781,{1407248780=31059; 1407248779=30308; total=61367}
1407248783,{1407248782=31447; 1407248781=31510; total=62957}
1407248785,{1407248783=30448; 1407248784=30763; total=61211}
1407248787,{1407248785=30814; 1407248786=30725; total=61539}
1407248789,{1407248788=28169; 1407248787=23664; total=51833}
1407248791,{1407248789=24668; 1407248790=28410; total=53078}
1407248793,{1407248791=32610; 1407248792=30137; total=62747}
1407248795,{1407248793=31435; 1407248794=27977; total=59412}
1407248797,{1407248795=32342; 1407248796=30676; total=63018}
1407248799,{1407248797=31812; 1407248798=30978; total=62790}
1407248801,{1407248800=33008; 1407248799=27798; total=60806}
1407248803,{1407248801=29066; 1407248802=29817; total=58883}
1407248805,{1407248804=29060; 1407248803=30802; total=59862}
1407248807,{1407248806=31908; 1407248805=29918; total=61826}
1407248809,{1407248807=32869; 1407248808=32168; total=65037}
1407248811,{1407248810=31126; 1407248809=33055; total=64181}
1407248813,{1407248812=29535; 1407248811=31823; total=61358}
1407248815,{1407248814=32101; 1407248813=30198; total=62299}
1407248817,{1407248815=33530; 1407248816=13979; total=47509}
1407248819,{1407248817=22400; 1407248818=31194; total=53594}
1407248821,{1407248819=30271; 1407248820=30387; total=60658}
1407248823,{1407248821=28079; 1407248822=30163; total=58242}
1407248825,{1407248823=31407; 1407248824=24228; total=55635}
1407248827,{1407248825=26173; 1407248826=29890; total=56063}
1407248829,{1407248828=32439; 1407248827=33061; total=65500}
1407248831,{1407248829=31889; 1407248830=33267; total=65156}
1407248833,{1407248831=31633; 1407248832=30143; total=61776}
1407248835,{1407248833=29408; 1407248834=32001; total=61409}
1407248837,{1407248836=30148; 1407248835=33137; total=63285}
1407248839,{total=0}
1407248841,{total=0}
1407248843,{total=0}
1407248845,{total=0}
1407248847,{total=0}
1407248849,{total=0}
1407248851,{total=0}
1407248853,{total=0}
1407248855,{total=0}
1407248857,{total=0}
1407248859,{total=0}
1407248861,{total=0}
1407248863,{total=0}
1407248865,{total=0}
1407248867,{total=0}
1407248869,{total=0}
1407248871,{total=0}
1407248873,{total=0}
1407248875,{total=0}
1407248877,{total=0}
1407248879,{total=0}
1407248881,{total=0}
1407248883,{total=0}
1407248885,{total=0}
1407248887,{total=0}
1407248889,{total=0}
1407248891,{total=0}
1407248893,{total=0}
1407248895,{total=0}
1407248897,{total=0}
1407248899,{total=0}
1407248901,{total=0}
1407248903,{total=0}
1407248905,{total=0}
1407248907,{total=0}
1407248909,{total=0}
1407248911,{total=0}
1407248913,{total=0}
1407248915,{total=0}
1407248917,{total=0}
1407248919,{total=0}
1407248921,{total=0}
1407248923,{total=0}
1407248925,{total=0}
1407248927,{total=0}
1407248929,{total=0}
1407248931,{total=0}
1407248933,{total=0}
1407248935,{total=0}
1407248937,{total=0}
1407248939,{total=0}
1407248941,{total=0}
1407248943,{total=0}
1407248945,{total=0}
1407248947,{total=0}
1407248949,{total=0}
1407248951,{total=0}
1407248953,{total=0}
1407248955,{total=0}
1407248957,{total=0}
1407248959,{total=0}
1407248961,{total=0}
1407248963,{total=0}
1407248965,{total=0}
1407248967,{total=0}
1407248969,{total=0}
1407248971,{total=0}
1407248973,{total=0}
1407248975,{total=0}
1407248977,{total=0}
1407248979,{total=0}
1407248981,{total=0}
1407248983,{total=0}
1407248985,{total=0}
1407248987,{total=0}
1407248989,{total=0}
1407248991,{total=0}
1407248993,{total=0}
1407248995,{total=0}
1407248997,{total=0}
1407248999,{total=0}
1407249001,{total=0}
1407249003,{total=0}
1407249005,{total=0}
1407249007,{total=0}
1407249009,{total=0}
1407249011,{total=0}
1407249013,{total=0}
1407249015,{total=0}
1407249017,{total=0}
1407249019,{total=0}
1407249021,{total=0}
1407249023,{total=0}
1407249025,{total=0}
1407249027,{total=0}
1407249029,{total=0}
1407249031,{total=0}
1407249033,{total=0}
1407249035,{total=0}
1407249037,{total=0}
1407249039,{total=0}
1407249041,{total=0}
1407249043,{total=0}
1407249045,{total=0}
1407249047,{total=0}
1407249049,{total=0}
1407249051,{total=0}
1407249053,{total=0}
1407249055,{total=0}
1407249057,{total=0}
1407249059,{total=0}
1407249061,{total=0}
1407249063,{total=0}
1407249065,{total=0}
1407249067,{total=0}
1407249069,{total=0}
1407249071,{total=0}
1407249073,{total=0}
1407249075,{total=0}
1407249077,{total=0}
1407249079,{total=0}
1407249081,{total=0}
1407249083,{total=0}
1407249085,{total=0}
1407249087,{total=0}
1407249089,{total=0}
1407249091,{total=0}
1407249093,{total=0}
1407249095,{total=0}
1407249097,{total=0}
1407249099,{total=0}
1407249101,{total=0}
1407249103,{total=0}
1407249105,{total=0}
1407249107,{total=0}
1407249109,{total=0}
1407249111,{total=0}
1407249113,{total=0}
1407249115,{total=0}
1407249117,{total=0}
1407249119,{total=0}
1407249121,{total=0}
1407249123,{total=0}
1407249125,{total=0}
1407249127,{total=0}
1407249129,{total=0}
1407249131,{total=0}
1407249133,{total=0}
1407249135,{total=0}
1407249137,{total=0}
1407249139,{total=0}
1407249141,{total=0}
1407249143,{total=0}
1407249145,{total=0}
1407249147,{total=0}
1407249149,{total=0}
1407249151,{total=0}
1407249153,{total=0}
1407249155,{total=0}
1407249157,{total=0}
1407249159,{total=0}
1407249161,{total=0}
1407249163,{total=0}
1407249165,{total=0}
1407249167,{total=0}
1407249169,{total=0}
1407249171,{total=0}
1407249173,{total=0}
1407249175,{total=0}
1407249177,{total=0}
1407249179,{total=0}
1407249181,{total=0}
1407249183,{total=0}
1407249185,{total=0}
1407249187,{total=0}
1407249189,{total=0}
1407249191,{total=0}
1407249193,{total=0}
1407249195,{total=0}
1407249197,{total=0}
1407249199,{total=0}
1407249201,{total=0}
1407249203,{total=0}
1407249205,{total=0}
1407249207,{total=0}
1407249209,{total=0}
1407249211,{total=0}
1407249213,{total=0}
1407249215,{total=0}
1407249217,{total=0}
1407249219,{total=0}
1407249221,{total=0}
1407249223,{total=0}
1407249225,{total=0}
1407249227,{total=0}
1407249229,{total=0}
1407249231,{total=0}
1407249233,{total=0}
1407249235,{total=0}
1407249237,{total=0}
1407249239,{total=0}
1407249241,{total=0}
1407249243,{total=0}
1407249245,{total=0}
1407249247,{total=0}
1407249249,{total=0}
1407249251,{total=0}
1407249253,{total=0}
1407249255,{total=0}
1407249257,{total=0}
1407249259,{total=0}
1407249261,{total=0}
1407249263,{total=0}
1407249265,{total=0}
1407249267,{total=0}
1407249269,{total=0}
1407249271,{total=0}
1407249273,{total=0}
1407249275,{total=0}
1407249277,{total=0}
1407249279,{total=0}
1407249281,{total=0}
1407249283,{total=0}
1407249285,{total=0}
1407249287,{total=0}
1407249289,{total=0}
1407249291,{total=0}
1407249293,{total=0}
1407249295,{total=0}
1407249297,{total=0}
1407249299,{total=0}
1407249301,{total=0}
1407249303,{total=0}
1407249305,{total=0}
1407249307,{total=0}
1407249309,{total=0}
1407249311,{total=0}
1407249313,{total=0}
1407249315,{total=0}
1407249317,{total=0}
1407249319,{total=0}
1407249321,{total=0}
1407249323,{total=0}
1407249325,{total=0}
1407249327,{total=0}
1407249329,{total=0}
1407249331,{total=0}
1407249333,{total=0}
1407249335,{total=0}
1407249337,{total=0}
1407249339,{total=0}
1407249341,{total=0}
1407249343,{total=0}
1407249345,{total=0}
1407249347,{total=0}
1407249349,{total=0}
1407249351,{total=0}
1407249353,{total=0}
1407249355,{total=0}
1407249357,{total=0}
1407249359,{total=0}
1407249361,{total=0}
1407249363,{total=0}
1407249365,{total=0}
1407249367,{total=0}
1407249369,{total=0}
1407249371,{total=0}
1407249373,{total=0}
1407249375,{total=0}
1407249377,{total=0}
1407249379,{total=0}
1407249381,{total=0}
1407249383,{total=0}
1407249385,{total=0}
1407249387,{total=0}
1407249389,{total=0}
1407249391,{total=0}
1407249393,{total=0}
1407249395,{total=0}
1407249397,{total=0}
1407249399,{total=0}
1407249401,{total=0}
1407249403,{total=0}
1407249405,{total=0}
1407249407,{total=0}
1407249409,{total=0}
1407249411,{total=0}
1407249413,{total=0}
1407249415,{total=0}
1407249417,{total=0}
1407249419,{total=0}
1407249421,{total=0}
1407249423,{total=0}
1407249425,{total=0}
1407249427,{total=0}
1407249429,{total=0}
1407249431,{total=0}
1407249433,{total=0}
1407249435,{total=0}
1407249437,{total=0}
1407249439,{total=0}
