t,count
1407248723,1191
1407248725,9093
1407248727,29155
1407248729,61150
1407248731,97695
1407248733,140576
1407248735,188274
1407248737,235960
1407248739,288364
1407248741,334148
1407248743,386147
1407248745,436010
1407248747,488841
1407248749,540640
1407248751,588695
1407248753,636284
1407248755,686240
1407248757,737421
1407248759,788526
1407248761,840454
1407248763,891169
1407248765,942269
1407248767,994446
1407248769,1046768
1407248771,1100012
1407248773,1153816
1407248775,1197258
1407248777,1249694
1407248779,1301728
1407248781,1355245
1407248783,1409141
1407248785,1461583
1407248787,1506567
1407248789,1548823
1407248791,1598297
1407248793,1649303
1407248795,1700285
1407248797,1752296
1407248799,1803527
1407248801,1850353
1407248803,1902444
1407248805,1953203
1407248807,2007038
1407248809,2060470
1407248811,2113228
1407248813,2161415
1407248815,2213838
1407248817,2245603
1407248819,2296500
1407248821,2346804
1407248823,2399503
1407248825,2441558
1407248827,2494229
1407248829,2547079
1407248831,2599912
1407248833,2653304
1407248835,2705868
1407248837,2738067
1407248839,2738067
1407248841,2738067
1407248843,2738067
1407248845,2738067
1407248847,2738067
1407248849,2738067
1407248851,2738067
1407248853,2738067
1407248855,2738067
1407248857,2738067
1407248859,2738067
1407248861,2738067
1407248863,2738067
1407248865,2738067
1407248867,2738067
1407248869,2738067
1407248871,2738067
1407248873,2738067
1407248875,2738067
1407248877,2738067
1407248879,2738067
1407248881,2738067
1407248883,2738067
1407248885,2738067
1407248887,2738067
1407248889,2738067
1407248891,2738067
1407248893,2738067
1407248895,2738067
1407248897,2738067
1407248899,2738067
1407248901,2738067
1407248903,2738067
1407248905,2738067
1407248907,2738067
1407248909,2738067
1407248911,2738067
1407248913,2738067
1407248915,2738067
1407248917,2738067
1407248919,2738067
1407248921,2738067
1407248923,2738067
1407248925,2738067
1407248927,2738067
1407248929,2738067
1407248931,2738067
1407248933,2738067
1407248935,2738067
1407248937,2738067
1407248939,2738067
1407248941,2738067
1407248943,2738067
1407248945,2738067
1407248947,2738067
1407248949,2738067
1407248951,2738067
1407248953,2738067
1407248955,2738067
1407248957,2738067
1407248959,2738067
1407248961,2738067
1407248963,2738067
1407248965,2738067
1407248967,2738067
1407248969,2738067
1407248971,2738067
1407248973,2738067
1407248975,2738067
1407248977,2738067
1407248979,2738067
1407248981,2738067
1407248983,2738067
1407248985,2738067
1407248987,2738067
1407248989,2738067
1407248991,2738067
1407248993,2738067
1407248995,2738067
1407248997,2738067
1407248999,2738067
1407249001,2738067
1407249003,2738067
1407249005,2738067
1407249007,2738067
1407249009,2738067
1407249011,2738067
1407249013,2738067
1407249015,2738067
1407249017,2738067
1407249019,2738067
1407249021,2738067
1407249023,2738067
1407249025,2738067
1407249027,2738067
1407249029,2738067
1407249031,2738067
1407249033,2738067
1407249035,2738067
1407249037,2738067
1407249039,2738067
1407249041,2738067
1407249043,2738067
1407249045,2738067
1407249047,2738067
1407249049,2738067
1407249051,2738067
1407249053,2738067
1407249055,2738067
1407249057,2738067
1407249059,2738067
1407249061,2738067
1407249063,2738067
1407249065,2738067
1407249067,2738067
1407249069,2738067
1407249071,2738067
1407249073,2738067
1407249075,2738067
1407249077,2738067
1407249079,2738067
1407249081,2738067
1407249083,2738067
1407249085,2738067
1407249087,2738067
1407249089,2738067
1407249091,2738067
1407249093,2738067
1407249095,2738067
1407249097,2738067
1407249099,2738067
1407249101,2738067
1407249103,2738067
1407249105,2738067
1407249107,2738067
1407249109,2738067
1407249111,2738067
1407249113,2738067
1407249115,2738067
1407249117,2738067
1407249119,2738067
1407249121,2738067
1407249123,2738067
1407249125,2738067
1407249127,2738067
1407249129,2738067
1407249131,2738067
1407249133,2738067
1407249135,2738067
1407249137,2738067
1407249139,2738067
1407249141,2738067
1407249143,2738067
1407249145,2738067
1407249147,2738067
1407249149,2738067
1407249151,2738067
1407249153,2738067
1407249155,2738067
1407249157,2738067
1407249159,2738067
1407249161,2738067
1407249163,2738067
1407249165,2738067
1407249167,2738067
1407249169,2738067
1407249171,2738067
1407249173,2738067
1407249175,2738067
1407249177,2738067
1407249179,2738067
1407249181,2738067
1407249183,2738067
1407249185,2738067
1407249187,2738067
1407249189,2738067
1407249191,2738067
1407249193,2738067
1407249195,2738067
1407249197,2738067
1407249199,2738067
1407249201,2738067
1407249203,2738067
1407249205,2738067
1407249207,2738067
1407249209,2738067
1407249211,2738067
1407249213,2738067
1407249215,2738067
1407249217,2738067
1407249219,2738067
1407249221,2738067
1407249223,2738067
1407249225,2738067
1407249227,2738067
1407249229,2738067
1407249231,2738067
1407249233,2738067
1407249235,2738067
1407249237,2738067
1407249239,2738067
1407249241,2738067
1407249243,2738067
1407249245,2738067
1407249247,2738067
1407249249,2738067
1407249251,2738067
1407249253,2738067
1407249255,2738067
1407249257,2738067
1407249259,2738067
1407249261,2738067
1407249263,2738067
1407249265,2738067
1407249267,2738067
1407249269,2738067
1407249271,2738067
1407249273,2738067
1407249275,2738067
1407249277,2738067
1407249279,2738067
1407249281,2738067
1407249283,2738067
1407249285,2738067
1407249287,2738067
1407249289,2738067
1407249291,2738067
1407249293,2738067
1407249295,2738067
1407249297,2738067
1407249299,2738067
1407249301,2738067
1407249303,2738067
1407249305,2738067
1407249307,2738067
1407249309,2738067
1407249311,2738067
1407249313,2738067
1407249315,2738067
1407249317,2738067
1407249319,2738067
1407249321,2738067
1407249323,2738067
1407249325,2738067
1407249327,2738067
1407249329,2738067
1407249331,2738067
1407249333,2738067
1407249335,2738067
1407249337,2738067
1407249339,2738067
1407249341,2738067
1407249343,2738067
1407249345,2738067
1407249347,2738067
1407249349,2738067
1407249351,2738067
1407249353,2738067
1407249355,2738067
1407249357,2738067
1407249359,2738067
1407249361,2738067
1407249363,2738067
1407249365,2738067
1407249367,2738067
1407249369,2738067
1407249371,2738067
1407249373,2738067
1407249375,2738067
1407249377,2738067
