t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407248723,1289,0.673577,0.022012,0.012999,0.021209,0.021114,0.022698,0.029146,0.038364,0.045817,0.657056,609.961092,0.000000,0.000000,0.000000,calls/second,milliseconds
1407248725,9420,0.044008,0.013954,0.006883,0.004284,0.012679,0.015149,0.022379,0.025123,0.029154,0.043988,2363.520471,0.000000,0.000000,0.000000,calls/second,milliseconds
1407248727,29566,0.034281,0.010144,0.004142,0.003958,0.008716,0.011836,0.018551,0.022700,0.024557,0.034183,4945.384152,3270.600000,3270.600000,3270.600000,calls/second,milliseconds
1407248729,61191,0.034281,0.009075,0.004142,0.003288,0.008101,0.009618,0.015714,0.019330,0.022611,0.034080,7671.793033,3270.600000,3270.600000,3270.600000,calls/second,milliseconds
1407248731,98046,0.044079,0.008638,0.004470,0.002935,0.007882,0.008845,0.015145,0.016465,0.018755,0.043556,9800.343055,4314.164309,3486.327279,3342.908956,calls/second,milliseconds
1407248733,141209,0.044079,0.008419,0.004401,0.002866,0.007702,0.008573,0.014677,0.016255,0.016876,0.043557,11789.321166,4314.164309,3486.327279,3342.908956,calls/second,milliseconds
1407248735,188729,0.161902,0.008476,0.004470,0.005445,0.007734,0.008468,0.014538,0.016357,0.018038,0.157963,13506.235648,4314.164309,3486.327279,3342.908956,calls/second,milliseconds
1407248737,236164,0.161902,0.008434,0.004470,0.005456,0.007690,0.008392,0.014881,0.016513,0.017161,0.157963,14777.563977,5794.065092,3805.937673,3450.832729,calls/second,milliseconds
1407248739,288449,0.161902,0.008445,0.004470,0.005460,0.007693,0.008468,0.014816,0.016471,0.018038,0.157963,16055.358035,5794.065092,3805.937673,3450.832729,calls/second,milliseconds
1407248741,334470,0.161902,0.008447,0.004470,0.005468,0.007662,0.008447,0.014578,0.016574,0.019504,0.157963,16737.804482,5794.065092,3805.937673,3450.832729,calls/second,milliseconds
1407248743,386386,0.161902,0.008445,0.004294,0.005448,0.007683,0.008425,0.014807,0.016535,0.018038,0.157963,17589.474674,7293.802794,4148.826699,3567.731971,calls/second,milliseconds
1407248745,436208,0.161902,0.008453,0.004294,0.005410,0.007708,0.008449,0.015045,0.016394,0.017029,0.157963,18186.660054,7293.802794,4148.826699,3567.731971,calls/second,milliseconds
