t,value
1407248723,95979072
1407248725,95979072
1407248727,95979072
1407248729,95979072
1407248731,95979072
1407248733,95979072
1407248735,95979072
1407248737,95979072
1407248739,95979072
1407248741,95979072
1407248743,95979072
1407248745,95979072
1407248747,95979072
1407248749,95979072
1407248751,95979072
1407248753,95979072
1407248755,95979072
1407248757,95979072
1407248759,95979072
1407248761,95979072
1407248763,95979072
1407248765,95979072
1407248767,95979072
1407248769,95979072
1407248771,95979072
1407248773,95979072
1407248775,95979072
1407248777,95979072
1407248779,95979072
1407248781,95979072
1407248783,95979072
1407248785,95979072
1407248787,95979072
1407248789,95979072
1407248791,95979072
1407248793,95979072
1407248795,95979072
1407248797,95979072
1407248799,95979072
1407248801,95979072
1407248803,95979072
1407248805,95979072
1407248807,95979072
1407248809,95979072
1407248811,95979072
1407248813,95979072
1407248815,95979072
1407248817,95979072
1407248819,95979072
1407248821,95979072
1407248823,95979072
1407248825,95979072
1407248827,95979072
1407248829,95979072
1407248831,95979072
1407248833,95979072
1407248835,95979072
1407248837,95979072
1407248839,95979072
1407248841,95979072
1407248843,95979072
1407248845,95979072
1407248847,95979072
1407248849,95979072
1407248851,95979072
1407248853,95979072
1407248855,95979072
1407248857,95979072
1407248859,95979072
1407248861,95979072
1407248863,95979072
1407248865,95979072
1407248867,95979072
1407248869,95979072
1407248871,95979072
1407248873,95979072
1407248875,95979072
1407248877,95979072
1407248879,95979072
1407248881,95979072
1407248883,95979072
1407248885,95979072
1407248887,95979072
1407248889,95979072
1407248891,95979072
1407248893,95979072
1407248895,95979072
1407248897,95979072
1407248899,95979072
1407248901,95979072
1407248903,95979072
1407248905,95979072
1407248907,95979072
1407248909,95979072
1407248911,95979072
1407248913,95979072
1407248915,95979072
1407248917,95979072
1407248919,95979072
1407248921,95979072
1407248923,95979072
1407248925,95979072
1407248927,95979072
1407248929,95979072
1407248931,95979072
1407248933,95979072
1407248935,95979072
1407248937,95979072
1407248939,95979072
1407248941,95979072
1407248943,95979072
1407248945,95979072
1407248947,95979072
1407248949,95979072
1407248951,95979072
1407248953,95979072
1407248955,95979072
1407248957,95979072
1407248959,95979072
1407248961,95979072
1407248963,95979072
1407248965,95979072
1407248967,95979072
1407248969,95979072
1407248971,95979072
1407248973,95979072
1407248975,95979072
1407248977,95979072
1407248979,95979072
1407248981,95979072
1407248983,95979072
1407248985,95979072
1407248987,95979072
1407248989,95979072
1407248991,95979072
1407248993,95979072
1407248995,95979072
1407248997,95979072
1407248999,95979072
1407249001,95979072
1407249003,95979072
1407249005,95979072
1407249007,95979072
1407249009,95979072
1407249011,95979072
1407249013,95979072
1407249015,95979072
1407249017,95979072
1407249019,95979072
1407249021,95979072
1407249023,95979072
1407249025,95979072
1407249027,95979072
1407249029,95979072
1407249031,95979072
1407249033,95979072
1407249035,95979072
1407249037,95979072
1407249039,95979072
1407249041,95979072
1407249043,95979072
1407249045,95979072
1407249047,95979072
1407249049,95979072
1407249051,95979072
1407249053,95979072
1407249055,95979072
1407249057,95979072
1407249059,95979072
1407249061,95979072
1407249063,95979072
1407249065,95979072
1407249067,95979072
1407249069,95979072
1407249071,95979072
1407249073,95979072
1407249075,95979072
1407249077,95979072
1407249079,95979072
1407249081,95979072
1407249083,95979072
1407249085,95979072
1407249087,95979072
1407249089,95979072
1407249091,95979072
1407249093,95979072
1407249095,95979072
1407249097,95979072
