t,value
1407248723,1366294528
1407248725,1366294528
1407248727,1366294528
1407248729,1366294528
1407248731,1366294528
1407248733,1366294528
1407248735,1366294528
1407248737,1366294528
1407248739,1366294528
1407248741,1366294528
1407248743,1366294528
1407248745,1366294528
1407248747,1366294528
1407248749,1366294528
1407248751,1366294528
1407248753,1366294528
1407248755,1366294528
1407248757,1366294528
1407248759,1366294528
1407248761,1366294528
1407248763,1366294528
1407248765,1366294528
1407248767,1366294528
1407248769,1366294528
1407248771,1366294528
1407248773,1366294528
1407248775,1366294528
1407248777,1366294528
1407248779,1366294528
1407248781,1366294528
1407248783,1366294528
1407248785,1366294528
1407248787,1366294528
1407248789,1366294528
1407248791,1366294528
1407248793,1366294528
1407248795,1366294528
1407248797,1366294528
1407248799,1366294528
1407248801,1366294528
1407248803,1366294528
1407248805,1366294528
1407248807,1366294528
1407248809,1366294528
1407248811,1366294528
1407248813,1366294528
1407248815,1366294528
1407248817,1366294528
1407248819,1366294528
1407248821,1366294528
1407248823,1366294528
1407248825,1366294528
1407248827,1366294528
1407248829,1366294528
1407248831,1366294528
1407248833,1366294528
1407248835,1366294528
1407248837,1366294528
1407248839,1366294528
1407248841,1366294528
1407248843,1366294528
1407248845,1366294528
1407248847,1366294528
1407248849,1366294528
1407248851,1366294528
1407248853,1366294528
1407248855,1366294528
1407248857,1366294528
1407248859,1366294528
1407248861,1366294528
1407248863,1366294528
1407248865,1366294528
1407248867,1366294528
1407248869,1366294528
1407248871,1366294528
1407248873,1366294528
1407248875,1366294528
1407248877,1366294528
1407248879,1366294528
1407248881,1366294528
1407248883,1366294528
1407248885,1366294528
1407248887,1366294528
1407248889,1366294528
1407248891,1366294528
1407248893,1366294528
1407248895,1366294528
1407248897,1366294528
1407248899,1366294528
1407248901,1366294528
1407248903,1366294528
1407248905,1366294528
1407248907,1366294528
1407248909,1366294528
1407248911,1366294528
1407248913,1366294528
1407248915,1366294528
1407248917,1366294528
1407248919,1366294528
1407248921,1366294528
1407248923,1366294528
