t,value
1407248723,24576000
1407248725,24576000
1407248727,24576000
1407248729,24576000
1407248731,24576000
1407248733,24576000
1407248735,24576000
1407248737,24576000
1407248739,24576000
1407248741,24576000
1407248743,24576000
1407248745,24576000
1407248747,24576000
1407248749,24576000
1407248751,24576000
1407248753,24576000
1407248755,24576000
1407248757,24576000
1407248759,24576000
1407248761,24576000
1407248763,24576000
1407248765,24576000
1407248767,24576000
1407248769,24576000
1407248771,24576000
1407248773,24576000
1407248775,24576000
1407248777,24576000
1407248779,24576000
1407248781,24576000
1407248783,24576000
1407248785,24576000
1407248787,24576000
1407248789,24576000
1407248791,24576000
1407248793,24576000
1407248795,24576000
1407248797,24576000
1407248799,24576000
1407248801,24576000
1407248803,24576000
1407248805,24576000
1407248807,24576000
1407248809,24576000
1407248811,24576000
1407248813,24576000
1407248815,24576000
1407248817,24576000
1407248819,24576000
1407248821,24576000
1407248823,24576000
1407248825,24576000
1407248827,24576000
1407248829,24576000
1407248831,24576000
1407248833,24576000
1407248835,24576000
1407248837,24576000
1407248839,24576000
1407248841,24576000
1407248843,24576000
1407248845,24576000
1407248847,24576000
1407248849,24576000
1407248851,24576000
1407248853,24576000
1407248855,24576000
1407248857,24576000
1407248859,24576000
1407248861,24576000
1407248863,24576000
1407248865,24576000
1407248867,24576000
1407248869,24576000
1407248871,24576000
1407248873,24576000
1407248875,24576000
1407248877,24576000
1407248879,24576000
1407248881,24576000
1407248883,24576000
1407248885,24576000
1407248887,24576000
1407248889,24576000
1407248891,24576000
1407248893,24576000
1407248895,24576000
1407248897,24576000
1407248899,24576000
1407248901,24576000
1407248903,24576000
1407248905,24576000
1407248907,24576000
1407248909,24576000
1407248911,24576000
1407248913,24576000
1407248915,24576000
1407248917,24576000
1407248919,24576000
1407248921,24576000
1407248923,24576000
1407248925,24576000
1407248927,24576000
1407248929,24576000
1407248931,24576000
1407248933,24576000
1407248935,24576000
1407248937,24576000
1407248939,24576000
1407248941,24576000
1407248943,24576000
1407248945,24576000
1407248947,24576000
1407248949,24576000
1407248951,24576000
1407248953,24576000
1407248955,24576000
1407248957,24576000
1407248959,24576000
1407248961,24576000
1407248963,24576000
1407248965,24576000
1407248967,24576000
1407248969,24576000
1407248971,24576000
1407248973,24576000
1407248975,24576000
1407248977,24576000
1407248979,24576000
1407248981,24576000
1407248983,24576000
1407248985,24576000
1407248987,24576000
1407248989,24576000
1407248991,24576000
1407248993,24576000
1407248995,24576000
1407248997,24576000
1407248999,24576000
1407249001,24576000
1407249003,24576000
1407249005,24576000
1407249007,24576000
1407249009,24576000
1407249011,24576000
1407249013,24576000
1407249015,24576000
1407249017,24576000
1407249019,24576000
1407249021,24576000
1407249023,24576000
1407249025,24576000
1407249027,24576000
1407249029,24576000
1407249031,24576000
1407249033,24576000
1407249035,24576000
1407249037,24576000
1407249039,24576000
1407249041,24576000
1407249043,24576000
1407249045,24576000
1407249047,24576000
1407249049,24576000
1407249051,24576000
1407249053,24576000
1407249055,24576000
1407249057,24576000
1407249059,24576000
1407249061,24576000
1407249063,24576000
1407249065,24576000
1407249067,24576000
1407249069,24576000
1407249071,24576000
1407249073,24576000
1407249075,24576000
1407249077,24576000
1407249079,24576000
1407249081,24576000
1407249083,24576000
1407249085,24576000
1407249087,24576000
1407249089,24576000
1407249091,24576000
1407249093,24576000
1407249095,24576000
1407249097,24576000
1407249099,24576000
1407249101,24576000
1407249103,24576000
1407249105,24576000
1407249107,24576000
1407249109,24576000
1407249111,24576000
1407249113,24576000
1407249115,24576000
1407249117,24576000
1407249119,24576000
1407249121,24576000
1407249123,24576000
1407249125,24576000
1407249127,24576000
1407249129,24576000
1407249131,24576000
1407249133,24576000
1407249135,24576000
1407249137,24576000
1407249139,24576000
1407249141,24576000
1407249143,24576000
1407249145,24576000
1407249147,24576000
1407249149,24576000
1407249151,24576000
1407249153,24576000
1407249155,24576000
1407249157,24576000
1407249159,24576000
1407249161,24576000
1407249163,24576000
1407249165,24576000
1407249167,24576000
1407249169,24576000
1407249171,24576000
1407249173,24576000
1407249175,24576000
1407249177,24576000
1407249179,24576000
1407249181,24576000
1407249183,24576000
1407249185,24576000
1407249187,24576000
1407249189,24576000
1407249191,24576000
1407249193,24576000
1407249195,24576000
1407249197,24576000
1407249199,24576000
1407249201,24576000
1407249203,24576000
1407249205,24576000
1407249207,24576000
1407249209,24576000
1407249211,24576000
1407249213,24576000
1407249215,24576000
1407249217,24576000
1407249219,24576000
1407249221,24576000
1407249223,24576000
1407249225,24576000
1407249227,24576000
1407249229,24576000
1407249231,24576000
1407249233,24576000
1407249235,24576000
1407249237,24576000
1407249239,24576000
1407249241,24576000
1407249243,24576000
1407249245,24576000
1407249247,24576000
1407249249,24576000
1407249251,24576000
1407249253,24576000
1407249255,24576000
1407249257,24576000
1407249259,24576000
1407249261,24576000
1407249263,24576000
1407249265,24576000
1407249267,24576000
1407249269,24576000
1407249271,24576000
1407249273,24576000
1407249275,24576000
1407249277,24576000
1407249279,24576000
1407249281,24576000
1407249283,24576000
1407249285,24576000
1407249287,24576000
1407249289,24576000
1407249291,24576000
1407249293,24576000
1407249295,24576000
1407249297,24576000
1407249299,24576000
1407249301,24576000
1407249303,24576000
1407249305,24576000
1407249307,24576000
1407249309,24576000
1407249311,24576000
1407249313,24576000
1407249315,24576000
1407249317,24576000
1407249319,24576000
1407249321,24576000
1407249323,24576000
1407249325,24576000
1407249327,24576000
1407249329,24576000
1407249331,24576000
1407249333,24576000
1407249335,24576000
1407249337,24576000
