t,value
1407248723,120555072
1407248725,120555072
1407248727,120555072
1407248729,120555072
1407248731,120555072
1407248733,120555072
1407248735,120555072
1407248737,120555072
1407248739,120555072
1407248741,120555072
1407248743,120555072
1407248745,120555072
1407248747,120555072
1407248749,120555072
1407248751,120555072
1407248753,120555072
1407248755,120555072
1407248757,120555072
1407248759,120555072
1407248761,120555072
1407248763,120555072
1407248765,120555072
1407248767,120555072
1407248769,120555072
1407248771,120555072
1407248773,120555072
1407248775,120555072
1407248777,120555072
1407248779,120555072
1407248781,120555072
1407248783,120555072
1407248785,120555072
1407248787,120555072
1407248789,120555072
1407248791,120555072
1407248793,120555072
1407248795,120555072
1407248797,120555072
1407248799,120555072
1407248801,120555072
1407248803,120555072
1407248805,120555072
1407248807,120555072
1407248809,120555072
1407248811,120555072
1407248813,120555072
1407248815,120555072
1407248817,120555072
1407248819,120555072
1407248821,120555072
1407248823,120555072
1407248825,120555072
1407248827,120555072
1407248829,120555072
1407248831,120555072
1407248833,120555072
1407248835,120555072
1407248837,120555072
1407248839,120555072
1407248841,120555072
1407248843,120555072
1407248845,120555072
1407248847,120555072
1407248849,120555072
1407248851,120555072
1407248853,120555072
1407248855,120555072
1407248857,120555072
1407248859,120555072
1407248861,120555072
1407248863,120555072
1407248865,120555072
1407248867,120555072
1407248869,120555072
1407248871,120555072
1407248873,120555072
1407248875,120555072
1407248877,120555072
1407248879,120555072
1407248881,120555072
1407248883,120555072
1407248885,120555072
1407248887,120555072
1407248889,120555072
1407248891,120555072
1407248893,120555072
1407248895,120555072
1407248897,120555072
1407248899,120555072
1407248901,120555072
1407248903,120555072
1407248905,120555072
1407248907,120555072
1407248909,120555072
1407248911,120555072
1407248913,120555072
1407248915,120555072
1407248917,120555072
1407248919,120555072
1407248921,120555072
1407248923,120555072
1407248925,120555072
1407248927,120555072
1407248929,120555072
1407248931,120555072
1407248933,120555072
1407248935,120555072
1407248937,120555072
1407248939,120555072
1407248941,120555072
1407248943,120555072
1407248945,120555072
1407248947,120555072
1407248949,120555072
1407248951,120555072
1407248953,120555072
1407248955,120555072
1407248957,120555072
1407248959,120555072
1407248961,120555072
1407248963,120555072
1407248965,120555072
1407248967,120555072
1407248969,120555072
1407248971,120555072
1407248973,120555072
1407248975,120555072
1407248977,120555072
1407248979,120555072
1407248981,120555072
1407248983,120555072
1407248985,120555072
1407248987,120555072
1407248989,120555072
1407248991,120555072
1407248993,120555072
1407248995,120555072
1407248997,120555072
1407248999,120555072
1407249001,120555072
1407249003,120555072
1407249005,120555072
1407249007,120555072
1407249009,120555072
1407249011,120555072
1407249013,120555072
1407249015,120555072
1407249017,120555072
1407249019,120555072
1407249021,120555072
1407249023,120555072
1407249025,120555072
1407249027,120555072
1407249029,120555072
1407249031,120555072
1407249033,120555072
1407249035,120555072
1407249037,120555072
1407249039,120555072
1407249041,120555072
1407249043,120555072
1407249045,120555072
1407249047,120555072
1407249049,120555072
1407249051,120555072
1407249053,120555072
1407249055,120555072
1407249057,120555072
1407249059,120555072
1407249061,120555072
1407249063,120555072
1407249065,120555072
1407249067,120555072
1407249069,120555072
1407249071,120555072
1407249073,120555072
1407249075,120555072
1407249077,120555072
1407249079,120555072
1407249081,120555072
1407249083,120555072
1407249085,120555072
1407249087,120555072
1407249089,120555072
1407249091,120555072
1407249093,120555072
1407249095,120555072
1407249097,120555072
1407249099,120555072
1407249101,120555072
1407249103,120555072
1407249105,120555072
1407249107,120555072
1407249109,120555072
1407249111,120555072
1407249113,120555072
1407249115,120555072
1407249117,120555072
1407249119,120555072
1407249121,120555072
1407249123,120555072
1407249125,120555072
1407249127,120555072
1407249129,120555072
1407249131,120555072
1407249133,120555072
1407249135,120555072
1407249137,120555072
1407249139,120555072
1407249141,120555072
1407249143,120555072
1407249145,120555072
1407249147,120555072
1407249149,120555072
1407249151,120555072
1407249153,120555072
1407249155,120555072
1407249157,120555072
1407249159,120555072
1407249161,120555072
1407249163,120555072
1407249165,120555072
1407249167,120555072
1407249169,120555072
1407249171,120555072
1407249173,120555072
1407249175,120555072
1407249177,120555072
1407249179,120555072
1407249181,120555072
1407249183,120555072
1407249185,120555072
1407249187,120555072
1407249189,120555072
1407249191,120555072
1407249193,120555072
1407249195,120555072
1407249197,120555072
1407249199,120555072
1407249201,120555072
1407249203,120555072
1407249205,120555072
1407249207,120555072
1407249209,120555072
1407249211,120555072
1407249213,120555072
1407249215,120555072
1407249217,120555072
1407249219,120555072
1407249221,120555072
1407249223,120555072
1407249225,120555072
1407249227,120555072
1407249229,120555072
1407249231,120555072
1407249233,120555072
1407249235,120555072
1407249237,120555072
1407249239,120555072
1407249241,120555072
1407249243,120555072
1407249245,120555072
1407249247,120555072
1407249249,120555072
1407249251,120555072
1407249253,120555072
1407249255,120555072
1407249257,120555072
1407249259,120555072
1407249261,120555072
1407249263,120555072
1407249265,120555072
1407249267,120555072
1407249269,120555072
1407249271,120555072
1407249273,120555072
1407249275,120555072
1407249277,120555072
1407249279,120555072
1407249281,120555072
1407249283,120555072
1407249285,120555072
1407249287,120555072
1407249289,120555072
1407249291,120555072
1407249293,120555072
1407249295,120555072
1407249297,120555072
1407249299,120555072
1407249301,120555072
1407249303,120555072
1407249305,120555072
1407249307,120555072
1407249309,120555072
1407249311,120555072
1407249313,120555072
1407249315,120555072
1407249317,120555072
1407249319,120555072
1407249321,120555072
1407249323,120555072
1407249325,120555072
1407249327,120555072
1407249329,120555072
1407249331,120555072
1407249333,120555072
1407249335,120555072
1407249337,120555072
1407249339,120555072
1407249341,120555072
1407249343,120555072
1407249345,120555072
1407249347,120555072
1407249349,120555072
1407249351,120555072
1407249353,120555072
1407249355,120555072
1407249357,120555072
1407249359,120555072
1407249361,120555072
1407249363,120555072
1407249365,120555072
1407249367,120555072
1407249369,120555072
1407249371,120555072
1407249373,120555072
1407249375,120555072
1407249377,120555072
1407249379,120555072
1407249381,120555072
1407249383,120555072
1407249385,120555072
1407249387,120555072
1407249389,120555072
1407249391,120555072
1407249393,120555072
1407249395,120555072
1407249397,120555072
1407249399,120555072
1407249401,120555072
1407249403,120555072
1407249405,120555072
1407249407,120555072
1407249409,120555072
1407249411,120555072
1407249413,120555072
1407249415,120555072
1407249417,120555072
1407249419,120555072
1407249421,120555072
1407249423,120555072
1407249425,120555072
1407249427,120555072
1407249429,120555072
1407249431,120555072
1407249433,120555072
1407249435,120555072
1407249437,120555072
1407249439,120555072
