t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407248723,14093,0.018226,0.000405,0.000047,0.000802,0.000330,0.000401,0.000601,0.001902,0.003106,0.018012,6796.114416,0.000000,0.000000,0.000000,calls/second,milliseconds
1407248725,103555,0.011085,0.000143,0.000046,0.000416,0.000100,0.000117,0.000369,0.000434,0.000525,0.010916,26247.087566,0.000000,0.000000,0.000000,calls/second,milliseconds
1407248727,221738,0.011085,0.000115,0.000046,0.000368,0.000099,0.000109,0.000263,0.000394,0.000435,0.010862,37342.216161,32131.600000,32131.600000,32131.600000,calls/second,milliseconds
1407248729,354295,0.011085,0.000110,0.000046,0.000366,0.000100,0.000109,0.000160,0.000342,0.000395,0.010862,44646.663679,32131.600000,32131.600000,32131.600000,calls/second,milliseconds
1407248731,503446,0.003404,0.000098,0.000046,0.000126,0.000100,0.000109,0.000151,0.000317,0.000367,0.003348,50527.427505,32131.600000,32131.600000,32131.600000,calls/second,milliseconds
1407248733,654881,0.003404,0.000096,0.000046,0.000124,0.000100,0.000109,0.000140,0.000230,0.000351,0.003348,54860.586078,35093.074927,32743.800822,32336.801690,calls/second,milliseconds
1407248735,805387,0.003404,0.000094,0.000046,0.000122,0.000099,0.000108,0.000136,0.000184,0.000310,0.003348,57798.499079,35093.074927,32743.800822,32336.801690,calls/second,milliseconds
1407248737,962703,0.003404,0.000092,0.000046,0.000119,0.000099,0.000108,0.000135,0.000166,0.000245,0.003348,60392.753123,38384.808403,33463.103304,32580.157289,calls/second,milliseconds
1407248739,1138877,0.003404,0.000093,0.000046,0.000118,0.000100,0.000109,0.000134,0.000158,0.000204,0.003348,63534.221572,38384.808403,33463.103304,32580.157289,calls/second,milliseconds
1407248741,1287820,0.003404,0.000094,0.000046,0.000118,0.000100,0.000110,0.000134,0.000162,0.000204,0.003348,64577.288540,38384.808403,33463.103304,32580.157289,calls/second,milliseconds
1407248743,1445202,0.003404,0.000095,0.000046,0.000118,0.000101,0.000111,0.000134,0.000162,0.000200,0.003348,65911.598675,41797.056257,34249.837254,32848.751850,calls/second,milliseconds
1407248745,1600651,0.000504,0.000090,0.000046,0.000038,0.000100,0.000110,0.000132,0.000158,0.000175,0.000500,66848.570025,41797.056257,34249.837254,32848.751850,calls/second,milliseconds
1407248747,1770749,0.000504,0.000089,0.000046,0.000038,0.000100,0.000110,0.000132,0.000151,0.000167,0.000500,68290.631397,44805.348676,34996.460821,33106.772508,calls/second,milliseconds
1407248749,1931061,0.000504,0.000090,0.000046,0.000038,0.000101,0.000111,0.000131,0.000148,0.000167,0.000500,69145.503824,44805.348676,34996.460821,33106.772508,calls/second,milliseconds
1407248751,2083869,0.000504,0.000090,0.000046,0.000038,0.000100,0.000111,0.000132,0.000157,0.000175,0.000500,69624.865595,44805.348676,34996.460821,33106.772508,calls/second,milliseconds
1407248753,2248649,0.000504,0.000090,0.000046,0.000038,0.000100,0.000111,0.000132,0.000157,0.000175,0.000500,70417.104372,47619.213705,35740.274145,33366.558144,calls/second,milliseconds
1407248755,2413858,0.000504,0.000090,0.000046,0.000038,0.000100,0.000111,0.000132,0.000154,0.000169,0.000500,71150.852290,47619.213705,35740.274145,33366.558144,calls/second,milliseconds
1407248757,2568718,0.000504,0.000090,0.000046,0.000038,0.000100,0.000111,0.000132,0.000154,0.000170,0.000500,71474.623751,50250.454977,36480.550140,33627.839700,calls/second,milliseconds
1407248759,2728674,0.000504,0.000089,0.000046,0.000038,0.000100,0.000111,0.000131,0.000152,0.000170,0.000500,71949.329451,50250.454977,36480.550140,33627.839700,calls/second,milliseconds
1407248761,2900022,0.000504,0.000089,0.000046,0.000038,0.000100,0.000111,0.000131,0.000152,0.000170,0.000500,72573.957324,50250.454977,36480.550140,33627.839700,calls/second,milliseconds
1407248763,3068982,0.000504,0.000089,0.000046,0.000038,0.000100,0.000112,0.000131,0.000146,0.000169,0.000500,73200.020736,52802.552911,37235.720405,33896.767322,calls/second,milliseconds
1407248765,3235289,0.000504,0.000090,0.000046,0.000037,0.000101,0.000112,0.000131,0.000145,0.000167,0.000500,73651.324633,52802.552911,37235.720405,33896.767322,calls/second,milliseconds
1407248767,3396631,0.000504,0.000089,0.000046,0.000036,0.000101,0.000111,0.000131,0.000145,0.000165,0.000500,73927.522061,55372.297207,38024.239156,34179.566778,calls/second,milliseconds
1407248769,3571303,0.000504,0.000089,0.000046,0.000036,0.000101,0.000111,0.000131,0.000139,0.000163,0.000500,74517.992718,55372.297207,38024.239156,34179.566778,calls/second,milliseconds
1407248771,3732545,0.000504,0.000089,0.000046,0.000035,0.000101,0.000111,0.000131,0.000144,0.000161,0.000497,74763.758308,55372.297207,38024.239156,34179.566778,calls/second,milliseconds
1407248773,3915164,0.000504,0.000089,0.000046,0.000035,0.000101,0.000112,0.000131,0.000145,0.000161,0.000497,75403.756225,57514.923221,38753.904402,34445.441072,calls/second,milliseconds
1407248775,4068958,0.000504,0.000089,0.000046,0.000036,0.000101,0.000112,0.000133,0.000149,0.000163,0.000497,75447.193152,57514.923221,38753.904402,34445.441072,calls/second,milliseconds
1407248777,4243965,0.000504,0.000089,0.000046,0.000036,0.000101,0.000112,0.000133,0.000151,0.000163,0.000497,75864.916243,59692.567700,39514.162910,34724.139299,calls/second,milliseconds
1407248779,4423026,0.000504,0.000089,0.000046,0.000036,0.000101,0.000112,0.000132,0.000149,0.000161,0.000497,76343.467555,59692.567700,39514.162910,34724.139299,calls/second,milliseconds
1407248781,4607357,0.000504,0.000089,0.000046,0.000035,0.000101,0.000111,0.000132,0.000145,0.000161,0.000496,76876.305269,59692.567700,39514.162910,34724.139299,calls/second,milliseconds
