t,count
1407248723,0
1407248725,0
1407248727,0
1407248729,0
1407248731,0
1407248733,0
1407248735,0
1407248737,0
1407248739,0
1407248741,0
1407248743,0
1407248745,0
1407248747,0
1407248749,0
1407248751,0
1407248753,0
1407248755,0
1407248757,0
1407248759,0
1407248761,0
1407248763,0
1407248765,0
1407248767,0
1407248769,0
1407248771,0
1407248773,0
1407248775,0
1407248777,0
1407248779,0
1407248781,0
1407248783,0
1407248785,0
1407248787,0
1407248789,0
1407248791,0
1407248793,0
1407248795,0
1407248797,0
1407248799,0
1407248801,0
1407248803,0
1407248805,0
1407248807,0
1407248809,0
1407248811,0
1407248813,0
1407248815,0
1407248817,0
1407248819,0
1407248821,0
1407248823,0
1407248825,0
1407248827,0
1407248829,0
1407248831,0
1407248833,0
1407248835,0
1407248837,0
1407248839,0
1407248841,0
1407248843,0
1407248845,0
1407248847,0
1407248849,0
1407248851,0
1407248853,0
1407248855,0
1407248857,0
1407248859,0
1407248861,0
1407248863,0
1407248865,0
1407248867,0
1407248869,0
1407248871,0
1407248873,0
1407248875,0
1407248877,0
1407248879,0
1407248881,0
1407248883,0
1407248885,0
1407248887,0
1407248889,0
1407248891,0
1407248893,0
1407248895,0
1407248897,0
1407248899,0
1407248901,0
1407248903,0
1407248905,0
1407248907,0
1407248909,0
1407248911,0
1407248913,0
1407248915,0
1407248917,0
1407248919,0
1407248921,0
1407248923,0
1407248925,0
1407248927,0
1407248929,0
1407248931,0
1407248933,0
1407248935,0
1407248937,0
1407248939,0
1407248941,0
1407248943,0
1407248945,0
1407248947,0
1407248949,0
1407248951,0
1407248953,0
1407248955,0
1407248957,0
1407248959,0
1407248961,0
1407248963,0
1407248965,0
1407248967,0
1407248969,0
1407248971,0
1407248973,0
1407248975,0
1407248977,0
1407248979,0
1407248981,0
1407248983,0
1407248985,0
1407248987,0
1407248989,0
1407248991,0
1407248993,0
1407248995,0
1407248997,0
1407248999,0
1407249001,0
1407249003,0
1407249005,0
1407249007,0
1407249009,0
1407249011,0
1407249013,0
1407249015,0
1407249017,0
1407249019,0
1407249021,0
1407249023,0
1407249025,0
1407249027,0
1407249029,0
1407249031,0
1407249033,0
1407249035,0
1407249037,0
1407249039,0
1407249041,0
1407249043,0
1407249045,0
1407249047,0
1407249049,0
1407249051,0
1407249053,0
1407249055,0
1407249057,0
1407249059,0
1407249061,0
1407249063,0
1407249065,0
1407249067,0
1407249069,0
1407249071,0
1407249073,0
1407249075,0
1407249077,0
1407249079,0
1407249081,0
1407249083,0
1407249085,0
1407249087,0
1407249089,0
1407249091,0
1407249093,0
1407249095,0
1407249097,0
1407249099,0
1407249101,0
1407249103,0
1407249105,0
1407249107,0
1407249109,0
1407249111,0
1407249113,0
1407249115,0
1407249117,0
1407249119,0
1407249121,0
1407249123,0
1407249125,0
1407249127,0
1407249129,0
1407249131,0
1407249133,0
1407249135,0
1407249137,0
1407249139,0
1407249141,0
1407249143,0
1407249145,0
1407249147,0
1407249149,0
1407249151,0
1407249153,0
1407249155,0
1407249157,0
1407249159,0
1407249161,0
1407249163,0
1407249165,0
1407249167,0
1407249169,0
1407249171,0
1407249173,0
1407249175,0
1407249177,0
1407249179,0
1407249181,0
1407249183,0
1407249185,0
1407249187,0
1407249189,0
1407249191,0
1407249193,0
1407249195,0
1407249197,0
1407249199,0
1407249201,0
1407249203,0
1407249205,0
1407249207,0
1407249209,0
1407249211,0
1407249213,0
1407249215,0
1407249217,0
1407249219,0
1407249221,0
1407249223,0
1407249225,0
1407249227,0
1407249229,0
1407249231,0
1407249233,0
1407249235,0
1407249237,0
1407249239,0
1407249241,0
1407249243,0
1407249245,0
1407249247,0
1407249249,0
1407249251,0
1407249253,0
1407249255,0
1407249257,0
1407249259,0
1407249261,0
1407249263,0
1407249265,0
1407249267,0
1407249269,0
1407249271,0
1407249273,0
1407249275,0
1407249277,0
1407249279,0
1407249281,0
1407249283,0
1407249285,0
1407249287,0
1407249289,0
1407249291,0
1407249293,0
1407249295,0
1407249297,0
1407249299,0
1407249301,0
1407249303,0
1407249305,0
1407249307,0
1407249309,0
1407249311,0
1407249313,0
1407249315,0
1407249317,0
1407249319,0
1407249321,0
1407249323,0
1407249325,0
1407249327,0
1407249329,0
1407249331,0
1407249333,0
1407249335,0
1407249337,0
1407249339,0
1407249341,0
1407249343,0
1407249345,0
1407249347,0
1407249349,0
1407249351,0
1407249353,0
1407249355,0
1407249357,0
1407249359,0
1407249361,0
1407249363,0
1407249365,0
1407249367,0
1407249369,0
1407249371,0
1407249373,0
1407249375,0
1407249377,0
1407249379,0
1407249381,0
1407249383,0
1407249385,0
1407249387,0
1407249389,0
1407249391,0
1407249393,0
1407249395,0
1407249397,0
1407249399,0
1407249401,0
1407249403,0
1407249405,0
1407249407,0
1407249409,0
1407249411,0
1407249413,0
1407249415,0
1407249417,0
1407249419,0
1407249421,0
1407249423,0
1407249425,0
1407249427,0
1407249429,0
1407249431,0
1407249433,0
1407249435,0
1407249437,0
1407249439,0
