t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407248723,6756,0.182868,0.021584,0.006692,0.020859,0.015457,0.018811,0.068652,0.088469,0.122478,0.182550,3148.189507,0.000000,0.000000,0.000000,calls/second,milliseconds
1407248725,47316,0.171899,0.008990,0.003060,0.011979,0.005632,0.008685,0.019194,0.043631,0.071932,0.171160,11828.577007,0.000000,0.000000,0.000000,calls/second,milliseconds
1407248727,96126,0.101857,0.006860,0.003011,0.006943,0.004872,0.006173,0.016421,0.027466,0.040583,0.101115,16067.223060,14123.600000,14123.600000,14123.600000,calls/second,milliseconds
1407248729,146580,0.303657,0.006542,0.003011,0.010791,0.004842,0.005804,0.013734,0.018854,0.033872,0.297063,18367.934342,14123.600000,14123.600000,14123.600000,calls/second,milliseconds
1407248731,202724,0.303657,0.006338,0.003011,0.010689,0.004795,0.005699,0.011662,0.018217,0.030052,0.296836,20255.085351,15104.431157,14326.358982,14191.562153,calls/second,milliseconds
1407248733,256880,0.303657,0.006055,0.003011,0.010213,0.004866,0.005669,0.009731,0.016953,0.019667,0.296938,21439.113278,15104.431157,14326.358982,14191.562153,calls/second,milliseconds
1407248735,308353,0.303657,0.005988,0.003011,0.010152,0.004931,0.005671,0.009095,0.016316,0.018143,0.296938,22057.662375,15104.431157,14326.358982,14191.562153,calls/second,milliseconds
1407248737,363564,0.303657,0.005890,0.003011,0.010089,0.004948,0.005642,0.008407,0.015952,0.017604,0.296938,22725.897825,16034.008292,14531.383052,14261.030328,calls/second,milliseconds
1407248739,425257,0.303657,0.005789,0.003011,0.009833,0.005013,0.005660,0.007608,0.013570,0.017109,0.296938,23664.814122,16034.008292,14531.383052,14261.030328,calls/second,milliseconds
1407248741,476719,0.303657,0.005773,0.003011,0.009830,0.005007,0.005643,0.007109,0.013570,0.017265,0.296938,23851.931900,16034.008292,14531.383052,14261.030328,calls/second,milliseconds
1407248743,529369,0.303657,0.005747,0.003011,0.009816,0.005001,0.005612,0.006866,0.011588,0.017265,0.296938,24094.386153,17005.979707,14757.146745,14338.201153,calls/second,milliseconds
1407248745,582439,0.303657,0.005770,0.003011,0.009830,0.005029,0.005629,0.006851,0.011942,0.017469,0.296938,24279.661340,17005.979707,14757.146745,14338.201153,calls/second,milliseconds
1407248747,640798,0.303657,0.005760,0.003011,0.009821,0.005034,0.005629,0.006701,0.011588,0.017265,0.296938,24671.052004,17794.375384,14957.295096,14407.609279,calls/second,milliseconds
1407248749,695067,0.303657,0.005779,0.003011,0.009854,0.005067,0.005639,0.006660,0.011588,0.017265,0.296938,24849.047958,17794.375384,14957.295096,14407.609279,calls/second,milliseconds
1407248751,747368,0.303657,0.005759,0.003011,0.009847,0.005051,0.005628,0.006552,0.011445,0.017265,0.296938,24933.841261,17794.375384,14957.295096,14407.609279,calls/second,milliseconds
1407248753,806064,0.303657,0.005784,0.003011,0.009882,0.005059,0.005624,0.006660,0.011588,0.017469,0.296938,25207.242204,18555.666463,15161.563215,14479.122618,calls/second,milliseconds
