t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407248723,6771,0.929493,0.057106,0.015796,0.049959,0.048110,0.063935,0.144719,0.177095,0.210272,0.915216,3216.836416,0.000000,0.000000,0.000000,calls/second,milliseconds
1407248725,47339,6.612831,0.021216,0.003709,0.206806,0.006713,0.014422,0.050501,0.070328,0.120982,6.427244,11958.181473,0.000000,0.000000,0.000000,calls/second,milliseconds
1407248727,96142,6.612831,0.016734,0.003585,0.206309,0.006510,0.008111,0.031908,0.050513,0.064425,6.425261,16183.372295,14390.400000,14390.400000,14390.400000,calls/second,milliseconds
1407248729,146594,0.131931,0.009289,0.003523,0.010851,0.006465,0.007353,0.021342,0.048083,0.062544,0.131478,18466.761208,14390.400000,14390.400000,14390.400000,calls/second,milliseconds
1407248731,202736,0.116308,0.008550,0.003484,0.008600,0.006450,0.006886,0.018808,0.045821,0.053063,0.115277,20341.484258,14390.400000,14390.400000,14390.400000,calls/second,milliseconds
1407248733,256836,0.126553,0.008510,0.003484,0.008903,0.006454,0.006971,0.017841,0.042694,0.057984,0.126256,21510.641219,15348.347868,14588.428512,14456.776561,calls/second,milliseconds
1407248735,308371,0.116308,0.008311,0.003523,0.007546,0.006473,0.007277,0.015534,0.027145,0.051556,0.115277,22125.147542,15348.347868,14588.428512,14456.776561,calls/second,milliseconds
1407248737,363584,0.116308,0.008198,0.003523,0.007213,0.006495,0.007438,0.015031,0.025377,0.049144,0.115277,22786.541988,16259.158092,14789.273017,14524.826378,calls/second,milliseconds
1407248739,425268,0.159516,0.008382,0.003523,0.008417,0.006515,0.008098,0.014241,0.023379,0.049144,0.158263,23720.731854,16259.158092,14789.273017,14524.826378,calls/second,milliseconds
1407248741,476744,0.159516,0.008431,0.003523,0.008222,0.006541,0.009088,0.014257,0.020634,0.046306,0.158263,23903.111591,16259.158092,14789.273017,14524.826378,calls/second,milliseconds
1407248743,529379,0.159516,0.008600,0.003523,0.008236,0.006568,0.010550,0.014409,0.020833,0.046306,0.158263,24141.041627,17214.086990,15010.972505,14600.602215,calls/second,milliseconds
1407248745,582189,0.159516,0.008622,0.003523,0.008241,0.006564,0.010604,0.014740,0.020833,0.046306,0.158263,24311.913682,17214.086990,15010.972505,14600.602215,calls/second,milliseconds
1407248747,640806,0.159516,0.008569,0.003523,0.007919,0.006583,0.010643,0.014584,0.018118,0.043689,0.158263,24711.428727,17987.650323,15207.299031,14668.681806,calls/second,milliseconds
1407248749,695075,0.159516,0.008554,0.003523,0.007778,0.006604,0.010661,0.014169,0.017832,0.037101,0.158263,24886.803880,17987.650323,15207.299031,14668.681806,calls/second,milliseconds
1407248751,747376,0.159516,0.008652,0.003523,0.007785,0.006618,0.010709,0.014563,0.017871,0.037101,0.158263,24969.191602,17987.650323,15207.299031,14668.681806,calls/second,milliseconds
1407248753,806146,0.116308,0.008458,0.003523,0.006097,0.006625,0.010699,0.014310,0.017832,0.021863,0.115277,25240.798579,18733.487991,15407.434949,14738.748763,calls/second,milliseconds
1407248755,863776,0.080741,0.008417,0.003523,0.005115,0.006645,0.010732,0.014498,0.017871,0.021863,0.080215,25458.685705,18733.487991,15407.434949,14738.748763,calls/second,milliseconds
1407248757,915405,0.080741,0.008507,0.003523,0.005193,0.006654,0.010773,0.014531,0.017941,0.023519,0.080215,25469.758068,19459.173839,15612.424706,14811.163266,calls/second,milliseconds
1407248759,969905,0.080741,0.008517,0.003600,0.005070,0.006689,0.010831,0.014041,0.017832,0.020404,0.080215,25573.004183,19459.173839,15612.424706,14811.163266,calls/second,milliseconds
1407248761,1029330,0.080741,0.008576,0.003600,0.005063,0.006716,0.010846,0.013976,0.017814,0.020404,0.080215,25758.048828,19459.173839,15612.424706,14811.163266,calls/second,milliseconds
1407248763,1088811,0.080741,0.008633,0.003600,0.005080,0.006731,0.010857,0.014089,0.017941,0.020404,0.080215,25968.653659,20175.034278,15823.989689,14886.516185,calls/second,milliseconds
1407248765,1146349,0.080741,0.008601,0.003600,0.005052,0.006729,0.010868,0.013969,0.017814,0.020146,0.080215,26095.530234,20175.034278,15823.989689,14886.516185,calls/second,milliseconds
1407248767,1200898,0.080741,0.008642,0.003600,0.005047,0.006752,0.010873,0.013984,0.017814,0.020146,0.080215,26136.436505,20936.896328,16053.399469,14968.605081,calls/second,milliseconds
1407248769,1262043,0.062612,0.008616,0.003600,0.004508,0.006803,0.010868,0.013908,0.017569,0.019662,0.062572,26332.476267,20936.896328,16053.399469,14968.605081,calls/second,milliseconds
1407248771,1316212,0.062612,0.008595,0.003600,0.004481,0.006798,0.010866,0.013844,0.016896,0.019662,0.062572,26362.848636,20936.896328,16053.399469,14968.605081,calls/second,milliseconds
1407248773,1380546,0.062612,0.008670,0.003600,0.004461,0.006835,0.010882,0.013884,0.016499,0.019069,0.062572,26587.533213,21490.677001,16248.594997,15040.041989,calls/second,milliseconds
1407248775,1435527,0.062612,0.008708,0.003678,0.004476,0.006868,0.010880,0.013908,0.017210,0.019069,0.062572,26616.728246,21490.677001,16248.594997,15040.041989,calls/second,milliseconds
1407248777,1496842,0.062612,0.008741,0.003678,0.004482,0.006927,0.010881,0.014005,0.017210,0.019069,0.062572,26756.142866,22177.921083,16477.307184,15123.398883,calls/second,milliseconds
1407248779,1560378,0.061243,0.008741,0.003678,0.004167,0.006965,0.010898,0.014150,0.016810,0.018689,0.060980,26932.027927,22177.921083,16477.307184,15123.398883,calls/second,milliseconds
1407248781,1625819,0.061243,0.008721,0.003678,0.004056,0.006944,0.010913,0.014194,0.016499,0.018445,0.060980,27126.887816,22177.921083,16477.307184,15123.398883,calls/second,milliseconds
1407248783,1689005,0.061243,0.008786,0.003678,0.004099,0.007027,0.010925,0.014752,0.016911,0.019069,0.060980,27266.587069,22936.881801,16728.423615,15215.070676,calls/second,milliseconds
1407248785,1751376,0.061243,0.008756,0.003678,0.003867,0.007053,0.010952,0.014190,0.016810,0.018689,0.060917,27397.817753,22936.881801,16728.423615,15215.070676,calls/second,milliseconds
1407248787,1799434,0.061243,0.008751,0.003678,0.003856,0.007049,0.010954,0.014133,0.016499,0.018689,0.060917,27295.551774,23518.104392,16951.191664,15298.123811,calls/second,milliseconds
1407248789,1853090,0.061243,0.008683,0.003678,0.003477,0.007053,0.010954,0.014054,0.016248,0.018321,0.060206,27274.262079,23518.104392,16951.191664,15298.123811,calls/second,milliseconds
1407248791,1913979,0.061243,0.008719,0.003629,0.003457,0.007088,0.010966,0.014094,0.016201,0.018020,0.060206,27369.001017,23518.104392,16951.191664,15298.123811,calls/second,milliseconds
1407248793,1975760,0.061243,0.008751,0.003629,0.003463,0.007181,0.010999,0.014017,0.016201,0.018321,0.060206,27467.123578,23842.699731,17126.834051,15366.155084,calls/second,milliseconds
1407248795,2036241,0.061243,0.008752,0.003629,0.003467,0.007131,0.010995,0.014017,0.016201,0.018445,0.060206,27543.858031,23842.699731,17126.834051,15366.155084,calls/second,milliseconds
1407248797,2097912,0.061243,0.008784,0.003613,0.003478,0.007252,0.011007,0.014110,0.016201,0.018445,0.060206,27629.626435,24392.178522,17351.426679,15451.190018,calls/second,milliseconds
1407248799,2157992,0.025479,0.008769,0.003613,0.003062,0.007299,0.010991,0.014110,0.016248,0.018279,0.025357,27688.076373,24392.178522,17351.426679,15451.190018,calls/second,milliseconds
1407248801,2218656,0.025479,0.008821,0.003613,0.003062,0.007538,0.010995,0.014097,0.016248,0.018298,0.025357,27759.092409,24392.178522,17351.426679,15451.190018,calls/second,milliseconds
1407248803,2280307,0.025479,0.008852,0.003613,0.003056,0.007591,0.011007,0.014139,0.016064,0.017909,0.025357,27830.868597,24862.910753,17565.110589,15533.341663,calls/second,milliseconds
1407248805,2342346,0.025479,0.008855,0.003613,0.003076,0.007585,0.011007,0.014180,0.016248,0.017909,0.025357,27901.489978,24862.910753,17565.110589,15533.341663,calls/second,milliseconds
1407248807,2406567,0.025479,0.008837,0.003613,0.003089,0.007526,0.010995,0.014190,0.016248,0.017909,0.025357,27997.430161,25349.255732,17786.270626,15618.727917,calls/second,milliseconds
1407248809,2468840,0.025479,0.008836,0.003613,0.003055,0.007543,0.010992,0.014175,0.016149,0.017881,0.025357,28077.502697,25349.255732,17786.270626,15618.727917,calls/second,milliseconds
1407248811,2531553,0.025479,0.008785,0.003613,0.003031,0.007426,0.010978,0.014097,0.015805,0.017365,0.025357,28151.912248,25349.255732,17786.270626,15618.727917,calls/second,milliseconds
1407248813,2594548,0.025479,0.008800,0.003613,0.003030,0.007475,0.010985,0.014097,0.016005,0.017365,0.025357,28219.451025,25841.186010,18012.968387,15706.722550,calls/second,milliseconds
1407248815,2656664,0.021282,0.008762,0.003613,0.002982,0.007440,0.010973,0.014017,0.015606,0.017244,0.021251,28285.327733,25841.186010,18012.968387,15706.722550,calls/second,milliseconds
1407248817,2694770,0.021282,0.008754,0.003613,0.002988,0.007426,0.010963,0.013988,0.015805,0.017365,0.021251,28084.096998,26008.438222,18176.932087,15774.457986,calls/second,milliseconds
1407248819,2756104,0.021282,0.008776,0.003613,0.002988,0.007509,0.010965,0.013988,0.016005,0.017365,0.021251,28143.480152,26008.438222,18176.932087,15774.457986,calls/second,milliseconds
1407248821,2814330,0.021282,0.008777,0.003613,0.002944,0.007584,0.010959,0.013885,0.015555,0.017244,0.021251,28158.553194,26008.438222,18176.932087,15774.457986,calls/second,milliseconds
1407248823,2875623,0.021282,0.008830,0.003613,0.002934,0.008094,0.010963,0.013907,0.015526,0.017244,0.021251,28212.473569,26216.543564,18349.395366,15845.575487,calls/second,milliseconds
1407248825,2925429,0.021282,0.008845,0.003613,0.002959,0.008094,0.010974,0.013940,0.015641,0.017244,0.021251,28149.419004,26216.543564,18349.395366,15845.575487,calls/second,milliseconds
1407248827,2989502,0.021282,0.008840,0.003613,0.002965,0.008094,0.010965,0.013914,0.015641,0.017244,0.021251,28215.005773,26414.182292,18520.284082,15916.726687,calls/second,milliseconds
1407248829,3052352,0.021282,0.008840,0.003613,0.002949,0.008106,0.010970,0.013907,0.015641,0.017244,0.021251,28282.295379,26414.182292,18520.284082,15916.726687,calls/second,milliseconds
1407248831,3117609,0.021282,0.008822,0.003613,0.002928,0.008078,0.010974,0.013804,0.015526,0.017244,0.021251,28361.732232,26414.182292,18520.284082,15916.726687,calls/second,milliseconds
1407248833,3181229,0.021282,0.008845,0.003613,0.002927,0.008123,0.010985,0.013850,0.015526,0.017182,0.021251,28416.960115,26863.614053,18743.665994,16006.025479,calls/second,milliseconds
1407248835,3241734,0.021282,0.008856,0.003613,0.002918,0.008106,0.010986,0.013907,0.015394,0.016951,0.021251,28454.872657,26863.614053,18743.665994,16006.025479,calls/second,milliseconds
1407248837,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,28292.565768,27205.646933,18948.582513,16089.877755,calls/second,milliseconds
1407248839,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,27809.934777,27205.646933,18948.582513,16089.877755,calls/second,milliseconds
1407248841,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,27348.140459,27205.646933,18948.582513,16089.877755,calls/second,milliseconds
1407248843,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,26899.700976,25098.717559,18649.511982,16005.470892,calls/second,milliseconds
1407248845,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,26465.088958,25098.717559,18649.511982,16005.470892,calls/second,milliseconds
1407248847,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,26044.333831,23091.934905,18341.262662,15916.798151,calls/second,milliseconds
1407248849,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,25638.335502,23091.934905,18341.262662,15916.798151,calls/second,milliseconds
1407248851,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,25243.694736,23091.934905,18341.262662,15916.798151,calls/second,milliseconds
1407248853,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,24860.213773,21245.605732,18038.108255,15828.616670,calls/second,milliseconds
1407248855,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,24489.512269,21245.605732,18038.108255,15828.616670,calls/second,milliseconds
1407248857,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,24128.611402,19546.900889,17739.964549,15740.923727,calls/second,milliseconds
1407248859,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,23779.102153,19546.900889,17739.964549,15740.923727,calls/second,milliseconds
1407248861,3279716,0.021282,0.008834,0.003613,0.002916,0.008055,0.010976,0.013850,0.015394,0.017182,0.021251,23438.616332,19546.900889,17739.964549,15740.923727,calls/second,milliseconds
