timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407248722,,,,,,,,2
1407248723,1191,1191,0.022012,1289,0.021209,0.029146,0.045817,1238
1407248724,,,,,,,,2813
1407248725,9092,9092,0.013954,9420,0.004284,0.022379,0.029154,5534
1407248726,,,,,,,,7132
1407248727,29064,29064,0.010144,29566,0.003958,0.018551,0.024557,14071
1407248728,,,,,,,,15282
1407248729,61150,61150,0.009075,61191,0.003288,0.015714,0.022611,16145
1407248730,,,,,,,,17208
1407248731,97695,97695,0.008638,98046,0.002935,0.015145,0.018755,19910
1407248732,,,,,,,,20871
1407248733,140581,140584,0.008419,141209,0.002866,0.014677,0.016876,21736
1407248734,,,,,,,,22599
1407248735,188279,188281,0.008476,188729,0.005445,0.014538,0.018038,26369
1407248736,,,,,,,,22118
1407248737,235964,235966,0.008434,236164,0.005456,0.014881,0.017161,24845
1407248738,,,,,,,,26755
1407248739,288279,288279,0.008445,288449,0.005460,0.014816,0.018038,25329
1407248740,,,,,,,,20655
1407248741,334059,334059,0.008447,334470,0.005468,0.014578,0.019504,25622
1407248742,,,,,,,,26028
1407248743,386152,386154,0.008445,386386,0.005448,0.014807,0.018038,26521
1407248744,,,,,,,,26225
1407248745,436010,436010,0.008453,436208,0.005410,0.015045,0.017029,22618
1407248746,,,,,,,,26940
1407248747,488680,488680,0.008455,489190,0.005453,0.015394,0.017090,26812
1407248748,,,,,,,,26240
1407248749,540643,540644,0.008464,540957,0.005442,0.015242,0.017267,25249
1407248750,,,,,,,,24182
1407248751,588629,588629,0.008454,589155,0.005442,0.015366,0.017090,24335
1407248752,,,,,,,,24524
1407248753,636284,636284,0.008407,636358,0.005429,0.015323,0.017073,22756
1407248754,,,,,,,,24032
1407248755,686240,686240,0.008420,686384,0.005433,0.015366,0.017011,26062
1407248756,,,,,,,,27176
1407248757,737421,737421,0.008433,737866,0.005454,0.015441,0.017107,23777
1407248758,,,,,,,,25916
1407248759,788530,788532,0.008389,788917,0.005408,0.015340,0.017011,25321
1407248760,,,,,,,,25814
1407248761,840378,840378,0.008362,841226,0.005358,0.015006,0.016964,25906
1407248762,,,,,,,,26693
1407248763,891151,891151,0.008368,891351,0.005348,0.014806,0.016919,23239
1407248764,,,,,,,,26237
1407248765,942271,942273,0.008341,942648,0.005339,0.014359,0.016919,25791
1407248766,,,,,,,,25718
1407248767,994449,994451,0.008421,994887,0.005390,0.014891,0.016964,26362
1407248768,,,,,,,,26021
