timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407248722,,,,,,,,500
1407248723,5979,5980,0.242344,6741,1.569108,0.433018,0.806710,5742
1407248724,,,,,,,,18792
1407248725,46513,46514,0.055543,47293,0.100537,0.179645,0.472984,23209
1407248726,,,,,,,,24052
1407248727,95658,95659,0.043222,96110,0.090161,0.111374,0.336771,25364
1407248728,,,,,,,,27602
1407248729,146237,146242,0.038218,146566,0.084054,0.070851,0.303893,23310
1407248730,,,,,,,,26949
1407248731,202115,202117,0.035550,202712,0.081794,0.055971,0.272560,28604
1407248732,,,,,,,,25701
1407248733,256495,256495,0.036831,256858,0.145297,0.049418,0.265408,29335
1407248734,,,,,,,,25296
1407248735,307577,307581,0.035712,308335,0.144608,0.043468,0.217084,26239
1407248736,,,,,,,,27123
1407248737,362910,362912,0.033467,363542,0.130014,0.039723,0.182507,27330
1407248738,,,,,,,,31289
1407248739,424837,424839,0.033241,425246,0.129994,0.038947,0.179308,30752
1407248740,,,,,,,,20498
1407248741,476482,476483,0.033115,476700,0.129944,0.039024,0.179308,31189
1407248742,,,,,,,,29847
1407248743,529294,529294,0.033101,529367,0.129940,0.038075,0.179308,22982
1407248744,,,,,,,,25854
1407248745,581817,581820,0.032408,582426,0.128996,0.037354,0.118056,26649
1407248746,,,,,,,,29117
1407248747,640333,640336,0.032184,640790,0.128971,0.035929,0.118056,29797
1407248748,,,,,,,,30027
1407248749,694690,694691,0.032007,695059,0.128968,0.035543,0.118056,22912
1407248750,,,,,,,,25407
1407248751,746932,746934,0.031929,747360,0.128967,0.035404,0.118056,28443
1407248752,,,,,,,,30726
1407248753,805506,805507,0.031733,806053,0.128754,0.035553,0.111181,27879
1407248754,,,,,,,,27869
1407248755,863387,863388,0.026816,863747,0.015612,0.035330,0.085219,27566
1407248756,,,,,,,,25013
1407248757,914543,914546,0.026576,915468,0.014899,0.035119,0.079296,28798
1407248758,,,,,,,,27490
1407248759,969768,969768,0.026529,969887,0.014868,0.034909,0.079296,26854
1407248760,,,,,,,,29410
1407248761,1028667,1028670,0.026350,1029477,0.014505,0.033246,0.053648,29518
1407248762,,,,,,,,30148
1407248763,1088535,1088538,0.026209,1088811,0.014250,0.030282,0.048131,29076
1407248764,,,,,,,,27774
1407248765,1146028,1146032,0.026136,1146330,0.014214,0.029227,0.047916,30601
1407248766,,,,,,,,30929
1407248767,1200055,1200058,0.026155,1200884,0.014223,0.029455,0.047916,23504
1407248768,,,,,,,,30826
1407248769,1261953,1261953,0.026131,1262043,0.014224,0.029300,0.047916,30806
1407248770,,,,,,,,30621
1407248771,1316064,1316065,0.026120,1316198,0.014228,0.029300,0.047916,23558
1407248772,,,,,,,,33963
1407248773,1380492,1380493,0.026972,1380532,0.031062,0.029300,0.053628,30511
1407248774,,,,,,,,32614
1407248775,1435509,1435510,0.026939,1435911,0.031055,0.029021,0.053628,22561
1407248776,,,,,,,,30789
1407248777,1496200,1496201,0.026939,1496919,0.031056,0.029146,0.053628,29421
1407248778,,,,,,,,33655
1407248779,1559844,1559847,0.026940,1560538,0.031058,0.029146,0.053628,30310
1407248780,,,,,,,,33339
1407248781,1625318,1625320,0.026726,1625806,0.030252,0.029146,0.049571,31720
1407248782,,,,,,,,31427
1407248783,1688417,1688420,0.026722,1688984,0.030254,0.029146,0.049571,32116
1407248784,,,,,,,,30788
1407248785,1751105,1751108,0.026518,1751657,0.029595,0.028971,0.049571,31553
1407248786,,,,,,,,25050
1407248787,1799216,1799219,0.026500,1799424,0.029593,0.028866,0.049571,23517
1407248788,,,,,,,,28305
1407248789,1852143,1852146,0.026481,1853068,0.029592,0.028866,0.049571,24930
1407248790,,,,,,,,28018
1407248791,1913343,1913347,0.026238,1913963,0.028605,0.028420,0.047916,33133
1407248792,,,,,,,,30378
1407248793,1975575,1975576,0.026196,1975760,0.028586,0.028048,0.046807,31067
1407248794,,,,,,,,29865
1407248795,2036031,2036033,0.026108,2036262,0.028437,0.028048,0.044660,30475
1407248796,,,,,,,,31617
1407248797,2097485,2097487,0.026107,2097890,0.028437,0.028048,0.044660,30543
1407248798,,,,,,,,32834
1407248799,2157066,2157069,0.026104,2157976,0.028441,0.028183,0.044660,26412
1407248800,,,,,,,,32557
1407248801,2218451,2218453,0.026101,2218641,0.028437,0.027891,0.044660,28953
1407248802,,,,,,,,30696
1407248803,2280091,2280092,0.026090,2280295,0.028417,0.028048,0.044185,29896
1407248804,,,,,,,,30602
1407248805,2341368,2341370,0.026109,2342438,0.028426,0.028420,0.044407,31797
1407248806,,,,,,,,32029
1407248807,2405379,2405383,0.026102,2406053,0.028426,0.028420,0.044407,32089
1407248808,,,,,,,,30654
1407248809,2468405,2468409,0.026112,2468829,0.028432,0.028575,0.044407,32432
1407248810,,,,,,,,33018
1407248811,2531212,2531217,0.026167,2531542,0.028440,0.028990,0.044901,29313
1407248812,,,,,,,,29941
1407248813,2593639,2593646,0.026131,2594611,0.028418,0.028990,0.044136,32868
1407248814,,,,,,,,31709
1407248815,2656254,2656263,0.026090,2656661,0.028362,0.029227,0.043472,31056
1407248816,,,,,,,,13767
1407248817,2693371,2693380,0.026081,2694755,0.028362,0.029227,0.043472,23592
1407248818,,,,,,,,33112
