operator,tuple_size
source,184
source,184
source,184
source,184
source,192
source,192
source,192
source,192
source,192
source,192
source,192
source,208
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,216
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,224
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,232
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,240
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,248
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,256
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,264
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
source,272
