t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407240184,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1407240186,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1407240188,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1407240190,209184,0.008518,0.000349,0.000060,0.000503,0.000213,0.000270,0.001157,0.001477,0.001965,0.008426,26275.087580,0.000000,0.000000,0.000000,calls/second,milliseconds
1407240192,388719,0.008518,0.000288,0.000060,0.000404,0.000212,0.000246,0.000727,0.001216,0.001522,0.008426,38860.252007,6192.448149,1280.112762,429.077016,calls/second,milliseconds
1407240194,623678,0.008518,0.000271,0.000060,0.000386,0.000211,0.000241,0.000426,0.001118,0.001487,0.008426,51970.011537,6192.448149,1280.112762,429.077016,calls/second,milliseconds
1407240196,806168,0.008518,0.000267,0.000060,0.000378,0.000211,0.000243,0.000415,0.000846,0.001272,0.008426,57694.883187,6192.448149,1280.112762,429.077016,calls/second,milliseconds
1407240198,1044501,0.008518,0.000257,0.000059,0.000370,0.000210,0.000238,0.000378,0.000749,0.001130,0.008426,65413.432096,14331.986855,3043.924952,1024.998606,calls/second,milliseconds
1407240200,1278386,0.005355,0.000240,0.000059,0.000221,0.000209,0.000234,0.000356,0.000526,0.000861,0.005292,71025.466672,14331.986855,3043.924952,1024.998606,calls/second,milliseconds
1407240202,1416649,0.005355,0.000239,0.000059,0.000220,0.000209,0.000233,0.000353,0.000518,0.000861,0.005292,70639.762999,20964.799437,4601.645804,1558.311374,calls/second,milliseconds
1407240204,1646546,0.005355,0.000234,0.000059,0.000212,0.000209,0.000232,0.000338,0.000443,0.000752,0.005292,74968.964217,20964.799437,4601.645804,1558.311374,calls/second,milliseconds
1407240206,1844669,0.005355,0.000239,0.000059,0.000232,0.000210,0.000234,0.000345,0.000470,0.000779,0.005292,76991.622335,20964.799437,4601.645804,1558.311374,calls/second,milliseconds
1407240208,1989079,0.005355,0.000239,0.000059,0.000231,0.000210,0.000235,0.000348,0.000455,0.000752,0.005292,76602.357786,26698.702349,6057.426503,2063.130514,calls/second,milliseconds
