t,value
1407240184,{total=0}
1407240186,{total=0}
1407240188,{total=0}
1407240190,{1407240188=27937; 1407240189=117722; total=145659}
1407240192,{1407240191=89064; 1407240190=122739; total=211803}
1407240194,{1407240193=120427; 1407240192=81536; total=201963}
1407240196,{1407240195=104831; 1407240194=118041; total=222872}
1407240198,{1407240197=122264; 1407240196=76610; total=198874}
1407240200,{1407240199=118108; 1407240198=123163; total=241271}
1407240202,{1407240200=98376; 1407240201=92377; total=190753}
1407240204,{1407240202=51156; 1407240203=124302; total=175458}
1407240206,{1407240205=97056; 1407240204=118010; total=215066}
1407240208,{1407240206=73342; 1407240207=46661; total=120003}
1407240210,{1407240209=116302; 1407240208=124885; total=241187}
1407240212,{1407240211=32288; 1407240210=80248; total=112536}
1407240214,{1407240213=114689; 1407240212=90196; total=204885}
1407240216,{1407240214=99793; 1407240215=99793; total=199586}
1407240218,{1407240216=49897; total=49897}
1407240220,{1407240218=112267; total=112267}
1407240222,{1407240219=87319; 1407240220=24949; 1407240221=112267; total=224535}
1407240224,{1407240222=87319; 1407240223=24949; total=112268}
1407240226,{1407240224=74845; total=74845}
1407240228,{1407240227=113741; 1407240226=12475; 1407240225=74845; total=201061}
1407240230,{1407240228=98319; 1407240229=87319; total=185638}
1407240232,{1407240230=62371; 1407240231=12475; total=74846}
1407240234,{1407240233=112251; 1407240232=232934; total=345185}
1407240236,{1407240234=113902; 1407240235=99840; total=213742}
1407240238,{1407240237=80696; 1407240236=83875; total=164571}
1407240240,{1407240239=87319; 1407240238=99793; total=187112}
1407240243,{1407240240=74845; total=74845}
1407240244,{1407240241=49897; 1407240243=74845; total=124742}
1407240247,{1407240244=112267; 1407240245=99793; total=212060}
1407240248,{1407240246=12475; 1407240247=49898; total=62373}
1407240250,{1407240248=99801; 1407240249=112276; total=212077}
1407240252,{1407240251=124751; 1407240250=99801; total=224552}
1407240255,{1407240252=99801; total=99801}
1407240256,{1407240253=37426; 1407240255=96375; total=133801}
1407240258,{1407240256=128177; 1407240257=124751; total=252928}
1407240260,{1407240258=137226; 1407240259=149701; total=286927}
1407240262,{1407240260=149701; 1407240261=149701; total=299402}
1407240264,{1407240262=162176; 1407240263=162176; total=324352}
