t,value
1407240184,{total=0}
1407240186,{total=0}
1407240188,{1407240187=61406; total=61406}
1407240190,{1407240188=69953; 1407240189=225; total=70178}
1407240192,{1407240191=157; 1407240190=236; total=393}
1407240194,{1407240193=251; 1407240192=136; total=387}
1407240196,{1407240195=210; 1407240194=207; total=417}
1407240198,{1407240197=221; 1407240196=133; total=354}
1407240200,{1407240199=151; 1407240198=184; total=335}
1407240202,{1407240200=141; total=141}
1407240204,{1407240201=138; 1407240202=61; 1407240203=407; total=606}
1407240206,{1407240205=359; 1407240204=492; total=851}
1407240208,{1407240206=286; 1407240207=77; total=363}
1407240210,{1407240209=1056; 1407240208=388; total=1444}
1407240212,{1407240211=381; 1407240210=1368; total=1749}
1407240214,{1407240213=1319; 1407240212=748; total=2067}
1407240216,{1407240214=552; 1407240215=255; total=807}
1407240218,{1407240216=193; total=193}
1407240220,{1407240218=220; total=220}
1407240222,{1407240219=133; 1407240220=36; 1407240221=151; total=320}
1407240224,{1407240222=162; 1407240223=36; total=198}
1407240226,{1407240224=133; total=133}
1407240228,{1407240227=834; 1407240226=2; 1407240225=150; total=986}
1407240230,{1407240228=682; 1407240229=133554; total=134236}
1407240232,{1407240230=442; 1407240231=53; total=495}
1407240234,{1407240233=418; 1407240232=330; total=748}
1407240236,{1407240234=449; 1407240235=520; total=969}
1407240238,{1407240237=495; 1407240236=335; total=830}
1407240240,{1407240239=470; 1407240238=689; total=1159}
1407240243,{1407240240=582; total=582}
1407240244,{1407240241=254; 1407240243=362; total=616}
1407240247,{1407240244=232; 1407240245=264; total=496}
1407240248,{1407240246=22; 1407240247=57; total=79}
1407240250,{1407240248=190; 1407240249=158; total=348}
1407240252,{1407240251=203; 1407240250=174; total=377}
1407240255,{1407240252=105; total=105}
1407240256,{1407240253=57; 1407240255=87; total=144}
1407240258,{1407240256=287; 1407240257=305; total=592}
1407240260,{1407240258=297; 1407240259=240; total=537}
1407240262,{1407240260=561; 1407240261=403; total=964}
1407240264,{1407240262=291; 1407240263=464; total=755}
