t,value
1407240184,140014104
1407240186,280596744
1407240188,293583016
1407240190,350450536
1407240192,117040728
1407240194,531099048
1407240196,286035472
1407240198,203020208
1407240200,247897648
1407240202,261428744
1407240204,356798528
1407240206,386492944
1407240208,365230944
1407240210,409934120
1407240212,614907832
1407240214,768093648
1407240216,553703664
1407240218,604345392
1407240220,568525424
1407240222,648938912
1407240224,635265408
1407240226,654840600
1407240228,823618312
1407240230,873757680
1407240232,880147352
1407240234,831420416
1407240236,911079240
1407240238,891641088
1407240240,1006073360
1407240243,783973856
1407240244,1065583160
1407240247,846025776
1407240248,926030552
1407240250,989017904
1407240252,990479184
1407240255,939634224
1407240256,1248327616
1407240258,1103461736
1407240260,1220502104
1407240262,1026623296
1407240264,1319196368
