t,value
1407240184,1590689792
1407240186,1590689792
1407240188,1590689792
1407240190,1590689792
1407240192,1590689792
1407240194,1590689792
1407240196,1590689792
1407240198,1590689792
1407240200,1590689792
1407240202,1590689792
1407240204,1590689792
1407240206,1590689792
1407240208,1590689792
1407240210,1590689792
1407240212,1590689792
1407240214,1590689792
1407240216,1590689792
1407240218,1590689792
1407240220,1590689792
1407240222,1590689792
1407240224,1590689792
1407240226,1590689792
1407240228,1590689792
1407240230,1590689792
1407240232,1590689792
1407240234,1590689792
1407240236,1590689792
1407240238,1590689792
1407240240,1590689792
1407240243,1590689792
1407240244,1590689792
1407240247,1660420096
1407240248,1656225792
1407240250,1662517248
1407240252,1661468672
1407240255,1647312896
1407240256,1649410048
1407240258,1671954432
1407240260,1637351424
1407240262,1682964480
1407240264,1689780224
