t,value
1407240184,152068976
1407240186,288890544
1407240188,306635752
1407240190,362367488
1407240192,136551232
1407240194,545685584
1407240196,301003344
1407240198,211926704
1407240200,261077008
1407240202,275217472
1407240204,367770392
1407240206,398560520
1407240208,380261128
1407240210,426632784
1407240212,628203344
1407240214,777075776
1407240216,565842672
1407240218,618573984
1407240220,578774664
1407240222,660211392
1407240224,647851168
1407240226,665379120
1407240228,834425504
1407240230,887081280
1407240232,893892336
1407240234,840407520
1407240236,920066344
1407240238,904760192
1407240240,1017185376
1407240243,796733048
1407240244,1074574488
1407240247,859281808
1407240248,936610112
1407240250,1000198440
1407240252,1000996600
1407240255,952003640
1407240256,1257736216
1407240258,1112453872
1407240260,1229494624
1407240262,1035616408
1407240264,1335440352
