t,value
1407240184,{1407240182=799; 1407240183=10594; total=11393}
1407240186,{1407240184=28119; 1407240185=35962; total=64081}
1407240188,{1407240186=43959; total=43959}
1407240190,{1407240187=11893; 1407240188=65220; 1407240189=39632; total=116745}
1407240192,{1407240190=41291; total=41291}
1407240194,{1407240193=41460; 1407240192=65467; total=106927}
1407240196,{1407240194=35311; total=35311}
1407240198,{1407240197=47256; 1407240196=61339; total=108595}
1407240200,{1407240198=16904; total=16904}
1407240202,{1407240201=76054; 1407240199=33816; total=109870}
1407240204,{1407240202=20768; 1407240203=26252; total=47020}
1407240206,{1407240204=31080; total=31080}
1407240208,{1407240206=60257; 1407240207=19101; total=79358}
1407240210,{1407240208=34493; total=34493}
1407240212,{1407240209=28680; 1407240211=32168; total=60848}
1407240214,{1407240213=24934; 1407240212=77294; total=102228}
1407240216,{1407240214=38023; total=38023}
1407240218,{1407240215=2877; total=2877}
1407240220,{1407240219=13960; 1407240218=80344; total=94304}
1407240222,{1407240220=3813; 1407240221=34750; total=38563}
1407240224,{total=0}
1407240226,{1407240222=26866; total=26866}
1407240228,{1407240227=29696; 1407240226=4833; 1407240225=60292; total=94821}
1407240230,{1407240228=30470; total=30470}
1407240232,{total=0}
1407240234,{1407240233=35424; 1407240232=64183; 1407240229=28544; total=128151}
1407240236,{1407240234=37858; 1407240235=7558; total=45416}
1407240238,{1407240237=38549; 1407240236=50731; total=89280}
1407240240,{1407240238=29506; total=29506}
1407240243,{1407240239=25961; total=25961}
1407240244,{1407240241=66057; 1407240243=29494; total=95551}
1407240247,{1407240244=33812; total=33812}
1407240248,{1407240245=10070; total=10070}
1407240250,{1407240248=68229; 1407240249=33339; total=101568}
1407240252,{1407240251=11999; 1407240250=27006; total=39005}
1407240255,{total=0}
1407240256,{1407240252=2969; total=2969}
1407240258,{total=0}
1407240260,{total=0}
1407240262,{total=0}
1407240264,{total=0}
