t,count
1407240184,0
1407240186,0
1407240188,122163
1407240190,144348
1407240192,281276
1407240194,288570
1407240196,436057
1407240198,441848
1407240200,498301
1407240202,597975
1407240204,597975
1407240206,743543
1407240208,743543
1407240210,832279
1407240212,909646
1407240214,909646
1407240216,1009743
1407240218,1073688
1407240220,1073688
1407240222,1073688
1407240224,1130947
1407240226,1230585
1407240228,1230585
1407240230,1280456
1407240232,1355986
1407240234,1378055
1407240236,1510534
1407240238,1521142
1407240240,1596557
1407240243,1660833
1407240244,1660833
1407240247,1736086
1407240248,1805624
1407240250,1805624
1407240252,1841204
1407240255,1923993
1407240256,1951752
1407240258,1951752
1407240260,1951752
1407240262,1951752
1407240264,1951752
