t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407240184,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1407240186,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1407240188,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,calls/second,milliseconds
1407240190,23070,0.001197,0.000156,0.000045,0.000077,0.000125,0.000194,0.000262,0.000284,0.000304,0.001188,2896.663343,0.000000,0.000000,0.000000,calls/second,milliseconds
1407240192,44321,0.001197,0.000134,0.000043,0.000067,0.000119,0.000136,0.000247,0.000274,0.000298,0.001184,4424.308100,708.742300,146.512339,49.109015,calls/second,milliseconds
1407240194,70578,0.001197,0.000128,0.000043,0.000063,0.000117,0.000124,0.000211,0.000263,0.000292,0.001184,5880.093511,708.742300,146.512339,49.109015,calls/second,milliseconds
1407240196,89779,0.001197,0.000122,0.000043,0.000063,0.000115,0.000123,0.000204,0.000259,0.000282,0.001184,6420.906296,708.742300,146.512339,49.109015,calls/second,milliseconds
1407240198,115644,0.001197,0.000123,0.000043,0.000067,0.000116,0.000123,0.000201,0.000259,0.000301,0.001184,7241.504617,1596.173955,339.256471,114.253951,calls/second,milliseconds
1407240200,141610,0.001197,0.000120,0.000043,0.000060,0.000116,0.000122,0.000196,0.000249,0.000277,0.001184,7866.842901,1596.173955,339.256471,114.253951,calls/second,milliseconds
1407240202,156475,0.000753,0.000118,0.000044,0.000049,0.000116,0.000122,0.000194,0.000245,0.000275,0.000753,7801.756840,2317.919116,509.231800,172.474001,calls/second,milliseconds
1407240204,181174,0.000743,0.000117,0.000044,0.000039,0.000116,0.000122,0.000187,0.000229,0.000260,0.000733,8248.544969,2317.919116,509.231800,172.474001,calls/second,milliseconds
1407240206,200574,0.000743,0.000117,0.000044,0.000038,0.000116,0.000122,0.000183,0.000229,0.000260,0.000733,8370.911308,2317.919116,509.231800,172.474001,calls/second,milliseconds
1407240208,215415,0.000763,0.000118,0.000044,0.000044,0.000116,0.000122,0.000183,0.000235,0.000264,0.000762,8295.018035,2898.291195,659.102214,224.574288,calls/second,milliseconds
