t,value
1407240184,{1407240182=800; 1407240183=10594; total=11394}
1407240186,{1407240184=28118; 1407240185=35962; total=64080}
1407240188,{1407240187=41122; 1407240186=43959; total=85081}
1407240190,{1407240188=35991; 1407240189=39632; total=75623}
1407240192,{1407240191=30985; 1407240190=45051; total=76036}
1407240194,{1407240193=41460; 1407240192=30723; total=72183}
1407240196,{1407240195=36409; 1407240194=39943; total=76352}
1407240198,{1407240197=47256; 1407240196=20299; total=67555}
1407240200,{1407240199=35494; 1407240198=16904; total=52398}
1407240202,{1407240200=41391; 1407240201=32986; total=74377}
1407240204,{1407240202=20768; 1407240203=26252; total=47020}
1407240206,{1407240205=26966; 1407240204=42322; total=69288}
1407240208,{1407240206=22050; 1407240207=19101; total=41151}
1407240210,{1407240209=48354; 1407240208=34493; total=82847}
1407240212,{1407240211=14481; 1407240210=40735; total=55216}
1407240214,{1407240213=24934; 1407240212=34573; total=59507}
1407240216,{1407240214=38023; 1407240215=29148; total=67171}
1407240218,{1407240216=25905; 1407240217=2749; total=28654}
1407240220,{1407240219=13963; 1407240218=25421; total=39384}
1407240222,{1407240220=3810; 1407240221=34750; total=38560}
1407240224,{1407240222=32196; 1407240223=8216; total=40412}
1407240226,{1407240225=24628; 1407240224=22120; total=46748}
1407240228,{1407240227=29696; 1407240226=4833; total=34529}
1407240230,{1407240228=30470; 1407240229=31281; total=61751}
1407240232,{1407240230=17982; 1407240231=6914; total=24896}
1407240234,{1407240233=35424; 1407240232=36552; total=71976}
1407240236,{1407240234=37861; 1407240235=32607; total=70468}
1407240238,{1407240237=38549; 1407240236=25679; total=64228}
1407240240,{1407240239=40168; 1407240238=29506; total=69674}
1407240243,{1407240241=22397; 1407240240=29454; total=51851}
1407240244,{1407240243=29494; total=29494}
1407240247,{1407240244=33812; 1407240245=36755; 1407240246=5241; total=75808}
1407240248,{1407240247=9821; total=9821}
1407240250,{1407240248=26484; 1407240249=33339; total=59823}
1407240252,{1407240251=11999; 1407240250=27006; total=39005}
1407240255,{1407240253=12983; 1407240252=32448; total=45431}
1407240256,{total=0}
1407240258,{total=0}
1407240260,{total=0}
1407240262,{total=0}
1407240264,{total=0}
