t,count
1407240184,36922
1407240186,95205
1407240188,179865
1407240190,257438
1407240192,322514
1407240194,403169
1407240196,464166
1407240198,543475
1407240200,603102
1407240202,656426
1407240204,719420
1407240206,782842
1407240208,829305
1407240210,918602
1407240212,962142
1407240214,1028302
1407240216,1094042
1407240218,1125699
1407240220,1145592
1407240222,1200658
1407240224,1232392
1407240226,1271292
1407240228,1319851
1407240230,1383488
1407240232,1413234
1407240234,1482261
1407240236,1547194
1407240238,1615875
1407240240,1683701
1407240243,1720687
1407240244,1768975
1407240247,1825929
1407240248,1854041
1407240250,1914818
1407240252,1955512
1407240255,1980013
1407240256,2000001
1407240258,2000001
1407240260,2000001
1407240262,2000001
1407240264,2000001
