timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407240184,0,0,0.000000,0,0.000000,0.000000,0.000000,
1407240186,0,0,0.000000,0,0.000000,0.000000,0.000000,
1407240187,,,,,,,,61406
1407240188,0,121459,0.000768,122614,0.000362,0.001675,0.002159,69953
1407240189,,,,,,,,225
1407240190,208468,131687,0.000762,131687,0.000347,0.001655,0.002088,236
1407240191,,,,,,,,157
1407240192,386672,132010,0.000760,132010,0.000347,0.001655,0.002088,136
1407240193,,,,,,,,251
1407240194,622816,132462,0.112004,132483,3.566752,0.001657,0.002110,207
1407240195,,,,,,,,210
1407240196,802538,132819,0.112004,132819,3.566752,0.001657,0.002110,133
1407240197,,,,,,,,221
1407240198,1042870,133235,0.112004,133235,3.566752,0.001657,0.002110,184
1407240199,,,,,,,,151
1407240200,1273799,133559,0.112003,133559,3.566752,0.001657,0.002110,141
1407240201,,,,,,,,138
1407240202,1415332,133734,0.112003,133734,3.566752,0.001657,0.002110,61
1407240203,,,,,,,,407
1407240204,1647965,134546,0.112002,134546,3.566752,0.001657,0.002110,492
1407240205,,,,,,,,359
1407240206,1843405,135111,0.112002,135111,3.566752,0.001657,0.002110,286
1407240207,,,,,,,,77
1407240208,1986010,135586,0.205424,135586,4.655447,0.001663,0.002166,388
1407240209,,,,,,,,1056
1407240210,2208638,137727,0.302432,137727,5.595337,0.001675,0.002208,1368
1407240211,,,,,,,,381
1407240212,2308970,138881,0.302428,138881,5.595337,0.001657,0.002208,748
1407240213,,,,,,,,1319
1407240214,2563936,140967,0.302426,140967,5.595337,0.001657,0.002208,552
1407240215,,,,,,,,255
1407240216,2785170,141621,0.302425,141621,5.595337,0.001657,0.002208,193
1407240218,2876449,141792,0.302425,141792,5.595337,0.001657,0.002208,220
1407240219,,,,,,,,133
1407240220,3049317,142012,0.380292,142012,6.123227,0.001663,0.002223,36
1407240221,,,,,,,,151
1407240222,3242269,142268,0.380293,142289,6.123227,0.001663,0.002223,162
1407240223,,,,,,,,36
1407240224,3340731,142413,0.380293,142413,6.123227,0.001663,0.002223,133
1407240225,,,,,,,,150
1407240226,3470941,142674,0.380292,142674,6.123227,0.001663,0.002223,2
1407240227,,,,,,,,834
1407240228,3657269,143989,0.380289,143989,6.123227,0.001663,0.002223,682
1407240229,,,,,,,,133554
1407240230,3828898,278094,0.171774,278183,3.897556,0.000905,0.001859,442
1407240231,,,,,,,,53
1407240232,3901541,278433,0.171774,278468,3.897556,0.000905,0.001859,330
1407240233,,,,,,,,418
1407240234,4119905,279295,0.171773,279295,3.897556,0.000905,0.001859,449
1407240235,,,,,,,,520
1407240236,4316398,280093,0.171774,280093,3.897556,0.000905,0.001859,335
1407240237,,,,,,,,495
1407240238,4514631,280932,0.171775,280974,3.897556,0.000905,0.001859,689
1407240239,,,,,,,,470
1407240240,4742318,282364,0.171777,282364,3.897556,0.000924,0.001859,582
1407240241,,,,,,,,254
1407240243,4846769,282767,0.171777,282769,3.897556,0.000924,0.001859,362
1407240244,4979446,283266,0.171777,283266,3.897556,0.000905,0.001859,232
1407240245,,,,,,,,264
1407240246,,,,,,,,22
1407240247,5154484,283643,0.171777,283643,3.897556,0.000905,0.001859,57
1407240248,5254196,283820,0.171777,283839,3.897556,0.000905,0.001859,190
1407240249,,,,,,,,158
1407240250,5460734,284129,0.171777,284129,3.897556,0.000905,0.001859,174
1407240251,,,,,,,,203
1407240252,5688745,284471,0.171777,284471,3.897556,0.000905,0.001859,105
1407240253,,,,,,,,57
1407240255,5769197,284580,0.171777,284580,3.897556,0.000905,0.001859,87
1407240256,5921685,284753,0.171777,284753,3.897556,0.000905,0.001859,287
1407240257,,,,,,,,305
1407240258,6171396,285383,0.171778,285383,3.897556,0.000905,0.001859,297
1407240259,,,,,,,,240
1407240260,6438587,286014,0.171778,286014,3.897556,0.000905,0.001859,561
1407240261,,,,,,,,403
1407240262,6717599,286912,0.171778,286912,3.897556,0.000905,0.001859,291
1407240263,,,,,,,,464
1407240264,7015487,287777,0.266702,287777,4.941789,0.000905,0.001867,
