timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407240182,,,,,,,,799
1407240183,,,,,,,,10594
1407240184,0,36922,0.000593,37972,0.001501,0.001524,0.004987,28119
1407240185,,,,,,,,35962
1407240186,0,95205,0.000484,95563,0.004487,0.001050,0.004316,43959
1407240187,,,,,,,,11893
1407240188,122163,131320,0.000412,131320,0.004463,0.000860,0.001631,65220
1407240189,,,,,,,,39632
1407240190,144348,257401,0.000357,258568,0.000717,0.002279,0.004364,41291
1407240192,281276,281346,0.000696,285227,0.011476,0.001592,0.004364,65467
1407240193,,,,,,,,41460
1407240194,288570,403093,0.000302,404655,0.000615,0.000886,0.004286,35311
1407240196,436057,436088,0.000542,440916,0.005856,0.000850,0.004316,61339
1407240197,,,,,,,,47256
1407240198,441848,543475,0.000413,543475,0.004929,0.000417,0.002396,16904
1407240199,,,,,,,,33816
1407240200,498301,579006,0.000416,579006,0.004929,0.000427,0.002396,
1407240201,,,,,,,,76054
1407240202,597975,656399,0.000404,657415,0.004928,0.000412,0.002393,20768
1407240203,,,,,,,,26252
1407240204,597975,719387,0.000391,720163,0.004924,0.000373,0.002383,31080
1407240206,743543,782842,0.000557,783119,0.007539,0.000373,0.002374,60257
1407240207,,,,,,,,19101
1407240208,743543,829305,0.000553,830509,0.007538,0.000367,0.002367,34493
1407240209,,,,,,,,28680
1407240210,832279,875683,0.000554,875683,0.007538,0.000350,0.002367,
1407240211,,,,,,,,32168
1407240212,909646,961715,0.000535,962616,0.007537,0.000321,0.002307,77294
1407240213,,,,,,,,24934
1407240214,909646,1028284,0.000536,1029172,0.007536,0.000321,0.002307,38023
1407240215,,,,,,,,2877
1407240216,1009743,1050974,0.000538,1050974,0.007536,0.000321,0.002307,
1407240218,1073688,1125383,0.000530,1126603,0.007536,0.000308,0.002297,80344
1407240219,,,,,,,,13960
1407240220,1073688,1145279,0.000530,1147368,0.007536,0.000304,0.002297,3813
1407240221,,,,,,,,34750
1407240222,1073688,1200344,0.000529,1201952,0.007536,0.000304,0.002065,26866
1407240224,1130947,1210702,0.000529,1210702,0.007536,0.000304,0.002065,
1407240225,,,,,,,,60292
1407240226,1230585,1270993,0.000524,1274525,0.007536,0.000304,0.002056,4833
1407240227,,,,,,,,29696
1407240228,1230585,1319539,0.000524,1321145,0.007536,0.000306,0.001398,30470
1407240229,,,,,,,,28544
1407240230,1280456,1364532,0.000527,1364532,0.007536,0.000302,0.001398,
1407240232,1355986,1364532,0.000527,1364532,0.007536,0.000302,0.001398,64183
1407240233,,,,,,,,35424
1407240234,1378055,1482261,0.000367,1482261,0.005726,0.000294,0.000919,37858
1407240235,,,,,,,,7558
1407240236,1510534,1510555,0.000369,1513134,0.005726,0.000298,0.000919,50731
1407240237,,,,,,,,38549
1407240238,1521142,1615875,0.000490,1615875,0.006937,0.000294,0.001119,29506
1407240239,,,,,,,,25961
1407240240,1596557,1654294,0.000485,1654294,0.006935,0.000294,0.000849,
1407240241,,,,,,,,66057
1407240243,1660833,1720350,0.000553,1723150,0.007301,0.000289,0.000919,29494
1407240244,1660833,1768975,0.000553,1770513,0.007301,0.000287,0.000919,33812
1407240245,,,,,,,,10070
1407240247,1736086,1793723,0.000553,1793723,0.007301,0.000283,0.000919,
1407240248,1805624,1853746,0.000551,1856733,0.007301,0.000289,0.000842,68229
1407240249,,,,,,,,33339
1407240250,1805624,1914795,0.000553,1916208,0.007301,0.000289,0.000842,27006
1407240251,,,,,,,,11999
1407240252,1841204,1937260,0.000554,1937260,0.007301,0.000290,0.000842,2969
1407240255,1923993,1937260,0.000554,1937260,0.007301,0.000290,0.000842,
1407240256,1951752,2000000,0.000550,2000000,0.007301,0.000287,0.000788,
1407240258,1951752,2000000,0.000550,2000000,0.007301,0.000287,0.000788,
1407240260,1951752,2000000,0.000550,2000000,0.007301,0.000287,0.000788,
1407240262,1951752,2000000,0.000550,2000000,0.007301,0.000287,0.000788,
1407240264,1951752,2000000,0.000550,2000000,0.007301,0.000287,0.000788,
