timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407240184,0,0,0.000000,0,0.000000,0.000000,0.000000,
1407240186,0,0,0.000000,0,0.000000,0.000000,0.000000,
1407240188,0,0,0.000000,0,0.000000,0.000000,0.000000,2915
1407240189,,,,,,,,12991
1407240190,0,23070,0.000156,23070,0.000077,0.000262,0.000304,14308
1407240191,,,,,,,,9926
1407240192,0,42929,0.000134,44321,0.000067,0.000247,0.000298,9755
1407240193,,,,,,,,12494
1407240194,0,69295,0.000128,70578,0.000063,0.000211,0.000292,13754
1407240195,,,,,,,,10928
1407240196,0,89779,0.000122,89779,0.000063,0.000204,0.000282,8139
1407240197,,,,,,,,13623
1407240198,0,115644,0.000123,115644,0.000067,0.000201,0.000301,13646
1407240199,,,,,,,,12651
1407240200,0,140576,0.000120,141610,0.000060,0.000196,0.000277,10570
1407240201,,,,,,,,10789
1407240202,0,156475,0.000118,156475,0.000049,0.000194,0.000275,5365
1407240203,,,,,,,,13172
1407240204,0,180400,0.000117,181174,0.000039,0.000187,0.000260,11634
1407240205,,,,,,,,10147
1407240206,0,200574,0.000117,200574,0.000038,0.000183,0.000260,7570
1407240207,,,,,,,,4930
1407240208,0,215241,0.000118,215415,0.000044,0.000183,0.000264,12142
1407240209,,,,,,,,10435
1407240210,0,235079,0.000117,236098,0.000047,0.000181,0.000271,6207
1407240211,,,,,,,,2799
1407240212,0,242752,0.000116,242868,0.000041,0.000173,0.000257,6782
1407240213,,,,,,,,8281
1407240214,0,255930,0.000116,255930,0.000041,0.000173,0.000257,11
1407240215,,,,,,,,37
1407240216,0,255997,0.000116,255997,0.000041,0.000173,0.000257,51
1407240218,0,256080,0.000116,256080,0.000041,0.000173,0.000257,155
1407240219,,,,,,,,199
1407240220,0,256380,0.000116,256411,0.000041,0.000173,0.000257,74
1407240221,,,,,,,,395
1407240222,0,257044,0.000116,257044,0.000042,0.000173,0.000259,363
1407240223,,,,,,,,111
1407240224,0,257426,0.000116,257426,0.000042,0.000173,0.000259,343
1407240225,,,,,,,,365
1407240226,0,258020,0.000116,258084,0.000042,0.000173,0.000259,65
1407240227,,,,,,,,710
1407240228,0,259010,0.000116,259083,0.000042,0.000173,0.000259,509
1407240229,,,,,,,,489
1407240230,0,260064,0.000116,260064,0.000042,0.000173,0.000259,356
1407240231,,,,,,,,83
1407240232,0,268965,0.000114,271269,0.000037,0.000169,0.000257,19675
1407240233,,,,,,,,11129
1407240234,0,297184,0.000114,297184,0.000036,0.000146,0.000253,11047
1407240235,,,,,,,,9286
1407240236,0,314709,0.000114,315285,0.000040,0.000141,0.000246,7712
1407240237,,,,,,,,5235
1407240238,0,324304,0.000114,324304,0.000040,0.000138,0.000246,
1407240239,,,,,,,,28
1407240240,0,324351,0.000114,324351,0.000040,0.000138,0.000246,48
1407240241,,,,,,,,51
1407240243,0,324428,0.000114,324441,0.000040,0.000138,0.000246,83
1407240244,0,324578,0.000113,324599,0.000040,0.000138,0.000246,196
1407240245,,,,,,,,272
1407240246,,,,,,,,40
1407240247,0,325015,0.000113,325054,0.000040,0.000138,0.000246,166
1407240248,0,325382,0.000113,325486,0.000040,0.000138,0.000246,415
1407240249,,,,,,,,565
1407240250,0,326454,0.000114,326454,0.000045,0.000138,0.000253,622
1407240251,,,,,,,,785
1407240252,0,327897,0.000114,327982,0.000045,0.000138,0.000253,681
1407240253,,,,,,,,264
1407240255,0,328506,0.000115,328506,0.000054,0.000138,0.000257,726
1407240256,0,329740,0.000115,329740,0.000054,0.000138,0.000257,1052
1407240257,,,,,,,,1144
1407240258,0,332254,0.000115,332254,0.000054,0.000139,0.000257,1652
1407240259,,,,,,,,2071
1407240260,0,336249,0.000115,336249,0.000053,0.000139,0.000257,2318
1407240261,,,,,,,,2433
1407240262,0,341458,0.000115,341458,0.000053,0.000139,0.000257,3090
1407240263,,,,,,,,3869
1407240264,0,348958,0.000115,348958,0.000053,0.000141,0.000257,
