timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407240182,,,,,,,,800
1407240183,,,,,,,,10594
1407240184,36922,36922,0.020244,38137,0.063373,0.053421,0.171446,28118
1407240185,,,,,,,,35962
1407240186,95205,95205,0.013384,95731,0.017485,0.027597,0.082793,43959
1407240187,,,,,,,,41122
1407240188,179865,179865,0.011319,179950,0.014357,0.020111,0.054146,35991
1407240189,,,,,,,,39632
1407240190,257429,257438,0.010749,258910,0.014625,0.016172,0.045855,45051
1407240191,,,,,,,,30985
1407240192,322504,322514,0.010030,324660,0.008507,0.015600,0.037201,30723
1407240193,,,,,,,,41460
1407240194,403161,403169,0.009846,404756,0.006600,0.015001,0.029988,39943
1407240195,,,,,,,,36409
1407240196,464167,464166,0.009655,464187,0.006351,0.014590,0.027689,20299
1407240197,,,,,,,,47256
1407240198,543475,543475,0.009440,543475,0.003599,0.013277,0.026478,16904
1407240199,,,,,,,,35494
1407240200,603093,603102,0.009377,604383,0.003458,0.013004,0.022993,41391
1407240201,,,,,,,,32986
1407240202,656418,656426,0.009368,657779,0.003468,0.013113,0.022993,20768
1407240203,,,,,,,,26252
1407240204,719412,719420,0.009355,720163,0.003381,0.012502,0.022284,42322
1407240205,,,,,,,,26966
1407240206,782842,782842,0.009310,783928,0.003361,0.012192,0.022284,22050
1407240207,,,,,,,,19101
1407240208,829305,829305,0.009276,830611,0.003087,0.012100,0.021275,34493
1407240209,,,,,,,,48354
1407240210,918593,918602,0.009183,920034,0.002919,0.011678,0.019081,40735
1407240211,,,,,,,,14481
1407240212,962134,962142,0.009184,962616,0.002953,0.011810,0.019863,34573
1407240213,,,,,,,,24934
1407240214,1028298,1028302,0.009191,1029245,0.002852,0.011599,0.018571,38023
1407240215,,,,,,,,29148
1407240216,1094035,1094042,0.009680,1095245,0.015604,0.011654,0.022284,25905
1407240217,,,,,,,,2749
1407240218,1125692,1125699,0.009670,1126654,0.015608,0.011678,0.022284,25421
1407240219,,,,,,,,13963
1407240220,1145585,1145592,0.009678,1147368,0.015607,0.011678,0.022284,3810
1407240221,,,,,,,,34750
1407240222,1200652,1200658,0.009605,1201952,0.015490,0.011477,0.018996,32196
1407240223,,,,,,,,8216
1407240224,1232385,1232392,0.009571,1233722,0.015488,0.011332,0.018422,22120
1407240225,,,,,,,,24628
1407240226,1271285,1271292,0.009528,1274525,0.015482,0.011140,0.017308,4833
1407240227,,,,,,,,29696
1407240228,1319843,1319851,0.009555,1321441,0.015479,0.010963,0.017308,30470
1407240229,,,,,,,,31281
1407240230,1383488,1383488,0.009509,1383945,0.015433,0.010734,0.016938,17982
1407240231,,,,,,,,6914
1407240232,1413234,1413234,0.009514,1414857,0.015438,0.010852,0.017927,36552
1407240233,,,,,,,,35424
1407240234,1482261,1482261,0.009546,1482261,0.015467,0.010664,0.018675,37861
1407240235,,,,,,,,32607
1407240236,1547194,1547194,0.010419,1548269,0.032941,0.010588,0.019021,25679
1407240237,,,,,,,,38549
1407240238,1615875,1615875,0.009921,1615875,0.029162,0.010543,0.017927,29506
1407240239,,,,,,,,40168
1407240240,1683701,1683701,0.009910,1685756,0.029159,0.010532,0.016089,29454
1407240241,,,,,,,,22397
1407240243,1720679,1720687,0.009916,1723204,0.029159,0.010532,0.016089,29494
1407240244,1768975,1768975,0.009950,1770563,0.029160,0.010604,0.016834,33812
1407240245,,,,,,,,36755
1407240246,,,,,,,,5241
1407240247,1825923,1825929,0.009892,1828329,0.029158,0.010566,0.015984,9821
1407240248,1854034,1854041,0.009886,1856859,0.029158,0.010566,0.015984,26484
1407240249,,,,,,,,33339
1407240250,1914812,1914818,0.009892,1916287,0.029167,0.010263,0.015984,27006
1407240251,,,,,,,,11999
1407240252,1955512,1955512,0.009877,1957260,0.029168,0.010225,0.015984,32448
1407240253,,,,,,,,12983
1407240255,1980006,1980013,0.009837,1981504,0.029155,0.010225,0.015608,
1407240256,2000000,2000001,0.009838,2000001,0.029155,0.010217,0.015608,
1407240258,2000000,2000001,0.009838,2000001,0.029155,0.010217,0.015608,
1407240260,2000000,2000001,0.009838,2000001,0.029155,0.010217,0.015608,
1407240262,2000000,2000001,0.009838,2000001,0.029155,0.010217,0.015608,
1407240264,2000000,2000001,0.009838,2000001,0.029155,0.010217,0.015608,
