operator,tuple_size
source,160
source,160
source,160
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,176
source,192
source,192
