t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1592781702,18267,0.389186,0.004752,0.001322,0.013377,0.003077,0.004459,0.010113,0.016320,0.023775,0.169962,3646.951457,3652.000000,3652.000000,3652.000000,calls/second,milliseconds
1592781707,45611,0.059900,0.003946,0.001442,0.003836,0.003048,0.003620,0.007992,0.012657,0.017557,0.059900,4332.003186,3792.529937,3681.050573,3661.737371,calls/second,milliseconds
1592781712,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,3371.051652,3792.529937,3681.050573,3661.737371,calls/second,milliseconds
1592781717,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,2524.316481,3567.988273,3636.475554,3646.903407,calls/second,milliseconds
1592781722,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,2016.859921,3282.707682,3576.369899,3626.699008,calls/second,milliseconds
1592781727,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,1679.877718,3020.236868,3517.257704,3606.606544,calls/second,milliseconds
1592781732,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,1439.285194,2778.752061,3459.122548,3586.625396,calls/second,milliseconds
1592781737,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,1258.780299,2556.575313,3401.948281,3566.754946,calls/second,milliseconds
1592781742,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,1118.684911,2352.162838,3345.719022,3546.994581,calls/second,milliseconds
1592781747,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,1006.401047,2164.094281,3290.419151,3527.343692,calls/second,milliseconds
1592781752,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,914.254561,1991.062856,3236.033306,3507.801672,calls/second,milliseconds
1592781757,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,838.547786,1831.866260,3182.546380,3488.367918,calls/second,milliseconds
1592781762,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,773.995040,1685.398321,3129.943515,3469.041829,calls/second,milliseconds
1592781767,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,718.623701,1550.641311,3078.210099,3449.822810,calls/second,milliseconds
1592781772,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,670.596211,1426.658878,3027.331761,3430.710267,calls/second,milliseconds
1592781777,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,628.708572,1312.589532,2977.294368,3411.703611,calls/second,milliseconds
1592781782,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,591.649361,1207.640668,2928.084021,3392.802255,calls/second,milliseconds
1592781787,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,558.721704,1111.083051,2879.687049,3374.005614,calls/second,milliseconds
1592781792,50229,0.059900,0.003883,0.001442,0.003734,0.003052,0.003601,0.007746,0.011187,0.014708,0.059900,529.311966,1022.245755,2832.090009,3355.313110,calls/second,milliseconds
