t,value
1593700197,14046032
1593700202,14744080
1593700207,14847200
1593700212,14901824
1593700217,14995104
1593700222,15112728
1593700227,15210584
1593700232,15339880
1593700237,15382744
1593700242,15429960
1593700247,15535480
1593700252,15575952
1593700257,15614488
1593700262,15617112
1593700267,15632600
1593700272,15654856
1593700277,15669328
1593700282,15670384
1593700287,15670384
1593700292,15670384
1593700297,15686224
1593700302,15687248
1593700307,15697392
1593700312,15593768
1593700317,15466792
1593700322,15021280
1593700327,14747488
1593700332,14755168
1593700337,14805888
1593700342,14805888
1593700347,14805888
1593700352,14807936
1593700357,14836416
1593700362,14837248
