t,value
1593700197,8.612796664237976E-4
1593700202,8.673369884490967E-4
1593700207,8.673369884490967E-4
1593700212,8.673369884490967E-4
1593700217,8.673369884490967E-4
1593700222,8.673369884490967E-4
1593700227,8.673369884490967E-4
1593700232,8.673369884490967E-4
1593700237,8.673369884490967E-4
1593700242,8.673369884490967E-4
1593700247,8.673369884490967E-4
1593700252,8.673369884490967E-4
1593700257,8.673369884490967E-4
1593700262,8.673369884490967E-4
1593700267,8.673369884490967E-4
1593700272,8.673369884490967E-4
1593700277,8.673369884490967E-4
1593700282,8.673369884490967E-4
1593700287,8.673369884490967E-4
1593700292,8.673369884490967E-4
1593700297,8.673369884490967E-4
1593700302,8.673369884490967E-4
1593700307,8.673369884490967E-4
1593700312,8.673369884490967E-4
1593700317,8.673369884490967E-4
1593700322,8.673369884490967E-4
1593700327,8.673369884490967E-4
1593700332,8.673369884490967E-4
1593700337,8.673369884490967E-4
1593700342,8.673369884490967E-4
1593700347,8.673369884490967E-4
1593700352,8.673369884490967E-4
1593700357,8.673369884490967E-4
1593700362,8.673369884490967E-4
