t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1593700197,17996,4.568259,0.011330,0.001674,0.145519,0.003769,0.005486,0.017078,0.023841,0.043966,0.527048,3501.719790,3504.400000,3504.400000,3504.400000,calls/second,milliseconds
1593700202,44801,0.527048,0.005767,0.001681,0.020502,0.003487,0.004768,0.011259,0.018399,0.023841,0.381694,4462.946525,3658.522386,3536.260426,3515.079197,calls/second,milliseconds
1593700207,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,3370.457070,3658.522386,3536.260426,3515.079197,calls/second,milliseconds
1593700212,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,2524.524492,3455.233521,3496.257039,3501.787934,calls/second,milliseconds
1593700217,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,2014.978315,3178.968302,3438.468993,3482.387496,calls/second,milliseconds
1593700222,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,1679.905718,2924.792030,3381.636100,3463.094540,calls/second,milliseconds
1593700227,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,1439.197938,2690.938572,3325.742571,3443.908470,calls/second,milliseconds
1593700232,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,1259.169852,2475.783003,3270.772882,3424.828694,calls/second,milliseconds
1593700237,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,1119.054094,2277.830324,3216.711761,3405.854622,calls/second,milliseconds
1593700242,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,1006.853701,2095.705067,3163.544192,3386.985670,calls/second,milliseconds
1593700247,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,915.321786,1928.141741,3111.255406,3368.221254,calls/second,milliseconds
1593700252,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,838.995022,1773.976040,3059.830877,3349.560797,calls/second,milliseconds
1593700257,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,774.412306,1632.136747,3009.256321,3331.003721,calls/second,milliseconds
1593700262,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,718.936867,1501.638298,2959.517689,3312.549454,calls/second,milliseconds
1593700267,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,670.942934,1381.573929,2910.601165,3294.197426,calls/second,milliseconds
1593700272,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,628.997494,1271.109377,2862.493159,3275.947072,calls/second,milliseconds
1593700277,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,591.995522,1169.477082,2815.180308,3257.797827,calls/second,milliseconds
1593700282,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,559.049802,1075.970858,2768.649471,3239.749132,calls/second,milliseconds
1593700287,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,529.610160,989.940978,2722.887720,3221.800430,calls/second,milliseconds
1593700292,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,503.111079,910.789668,2677.882345,3203.951165,calls/second,milliseconds
1593700297,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,479.116863,837.966947,2633.620843,3186.200789,calls/second,milliseconds
1593700302,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,457.303962,770.966809,2590.090919,3168.548752,calls/second,milliseconds
1593700307,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,437.429018,709.323706,2547.280482,3150.994511,calls/second,milliseconds
1593700312,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,419.189627,652.609314,2505.177639,3133.537522,calls/second,milliseconds
1593700317,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,402.407705,600.429554,2463.770694,3116.177248,calls/second,milliseconds
1593700322,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,386.905636,552.421858,2423.048147,3098.913152,calls/second,milliseconds
1593700327,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,372.584434,508.252645,2382.998683,3081.744702,calls/second,milliseconds
1593700332,50262,0.527048,0.005572,0.001681,0.019996,0.003451,0.004686,0.010675,0.018399,0.023841,0.381694,359.247339,467.615007,2343.611180,3064.671368,calls/second,milliseconds
