timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1593700197,352078,352281,0.011330,17996,0.145519,0.017078,0.043966,69896
1593700202,887462,887482,0.005767,44801,0.020502,0.011259,0.023841,108217
1593700207,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,22873
1593700212,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700217,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700222,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700227,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700232,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700237,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700242,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700247,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700252,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700257,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700262,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700267,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700272,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700277,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700282,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700287,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700292,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700297,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700302,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700307,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700312,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700317,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700322,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700327,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700332,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700337,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700342,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700347,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700352,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700357,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
1593700362,1000000,1000000,0.005572,50262,0.019996,0.010675,0.023841,0
