t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407251363,296,387.121942,2.535547,0.317091,25.918471,0.362617,0.408912,1.677794,2.015354,12.453391,387.121942,189.488450,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251365,3898,5.917593,0.272621,0.196129,0.193612,0.252382,0.288679,0.364391,0.416387,0.455256,5.795255,1144.914689,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251367,8148,5.917593,0.244893,0.176358,0.203470,0.216513,0.252615,0.338079,0.404112,0.438564,5.804026,1516.953516,1524.000000,1524.000000,1524.000000,calls/second,milliseconds
1407251369,11563,5.917593,0.230720,0.168863,0.200697,0.208137,0.237680,0.302298,0.358214,0.413789,5.804026,1568.461183,1524.000000,1524.000000,1524.000000,calls/second,milliseconds
1407251371,15593,7.479101,0.227463,0.166294,0.299761,0.198854,0.220403,0.292301,0.349021,0.406913,7.433817,1661.563201,1524.000000,1524.000000,1524.000000,calls/second,milliseconds
1407251373,19605,7.479101,0.223776,0.163287,0.299621,0.195929,0.217068,0.288771,0.339498,0.386704,7.433817,1722.026166,1551.184899,1529.619706,1525.883652,calls/second,milliseconds
1407251375,23867,7.479101,0.219294,0.163287,0.296143,0.192332,0.212868,0.286711,0.339498,0.380023,7.433817,1784.511239,1551.184899,1529.619706,1525.883652,calls/second,milliseconds
1407251377,28302,2.001498,0.205318,0.166294,0.074720,0.189718,0.210533,0.274310,0.331182,0.377514,1.979177,1841.349002,1593.738469,1538.772889,1528.972377,calls/second,milliseconds
1407251379,32750,1.233248,0.202358,0.166294,0.057744,0.188412,0.208023,0.264529,0.326060,0.356539,1.233206,1885.066721,1593.738469,1538.772889,1528.972377,calls/second,milliseconds
1407251381,37285,1.233248,0.200970,0.166294,0.057690,0.187438,0.204274,0.261177,0.330275,0.370568,1.233206,1923.461539,1593.738469,1538.772889,1528.972377,calls/second,milliseconds
1407251383,41997,1.233248,0.199575,0.166294,0.056480,0.186601,0.202056,0.261127,0.330275,0.366835,1.233206,1965.217185,1648.353054,1550.971404,1533.115456,calls/second,milliseconds
1407251385,46715,1.233248,0.199054,0.166294,0.062689,0.185869,0.200823,0.254884,0.326060,0.371288,1.233206,1998.847310,1648.353054,1550.971404,1533.115456,calls/second,milliseconds
1407251387,51015,1.233248,0.199124,0.165723,0.066761,0.185465,0.200395,0.253656,0.317530,0.361583,1.233206,2010.622479,1701.495289,1563.566629,1537.436135,calls/second,milliseconds
1407251389,55422,1.233248,0.198489,0.165723,0.066682,0.184977,0.199094,0.252797,0.319100,0.360409,1.233206,2024.850728,1701.495289,1563.566629,1537.436135,calls/second,milliseconds
1407251391,59132,1.233248,0.198212,0.165723,0.066313,0.184911,0.199028,0.250204,0.319100,0.349815,1.233206,2013.079692,1701.495289,1563.566629,1537.436135,calls/second,milliseconds
1407251393,62536,1.233248,0.196468,0.165723,0.057386,0.184632,0.197787,0.245886,0.300478,0.340438,1.230319,1993.436328,1729.024374,1571.537245,1540.252548,calls/second,milliseconds
1407251395,67164,1.316805,0.197099,0.165723,0.066548,0.184501,0.196547,0.245579,0.306030,0.348324,1.314382,2012.780270,1729.024374,1571.537245,1540.252548,calls/second,milliseconds
1407251397,70967,1.316805,0.197086,0.164388,0.067139,0.184379,0.195423,0.245886,0.325986,0.378988,1.314382,2000.004550,1745.509267,1577.548062,1542.440617,calls/second,milliseconds
1407251399,74885,1.316805,0.195617,0.165950,0.062746,0.183976,0.194496,0.241430,0.300478,0.354021,1.314382,2003.882921,1745.509267,1577.548062,1542.440617,calls/second,milliseconds
1407251401,79285,1.316805,0.195509,0.165950,0.062846,0.184137,0.194359,0.238985,0.300478,0.354021,1.314777,2013.782518,1745.509267,1577.548062,1542.440617,calls/second,milliseconds
1407251403,83084,1.316805,0.195431,0.165950,0.062701,0.183976,0.195059,0.238237,0.296911,0.347486,1.314777,2008.314704,1772.301642,1585.862779,1545.422101,calls/second,milliseconds
1407251405,87257,1.316805,0.194946,0.166269,0.062648,0.183574,0.193776,0.237345,0.296911,0.347486,1.314777,2011.435240,1772.301642,1585.862779,1545.422101,calls/second,milliseconds
1407251407,91224,1.316805,0.194633,0.166269,0.062277,0.183703,0.193615,0.233292,0.294478,0.339365,1.314777,2010.369310,1787.724944,1592.132672,1547.747735,calls/second,milliseconds
1407251409,95729,1.316805,0.195157,0.166269,0.063352,0.183574,0.193326,0.238146,0.325986,0.365165,1.314777,2020.893689,1787.724944,1592.132672,1547.747735,calls/second,milliseconds
1407251411,100344,1.316805,0.194711,0.166269,0.063088,0.183449,0.192628,0.238146,0.325986,0.356278,1.314777,2032.356958,1787.724944,1592.132672,1547.747735,calls/second,milliseconds
1407251413,104693,1.246869,0.193434,0.166269,0.052082,0.183636,0.192993,0.232621,0.305145,0.354021,1.243545,2038.080609,1823.343162,1602.728583,1551.545244,calls/second,milliseconds
1407251415,108827,1.246869,0.193496,0.166269,0.052066,0.183761,0.193409,0.234119,0.305145,0.354021,1.243545,2039.125144,1823.343162,1602.728583,1551.545244,calls/second,milliseconds
1407251417,113066,1.246869,0.193066,0.166269,0.051978,0.183478,0.192987,0.231188,0.305145,0.354021,1.243545,2042.041058,1849.205343,1611.721292,1554.843046,calls/second,milliseconds
1407251419,117280,1.246869,0.192629,0.166269,0.051927,0.183398,0.192527,0.224959,0.296911,0.356278,1.243545,2044.102123,1849.205343,1611.721292,1554.843046,calls/second,milliseconds
1407251421,121029,1.246869,0.192528,0.166269,0.051939,0.183216,0.191961,0.226855,0.296911,0.356278,1.243545,2038.609389,1849.205343,1611.721292,1554.843046,calls/second,milliseconds
1407251423,125638,1.246869,0.192004,0.166269,0.051479,0.183134,0.191341,0.222966,0.291217,0.347072,1.243545,2047.188237,1862.445561,1618.383598,1557.391278,calls/second,milliseconds
1407251425,130420,1.246869,0.192155,0.000196,0.052318,0.183134,0.191504,0.223475,0.303087,0.363411,1.243545,2057.667475,1862.445561,1618.383598,1557.391278,calls/second,milliseconds
1407251427,134397,1.246869,0.191027,0.000196,0.042687,0.183229,0.191642,0.222471,0.288005,0.338351,1.222917,2055.958459,1894.312214,1629.005112,1561.289377,calls/second,milliseconds
1407251429,138176,1.246869,0.190794,0.000196,0.042380,0.183229,0.191427,0.222471,0.287468,0.337782,1.222917,2050.976672,1894.312214,1629.005112,1561.289377,calls/second,milliseconds
1407251431,141767,1.246869,0.190701,0.000196,0.042023,0.183366,0.191427,0.222287,0.286892,0.335062,1.222917,2043.656616,1894.312214,1629.005112,1561.289377,calls/second,milliseconds
1407251433,145573,0.420946,0.189543,0.164484,0.025038,0.183161,0.190826,0.221673,0.277769,0.327002,0.420240,2039.558075,1892.656157,1633.047910,1563.019625,calls/second,milliseconds
1407251435,149767,1.326152,0.190710,0.164484,0.043419,0.183078,0.190804,0.222096,0.281873,0.329264,1.299901,2041.197300,1892.656157,1633.047910,1563.019625,calls/second,milliseconds
1407251437,153658,1.326152,0.190835,0.164484,0.043621,0.183101,0.190924,0.222096,0.286892,0.335621,1.299901,2038.494207,1898.040674,1638.451953,1565.218957,calls/second,milliseconds
1407251439,157433,3.645837,0.194272,0.164484,0.116425,0.182997,0.190596,0.222598,0.288005,0.359906,3.578566,2034.816830,1898.040674,1638.451953,1565.218957,calls/second,milliseconds
1407251441,160885,3.645837,0.194160,0.166269,0.116387,0.182949,0.190551,0.222287,0.288005,0.359906,3.578566,2027.030384,1898.040674,1638.451953,1565.218957,calls/second,milliseconds
1407251443,165375,3.645837,0.194061,0.166269,0.116157,0.183134,0.190993,0.221770,0.264264,0.338351,3.578566,2032.176633,1896.198443,1642.361748,1566.935191,calls/second,milliseconds
1407251445,169584,3.645837,0.193965,0.166269,0.116013,0.183078,0.191154,0.222287,0.261525,0.335621,3.578566,2034.143078,1896.198443,1642.361748,1566.935191,calls/second,milliseconds
1407251447,173332,3.645837,0.193532,0.166187,0.115954,0.182974,0.190450,0.221352,0.258476,0.335621,3.578566,2030.364518,1906.432882,1648.672980,1569.468508,calls/second,milliseconds
1407251449,177676,3.645837,0.193292,0.166187,0.115927,0.182813,0.190162,0.221028,0.254255,0.335621,3.578566,2033.631324,1906.432882,1648.672980,1569.468508,calls/second,milliseconds
1407251451,181857,3.645837,0.193200,0.166187,0.115919,0.182614,0.190072,0.221028,0.248173,0.335621,3.578566,2034.909109,1906.432882,1648.672980,1569.468508,calls/second,milliseconds
1407251453,186445,3.645837,0.192916,0.163244,0.115804,0.182453,0.189975,0.220056,0.256314,0.329264,3.578566,2040.495050,1926.099327,1656.998855,1572.698037,calls/second,milliseconds
1407251455,190703,3.645837,0.194239,0.163244,0.120636,0.182425,0.190105,0.219200,0.261525,0.338351,3.578566,2042.427014,1926.099327,1656.998855,1572.698037,calls/second,milliseconds
1407251457,195126,3.645837,0.193453,0.163244,0.118270,0.182374,0.189975,0.218847,0.251529,0.335621,3.578566,2046.015793,1950.733697,1666.539151,1576.362858,calls/second,milliseconds
1407251459,198773,3.645837,0.192377,0.163244,0.112861,0.182326,0.190046,0.218210,0.243172,0.329264,3.568210,2041.443922,1950.733697,1666.539151,1576.362858,calls/second,milliseconds
