t,count
1407251363,101
1407251365,3809
1407251367,8140
1407251369,11527
1407251371,15510
1407251373,19537
1407251375,23863
1407251377,28302
1407251379,32750
1407251381,37211
1407251383,41963
1407251385,46698
1407251387,50983
1407251389,55386
1407251391,59114
1407251393,62501
1407251395,67164
1407251397,70894
1407251399,74885
1407251401,79257
1407251403,83084
1407251405,87182
1407251407,91159
1407251409,95703
1407251411,100306
1407251413,104692
1407251415,108792
1407251417,113062
1407251419,117242
1407251421,121023
1407251423,125596
1407251425,130345
1407251427,134357
1407251429,138166
1407251431,141741
1407251433,145529
1407251435,149734
1407251437,153596
1407251439,157404
1407251441,160873
1407251443,165298
1407251445,169536
1407251447,173310
1407251449,177657
1407251451,181834
1407251453,186399
1407251455,190645
1407251457,195090
1407251459,198714
1407251461,202951
1407251463,207032
1407251465,210030
1407251467,214317
1407251469,218056
1407251471,221779
1407251473,225295
1407251475,229187
1407251477,233738
1407251479,236008
1407251481,239216
1407251483,243778
1407251485,248062
1407251487,252092
1407251489,256183
1407251491,260463
1407251493,263150
1407251495,266948
1407251497,270220
1407251499,273913
1407251501,278011
1407251503,281318
1407251505,285223
1407251507,287878
1407251509,292189
1407251511,295776
1407251513,299846
1407251515,302631
1407251517,304965
1407251519,309328
1407251521,312653
1407251523,316931
1407251525,320393
1407251527,323703
1407251529,327346
1407251531,330529
1407251533,334224
1407251535,337224
1407251537,341390
1407251539,344682
1407251541,349278
1407251543,351886
1407251545,355583
1407251547,359883
1407251549,364040
1407251551,367561
1407251553,371885
1407251555,374260
1407251557,378781
1407251559,382758
1407251561,386516
1407251563,390112
1407251565,394020
1407251567,396606
1407251569,400402
1407251571,404099
1407251573,407893
1407251575,411587
1407251577,415899
1407251579,419596
1407251581,422817
1407251583,426465
1407251585,430573
1407251587,434431
1407251589,437659
1407251591,441374
1407251593,445829
1407251595,449956
1407251597,454026
1407251599,458235
1407251601,461698
1407251603,465909
1407251605,469689
1407251607,473815
1407251609,477821
1407251611,481871
1407251613,485711
1407251615,488970
1407251617,492963
1407251619,497204
1407251621,498086
1407251623,498086
1407251625,498086
1407251627,498086
1407251629,498086
1407251631,498086
1407251633,498086
1407251635,498086
1407251637,498086
1407251639,498086
1407251641,498086
1407251643,498086
1407251645,498086
1407251647,498086
1407251649,498086
1407251651,498086
