t,count
1407251363,101
1407251365,3809
1407251367,8141
1407251369,11527
1407251371,15510
1407251373,19538
1407251375,23863
1407251377,28302
1407251379,32750
1407251381,37211
1407251383,41963
1407251385,46698
1407251387,50984
1407251389,55386
1407251391,59114
1407251393,62502
1407251395,67164
1407251397,70894
1407251399,74885
1407251401,79257
1407251403,83084
1407251405,87182
1407251407,91159
1407251409,95703
1407251411,100306
1407251413,104693
1407251415,108794
1407251417,113066
1407251419,117247
1407251421,121029
1407251423,125602
1407251425,130353
1407251427,134366
1407251429,138176
1407251431,141751
1407251433,145539
1407251435,149745
1407251437,153607
1407251439,157416
1407251441,160885
1407251443,165310
1407251445,169552
1407251447,173327
1407251449,177676
1407251451,181857
1407251453,186422
1407251455,190671
1407251457,195116
1407251459,198741
1407251461,202979
1407251463,207063
1407251465,210061
1407251467,214352
1407251469,218092
1407251471,221817
1407251473,225333
1407251475,229230
1407251477,233787
1407251479,236062
1407251481,239276
1407251483,243843
1407251485,248130
1407251487,252164
1407251489,256259
1407251491,260545
1407251493,263235
1407251495,267040
1407251497,270317
1407251499,274014
1407251501,278117
1407251503,281428
1407251505,285339
1407251507,287995
1407251509,292309
1407251511,295900
1407251513,300032
1407251515,302865
1407251517,305240
1407251519,309665
1407251521,313031
1407251523,317364
1407251525,320872
1407251527,324224
1407251529,327913
1407251531,331138
1407251533,334874
1407251535,337903
1407251537,342100
1407251539,345424
1407251541,350070
1407251543,352700
1407251545,356432
1407251547,360763
1407251549,364947
1407251551,368495
1407251553,372851
1407251555,375246
1407251557,379803
1407251559,383817
1407251561,387606
1407251563,391234
1407251565,395179
1407251567,397785
1407251569,401612
1407251571,405332
1407251573,409151
1407251575,412871
1407251577,417210
1407251579,420932
1407251581,424173
1407251583,427841
1407251585,431987
1407251587,435865
1407251589,439117
1407251591,442863
1407251593,447348
1407251595,451504
1407251597,455603
1407251599,459844
1407251601,463332
1407251603,467567
1407251605,471378
1407251607,475536
1407251609,479570
1407251611,483648
1407251613,487528
1407251615,490811
1407251617,494837
1407251619,499109
1407251621,500000
1407251623,500000
1407251625,500000
1407251627,500000
1407251629,500000
1407251631,500000
1407251633,500000
1407251635,500000
1407251637,500000
1407251639,500000
1407251641,500000
1407251643,500000
1407251645,500000
1407251647,500000
1407251649,500000
1407251651,500000
