t,value
1407251363,92274688
1407251365,244318208
1407251367,202375168
1407251369,165150720
1407251371,130023424
1407251373,111149056
1407251375,117440512
1407251377,125829120
1407251379,106430464
1407251381,108003328
1407251383,166723584
1407251385,126877696
1407251387,110100480
1407251389,150470656
1407251391,120061952
1407251393,97517568
1407251395,137887744
1407251397,110100480
1407251399,134217728
1407251401,111673344
1407251403,108527616
1407251405,150994944
1407251407,117440512
1407251409,109051904
1407251411,119013376
1407251413,150994944
1407251415,117440512
1407251417,110624768
1407251419,105381888
1407251421,170393600
1407251423,128450560
1407251425,123731968
1407251427,127401984
1407251429,112721920
1407251431,108527616
1407251433,134217728
1407251435,112721920
1407251437,110100480
1407251439,134217728
1407251441,109051904
1407251443,128450560
1407251445,130547712
1407251447,155713536
1407251449,119537664
1407251451,115867648
1407251453,120586240
1407251455,117440512
1407251457,170917888
1407251459,135790592
1407251461,106430464
1407251463,166199296
1407251465,140509184
1407251467,108003328
1407251469,150470656
1407251471,120061952
1407251473,139460608
1407251475,109051904
1407251477,112721920
1407251479,120586240
1407251481,108527616
1407251483,171442176
1407251485,133169152
1407251487,117440512
1407251489,135266304
1407251491,127401984
1407251493,157810688
1407251495,125829120
1407251497,102760448
1407251499,120586240
1407251501,104857600
1407251503,149422080
1407251505,117964800
1407251507,160956416
1407251509,123731968
1407251511,108003328
1407251513,128450560
1407251515,119013376
1407251517,123207680
1407251519,126877696
1407251521,115867648
1407251523,120061952
1407251525,120586240
1407251527,98566144
1407251529,170393600
1407251531,143130624
1407251533,112721920
1407251535,104333312
1407251537,160956416
1407251539,130023424
1407251541,165675008
1407251543,139984896
1407251545,111149056
1407251547,117440512
1407251549,100663296
1407251551,153616384
1407251553,118489088
1407251555,168820736
1407251557,127926272
1407251559,110624768
1407251561,106430464
1407251563,199753728
1407251565,163053568
1407251567,138412032
1407251569,109576192
1407251571,157810688
1407251573,125829120
1407251575,109576192
1407251577,114294784
1407251579,127926272
1407251581,114294784
1407251583,125829120
1407251585,132644864
1407251587,114819072
1407251589,131072000
1407251591,105381888
1407251593,160956416
1407251595,127926272
1407251597,108527616
1407251599,150470656
1407251601,121634816
1407251603,129499136
1407251605,123207680
1407251607,120061952
1407251609,154140672
1407251611,120586240
1407251613,180355072
1407251615,149946368
1407251617,117964800
1407251619,147849216
1407251621,136839168
1407251623,136839168
1407251625,134217728
1407251627,132120576
1407251629,130023424
1407251631,130023424
1407251633,127926272
1407251635,125829120
1407251637,123731968
1407251639,122159104
1407251641,120586240
1407251643,119013376
1407251645,117440512
1407251647,115867648
1407251649,114294784
1407251651,112721920
