t,value
1407251363,95979072
1407251365,95979072
1407251367,95979072
1407251369,95979072
1407251371,95979072
1407251373,95979072
1407251375,95979072
1407251377,95979072
1407251379,95979072
1407251381,95979072
1407251383,95979072
1407251385,95979072
1407251387,95979072
1407251389,95979072
1407251391,95979072
1407251393,95979072
1407251395,95979072
1407251397,95979072
1407251399,95979072
1407251401,95979072
1407251403,95979072
1407251405,95979072
1407251407,95979072
1407251409,95979072
1407251411,95979072
1407251413,95979072
1407251415,95979072
1407251417,95979072
1407251419,95979072
1407251421,95979072
1407251423,95979072
1407251425,95979072
1407251427,95979072
1407251429,95979072
1407251431,95979072
1407251433,95979072
1407251435,95979072
1407251437,95979072
1407251439,95979072
1407251441,95979072
1407251443,95979072
1407251445,95979072
1407251447,95979072
1407251449,95979072
1407251451,95979072
1407251453,95979072
1407251455,95979072
1407251457,95979072
1407251459,95979072
1407251461,95979072
1407251463,95979072
1407251465,95979072
1407251467,95979072
1407251469,95979072
1407251471,95979072
1407251473,95979072
1407251475,95979072
1407251477,95979072
1407251479,95979072
1407251481,95979072
1407251483,95979072
1407251485,95979072
1407251487,95979072
1407251489,95979072
1407251491,95979072
1407251493,95979072
1407251495,95979072
1407251497,95979072
1407251499,95979072
1407251501,95979072
1407251503,95979072
1407251505,95979072
1407251507,95979072
1407251509,95979072
1407251511,95979072
1407251513,95979072
1407251515,95979072
1407251517,95979072
1407251519,95979072
1407251521,95979072
1407251523,95979072
1407251525,95979072
1407251527,95979072
1407251529,95979072
1407251531,95979072
1407251533,95979072
1407251535,95979072
1407251537,95979072
1407251539,95979072
1407251541,95979072
1407251543,95979072
1407251545,95979072
1407251547,95979072
1407251549,95979072
1407251551,95979072
1407251553,95979072
1407251555,95979072
1407251557,95979072
1407251559,95979072
1407251561,95979072
1407251563,95979072
1407251565,95979072
1407251567,95979072
1407251569,95979072
1407251571,95979072
1407251573,95979072
1407251575,95979072
1407251577,95979072
1407251579,95979072
1407251581,95979072
1407251583,95979072
1407251585,95979072
1407251587,95979072
1407251589,95979072
1407251591,95979072
1407251593,95979072
1407251595,95979072
1407251597,95979072
1407251599,95979072
1407251601,95979072
1407251603,95979072
1407251605,95979072
1407251607,95979072
1407251609,95979072
1407251611,95979072
1407251613,95979072
1407251615,95979072
1407251617,95979072
1407251619,95979072
1407251621,95979072
1407251623,95979072
1407251625,95979072
1407251627,95979072
1407251629,95979072
1407251631,95979072
1407251633,95979072
1407251635,95979072
1407251637,95979072
1407251639,95979072
1407251641,95979072
1407251643,95979072
1407251645,95979072
1407251647,95979072
1407251649,95979072
1407251651,95979072
