t,value
1407251363,21909328
1407251365,127702024
1407251367,71637576
1407251369,76547072
1407251371,55930144
1407251373,35686240
1407251375,48576408
1407251377,55464896
1407251379,21466384
1407251381,43488872
1407251383,19241120
1407251385,20569248
1407251387,46594816
1407251389,41116664
1407251391,38113576
1407251393,11941320
1407251395,17059040
1407251397,48064272
1407251399,80791672
1407251401,32371792
1407251403,48160744
1407251405,89007736
1407251407,29471168
1407251409,31441520
1407251411,14115920
1407251413,78625712
1407251415,46623928
1407251417,25287424
1407251419,41180320
1407251421,87746520
1407251423,21253088
1407251425,46184296
1407251427,44411640
1407251429,53142152
1407251431,34474168
1407251433,62839144
1407251435,23902056
1407251437,54102216
1407251439,44794160
1407251441,47216040
1407251443,67295152
1407251445,25223960
1407251447,81177336
1407251449,55880064
1407251451,68788944
1407251453,26715920
1407251455,69291560
1407251457,110723576
1407251459,26141992
1407251461,63099824
1407251463,34786944
1407251465,65747496
1407251467,61092544
1407251469,26801880
1407251471,29119480
1407251473,85174920
1407251475,40094424
1407251477,46985568
1407251479,71991584
1407251481,64182096
1407251483,92066672
1407251485,80415624
1407251487,69762552
1407251489,31845336
1407251491,31461968
1407251493,65104464
1407251495,72270456
1407251497,46629896
1407251499,38770384
1407251501,33158248
1407251503,70982440
1407251505,66059224
1407251507,88527560
1407251509,58496840
1407251511,53664040
1407251513,35936216
1407251515,73409096
1407251517,44137184
1407251519,46605688
1407251521,52363336
1407251523,62433520
1407251525,69872944
1407251527,50326816
1407251529,38272928
1407251531,85284336
1407251533,55265952
1407251535,71361448
1407251537,119417720
1407251539,46179408
1407251541,106695928
1407251543,51438448
1407251545,55184768
1407251547,65143800
1407251549,64599656
1407251551,42043216
1407251553,38395440
1407251555,131079096
1407251557,71292352
1407251559,69460160
1407251561,44699592
1407251563,69065656
1407251565,82367808
1407251567,41367736
1407251569,38180800
1407251571,85975176
1407251573,94313944
1407251575,45155640
1407251577,41367576
1407251579,93824832
1407251581,64714904
1407251583,40382376
1407251585,73860688
1407251587,54175304
1407251589,45575280
1407251591,66922624
1407251593,44858024
1407251595,98726544
1407251597,59401000
1407251599,60863896
1407251601,60884992
1407251603,101651088
1407251605,88544144
1407251607,87529896
1407251609,113222592
1407251611,97489680
1407251613,69115344
1407251615,64270160
1407251617,83974144
1407251619,110333784
1407251621,52468080
1407251623,104158416
1407251625,83888368
1407251627,66030640
1407251629,50854416
1407251631,101898352
1407251633,89061384
1407251635,76815696
1407251637,67314080
1407251639,59678416
1407251641,54153912
1407251643,49590456
1407251645,47411680
1407251647,46273744
1407251649,46216384
1407251651,49099528
