t,value
1407251363,1590689792
1407251365,1590689792
1407251367,1590689792
1407251369,1590689792
1407251371,1590689792
1407251373,1590689792
1407251375,1590689792
1407251377,1590689792
1407251379,1590689792
1407251381,1590689792
1407251383,1590689792
1407251385,1590689792
1407251387,1590689792
1407251389,1590689792
1407251391,1590689792
1407251393,1590689792
1407251395,1590689792
1407251397,1590689792
1407251399,1590689792
1407251401,1590689792
1407251403,1590689792
1407251405,1590689792
1407251407,1590689792
1407251409,1590689792
1407251411,1590689792
1407251413,1590689792
1407251415,1590689792
1407251417,1590689792
1407251419,1590689792
1407251421,1590689792
1407251423,1590689792
1407251425,1590689792
1407251427,1590689792
1407251429,1590689792
1407251431,1590689792
1407251433,1590689792
1407251435,1590689792
1407251437,1590689792
1407251439,1590689792
1407251441,1590689792
1407251443,1590689792
1407251445,1590689792
1407251447,1590689792
1407251449,1590689792
1407251451,1590689792
1407251453,1590689792
1407251455,1590689792
1407251457,1590689792
1407251459,1590689792
1407251461,1590689792
1407251463,1590689792
1407251465,1590689792
1407251467,1590689792
1407251469,1590689792
1407251471,1590689792
1407251473,1590689792
1407251475,1590689792
1407251477,1590689792
1407251479,1590689792
1407251481,1590689792
1407251483,1590689792
1407251485,1590689792
1407251487,1590689792
1407251489,1590689792
1407251491,1590689792
1407251493,1590689792
1407251495,1590689792
1407251497,1590689792
1407251499,1590689792
1407251501,1590689792
1407251503,1590689792
1407251505,1590689792
1407251507,1590689792
1407251509,1590689792
1407251511,1590689792
1407251513,1590689792
1407251515,1590689792
1407251517,1590689792
1407251519,1590689792
1407251521,1590689792
1407251523,1590689792
1407251525,1590689792
1407251527,1590689792
1407251529,1590689792
1407251531,1590689792
1407251533,1590689792
1407251535,1590689792
1407251537,1590689792
1407251539,1590689792
1407251541,1590689792
1407251543,1590689792
1407251545,1590689792
1407251547,1590689792
1407251549,1590689792
1407251551,1590689792
1407251553,1590689792
1407251555,1590689792
1407251557,1590689792
1407251559,1590689792
1407251561,1590689792
1407251563,1590689792
1407251565,1590689792
1407251567,1590689792
1407251569,1590689792
1407251571,1590689792
1407251573,1590689792
1407251575,1590689792
1407251577,1590689792
1407251579,1590689792
1407251581,1590689792
1407251583,1590689792
1407251585,1590689792
1407251587,1590689792
1407251589,1590689792
1407251591,1590689792
1407251593,1590689792
1407251595,1590689792
1407251597,1590689792
1407251599,1590689792
1407251601,1590689792
1407251603,1590689792
1407251605,1590689792
1407251607,1590689792
1407251609,1590689792
1407251611,1590689792
1407251613,1590689792
1407251615,1590689792
1407251617,1590689792
1407251619,1590689792
1407251621,1590689792
1407251623,1590689792
1407251625,1590689792
1407251627,1590689792
1407251629,1590689792
1407251631,1590689792
1407251633,1590689792
1407251635,1590689792
1407251637,1590689792
1407251639,1590689792
1407251641,1590689792
1407251643,1590689792
1407251645,1590689792
1407251647,1590689792
1407251649,1590689792
1407251651,1590689792
