t,value
1407251363,31764064
1407251365,137435680
1407251367,81617496
1407251369,87967544
1407251371,65984392
1407251373,46872408
1407251375,58862368
1407251377,65544080
1407251379,31796968
1407251381,55615104
1407251383,29382088
1407251385,30723472
1407251387,58766648
1407251389,52457824
1407251391,48437064
1407251393,23906032
1407251395,27248152
1407251397,60114904
1407251399,90994376
1407251401,43697784
1407251403,58576616
1407251405,99268400
1407251407,40968448
1407251409,42470760
1407251411,24612360
1407251413,88886576
1407251415,58198256
1407251417,36705472
1407251419,52218288
1407251421,98041592
1407251423,32838344
1407251425,57898560
1407251427,54965392
1407251429,63628152
1407251431,44974512
1407251433,79653464
1407251435,34443488
1407251437,65249672
1407251439,55327496
1407251441,57664624
1407251443,79141608
1407251445,36838888
1407251447,92714448
1407251449,66177192
1407251451,79094280
1407251453,37013048
1407251455,80902408
1407251457,121694832
1407251459,36672560
1407251461,73587496
1407251463,47113296
1407251465,76046912
1407251467,73079464
1407251469,38841320
1407251471,39656224
1407251473,95475360
1407251475,51795752
1407251477,59143576
1407251479,82542776
1407251481,74699632
1407251483,103057488
1407251485,92337352
1407251487,80253264
1407251489,42155120
1407251491,42876688
1407251493,75414248
1407251495,82840200
1407251497,57107488
1407251499,49274768
1407251501,44287600
1407251503,81293008
1407251505,77630480
1407251507,98838128
1407251509,69067448
1407251511,65017400
1407251513,46247160
1407251515,83720040
1407251517,55662256
1407251519,56916992
1407251521,62682848
1407251523,72744824
1407251525,80184248
1407251527,62200664
1407251529,48587392
1407251531,95596728
1407251533,65839888
1407251535,81871088
1407251537,130337984
1407251539,57609224
1407251541,117010176
1407251543,61991040
1407251545,65635440
1407251547,75975336
1407251549,75055760
1407251551,52357464
1407251553,50051912
1407251555,141396176
1407251557,82472944
1407251559,79987064
1407251561,55808712
1407251563,79382736
1407251565,92684888
1407251567,51684816
1407251569,48497880
1407251571,96306656
1407251573,104645424
1407251575,55711872
1407251577,51949968
1407251579,104160472
1407251581,75257776
1407251583,50981360
1407251585,84196328
1407251587,64513024
1407251589,57247544
1407251591,77258264
1407251593,55193664
1407251595,109062184
1407251597,69996816
1407251599,71199536
1407251601,71220632
1407251603,112870352
1407251605,98879784
1407251607,98986432
1407251609,123558608
1407251611,108392896
1407251613,79451360
1407251615,74606176
1407251617,95682904
1407251619,120669800
1407251621,62804160
1407251623,114823832
1407251625,94753920
1407251627,77130704
1407251629,61190496
1407251631,113175400
1407251633,99407784
1407251635,87162096
1407251637,77660480
1407251639,71118880
1407251641,64500312
1407251643,61007920
1407251645,57758080
1407251647,56620704
1407251649,57555424
1407251651,59447120
