t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407251363,299,0.010558,0.002031,0.001554,0.000753,0.001853,0.002051,0.003361,0.004326,0.004960,0.010558,191.465063,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251365,3908,0.004582,0.000650,0.000226,0.000503,0.000485,0.000692,0.001764,0.002042,0.002195,0.004561,1146.986406,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251367,8148,0.004582,0.000598,0.000133,0.000434,0.000528,0.000653,0.001589,0.001873,0.002177,0.004561,1517.197983,1524.000000,1524.000000,1524.000000,calls/second,milliseconds
1407251369,11566,0.003844,0.000495,0.000041,0.000420,0.000422,0.000626,0.001303,0.001757,0.001967,0.003839,1569.093414,1524.000000,1524.000000,1524.000000,calls/second,milliseconds
1407251371,15596,0.003844,0.000405,0.000040,0.000411,0.000279,0.000582,0.001032,0.001714,0.001967,0.003839,1662.072471,1524.000000,1524.000000,1524.000000,calls/second,milliseconds
1407251373,19607,0.003637,0.000350,0.000040,0.000374,0.000223,0.000498,0.000979,0.001654,0.001929,0.003634,1722.361045,1551.184899,1529.619706,1525.883652,calls/second,milliseconds
1407251375,23867,0.003637,0.000310,0.000041,0.000355,0.000180,0.000389,0.000800,0.001453,0.001907,0.003634,1784.664645,1551.184899,1529.619706,1525.883652,calls/second,milliseconds
1407251377,28302,0.003637,0.000288,0.000041,0.000339,0.000169,0.000329,0.000789,0.001416,0.001847,0.003634,1841.490851,1593.818425,1538.789417,1528.977917,calls/second,milliseconds
1407251379,32750,0.003637,0.000268,0.000040,0.000308,0.000166,0.000321,0.000726,0.001196,0.001735,0.003598,1885.193850,1593.818425,1538.789417,1528.977917,calls/second,milliseconds
1407251381,37285,0.003637,0.000250,0.000040,0.000294,0.000164,0.000311,0.000697,0.001078,0.001690,0.003598,1923.576709,1593.818425,1538.789417,1528.977917,calls/second,milliseconds
1407251383,41997,0.003637,0.000235,0.000040,0.000279,0.000164,0.000269,0.000655,0.001026,0.001605,0.003598,1965.320456,1648.458598,1550.994271,1533.123181,calls/second,milliseconds
1407251385,46718,0.003637,0.000222,0.000042,0.000262,0.000162,0.000241,0.000635,0.000990,0.001459,0.003598,1999.074543,1648.458598,1550.994271,1533.123181,calls/second,milliseconds
1407251387,50977,0.003637,0.000216,0.000042,0.000258,0.000162,0.000221,0.000627,0.000977,0.001459,0.003598,2009.217816,1701.592395,1563.589118,1537.443817,calls/second,milliseconds
1407251389,55425,0.003637,0.000209,0.000041,0.000248,0.000162,0.000206,0.000622,0.000939,0.001382,0.003598,2025.047524,1701.592395,1563.589118,1537.443817,calls/second,milliseconds
1407251391,59135,0.003637,0.000205,0.000041,0.000247,0.000161,0.000197,0.000614,0.000939,0.001382,0.003598,2013.259885,1701.592395,1563.589118,1537.443817,calls/second,milliseconds
1407251393,62536,0.003637,0.000202,0.000041,0.000240,0.000161,0.000196,0.000611,0.000899,0.001312,0.003598,1993.511289,1729.001778,1571.536223,1540.252432,calls/second,milliseconds
1407251395,67164,0.003637,0.000197,0.000041,0.000236,0.000160,0.000190,0.000599,0.000781,0.001312,0.003598,2012.857055,1729.001778,1571.536223,1540.252432,calls/second,milliseconds
1407251397,70967,0.003637,0.000195,0.000041,0.000235,0.000160,0.000189,0.000594,0.000777,0.001312,0.003598,2000.069922,1745.488477,1577.547056,1542.440501,calls/second,milliseconds
1407251399,74885,0.003637,0.000194,0.000041,0.000233,0.000159,0.000191,0.000589,0.000761,0.001312,0.003598,2003.950896,1745.488477,1577.547056,1542.440501,calls/second,milliseconds
1407251401,79288,0.003637,0.000190,0.000041,0.000223,0.000159,0.000190,0.000581,0.000668,0.001072,0.003598,2013.921944,1745.488477,1577.547056,1542.440501,calls/second,milliseconds
1407251403,83084,0.003637,0.000187,0.000041,0.000218,0.000153,0.000188,0.000570,0.000657,0.001020,0.003598,2008.374868,1772.410444,1585.888236,1545.430851,calls/second,milliseconds
