t,count
1407251363,0
1407251365,0
1407251367,0
1407251369,0
1407251371,0
1407251373,0
1407251375,0
1407251377,0
1407251379,0
1407251381,0
1407251383,0
1407251385,0
1407251387,0
1407251389,0
1407251391,0
1407251393,0
1407251395,0
1407251397,0
1407251399,0
1407251401,0
1407251403,0
1407251405,0
1407251407,0
1407251409,0
1407251411,0
1407251413,0
1407251415,0
1407251417,0
1407251419,0
1407251421,0
1407251423,0
1407251425,0
1407251427,0
1407251429,0
1407251431,0
1407251433,0
1407251435,0
1407251437,0
1407251439,0
1407251441,0
1407251443,0
1407251445,0
1407251447,0
1407251449,0
1407251451,0
1407251453,0
1407251455,0
1407251457,0
1407251459,0
1407251461,0
1407251463,0
1407251465,0
1407251467,0
1407251469,0
1407251471,0
1407251473,0
1407251475,0
1407251477,0
1407251479,0
1407251481,0
1407251483,0
1407251485,0
1407251487,0
1407251489,0
1407251491,0
1407251493,0
1407251495,0
1407251497,0
1407251499,0
1407251501,0
1407251503,0
1407251505,0
1407251507,0
1407251509,0
1407251511,0
1407251513,0
1407251515,0
1407251517,0
1407251519,0
1407251521,0
1407251523,0
1407251525,0
1407251527,0
1407251529,0
1407251531,0
1407251533,0
1407251535,0
1407251537,0
1407251539,0
1407251541,0
1407251543,0
1407251545,0
1407251547,0
1407251549,0
1407251551,0
1407251553,0
1407251555,0
1407251557,0
1407251559,0
1407251561,0
1407251563,0
1407251565,0
1407251567,0
1407251569,0
1407251571,0
1407251573,0
1407251575,0
1407251577,0
1407251579,0
1407251581,0
1407251583,0
1407251585,0
1407251587,0
1407251589,0
1407251591,0
1407251593,0
1407251595,0
1407251597,0
1407251599,0
1407251601,0
1407251603,0
1407251605,0
1407251607,0
1407251609,0
1407251611,0
1407251613,0
1407251615,0
1407251617,0
1407251619,0
1407251621,0
1407251623,0
1407251625,0
1407251627,0
1407251629,0
1407251631,0
1407251633,0
1407251635,0
1407251637,0
1407251639,0
1407251641,0
1407251643,0
1407251645,0
1407251647,0
1407251649,0
1407251651,0
