t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1407251363,852,296.844125,0.780272,0.013077,10.595845,0.123684,0.304733,1.023577,2.982110,3.498317,296.844125,737.004131,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251365,7848,3.045125,0.125880,0.003678,0.162796,0.027164,0.217117,0.288301,0.387255,0.696856,2.990571,2613.825956,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251367,16296,3.045125,0.111209,0.002305,0.151883,0.025074,0.191213,0.262047,0.329827,0.432206,2.990571,3282.685066,0.000000,0.000000,0.000000,calls/second,milliseconds
1407251369,23140,3.045125,0.101841,0.001991,0.143690,0.014908,0.181699,0.247096,0.291310,0.350946,2.990571,3322.410683,3278.400000,3278.400000,3278.400000,calls/second,milliseconds
1407251371,31202,3.045125,0.099543,0.002198,0.138813,0.014964,0.178013,0.241667,0.280200,0.349163,2.989476,3475.718325,3278.400000,3278.400000,3278.400000,calls/second,milliseconds
1407251373,39226,3.045125,0.100597,0.002198,0.138497,0.129911,0.175461,0.240584,0.281580,0.342319,2.989476,3572.587917,3315.531374,3286.075857,3280.972847,calls/second,milliseconds
1407251375,47770,3.045125,0.100973,0.002123,0.140457,0.129911,0.175552,0.237848,0.286704,0.349163,2.989476,3683.957108,3315.531374,3286.075857,3280.972847,calls/second,milliseconds
1407251377,56604,3.045125,0.094367,0.002123,0.138580,0.011953,0.173333,0.222703,0.277210,0.333350,2.989476,3783.027057,3315.531374,3286.075857,3280.972847,calls/second,milliseconds
1407251379,65500,3.045125,0.093581,0.002123,0.137826,0.011917,0.172330,0.222422,0.261861,0.321005,2.989476,3860.702345,3398.658687,3303.746925,3286.924228,calls/second,milliseconds
1407251381,74570,3.045125,0.095318,0.002123,0.141810,0.012463,0.172291,0.220675,0.257622,0.331129,2.992525,3929.528737,3398.658687,3303.746925,3286.924228,calls/second,milliseconds
1407251383,84014,3.045125,0.095109,0.002123,0.137076,0.014019,0.172286,0.215920,0.252577,0.331129,2.989476,4007.783899,3485.949503,3323.360575,3293.591667,calls/second,milliseconds
1407251385,93445,3.045125,0.093339,0.002123,0.136284,0.012421,0.168889,0.213614,0.247147,0.287363,2.989476,4069.327996,3485.949503,3323.360575,3293.591667,calls/second,milliseconds
1407251387,102042,3.045125,0.094751,0.002123,0.136671,0.019669,0.171258,0.214055,0.250063,0.328399,2.989476,4087.396775,3485.949503,3323.360575,3293.591667,calls/second,milliseconds
1407251389,110858,3.045125,0.093940,0.002123,0.136652,0.012818,0.171626,0.212804,0.250063,0.328399,2.989476,4111.432678,3574.224507,3344.296283,3300.773966,calls/second,milliseconds
1407251391,118318,3.045125,0.094734,0.002123,0.137147,0.013800,0.172296,0.214055,0.255889,0.330834,2.989476,4084.660545,3574.224507,3344.296283,3300.773966,calls/second,milliseconds
1407251393,125078,3.045125,0.094843,0.002198,0.137130,0.014019,0.171846,0.213614,0.255889,0.330834,2.989476,4038.713359,3613.224882,3356.158882,3304.991274,calls/second,milliseconds
1407251395,134328,3.045125,0.096487,0.002198,0.150499,0.013360,0.170561,0.213614,0.266747,0.341930,3.017124,4075.378327,3613.224882,3356.158882,3304.991274,calls/second,milliseconds
1407251397,141942,3.045125,0.096361,0.002183,0.151064,0.011665,0.170422,0.216025,0.276352,0.346118,3.017124,4046.736830,3629.437885,3363.759387,3307.822340,calls/second,milliseconds
1407251399,149770,3.045125,0.094466,0.002183,0.137196,0.012142,0.170475,0.214055,0.267394,0.330834,2.989476,4051.998860,3629.437885,3363.759387,3307.822340,calls/second,milliseconds
1407251401,158594,3.045125,0.095412,0.002183,0.140126,0.012818,0.170561,0.214055,0.267394,0.330834,2.989476,4070.389558,3629.437885,3363.759387,3307.822340,calls/second,milliseconds
1407251403,166168,3.045125,0.094421,0.002183,0.140059,0.011169,0.170511,0.213362,0.266747,0.328399,2.989476,4056.625815,3680.590440,3378.725004,3313.148519,calls/second,milliseconds
1407251405,174522,3.045125,0.091932,0.002183,0.137164,0.007427,0.168687,0.211951,0.258036,0.318755,2.989476,4061.258198,3680.590440,3378.725004,3313.148519,calls/second,milliseconds
1407251407,182456,3.045125,0.091211,0.002183,0.137104,0.005187,0.168375,0.211951,0.253218,0.318755,2.989476,4057.390398,3680.590440,3378.725004,3313.148519,calls/second,milliseconds
1407251409,191460,3.045125,0.091664,0.002183,0.137079,0.005187,0.167681,0.212206,0.255478,0.319379,2.989476,4076.950191,3698.805086,3387.479762,3316.446302,calls/second,milliseconds
1407251411,200698,3.045125,0.088533,0.002198,0.136091,0.004306,0.167397,0.211131,0.251191,0.317755,2.989476,4098.785254,3698.805086,3387.479762,3316.446302,calls/second,milliseconds
1407251413,209392,3.045125,0.087637,0.002198,0.135700,0.003936,0.166937,0.210000,0.244475,0.313164,2.989476,4108.916964,3766.734945,3406.668086,3323.271513,calls/second,milliseconds
1407251415,217664,3.045125,0.087137,0.002198,0.135695,0.003788,0.165846,0.210382,0.241315,0.313164,2.989476,4109.861028,3766.734945,3406.668086,3323.271513,calls/second,milliseconds
1407251417,226132,3.045125,0.087037,0.002227,0.135657,0.003788,0.166937,0.209669,0.244475,0.316415,2.989476,4114.406123,3766.734945,3406.668086,3323.271513,calls/second,milliseconds
1407251419,234578,3.045125,0.086142,0.002227,0.135025,0.003767,0.164723,0.208015,0.238050,0.306735,2.989476,4117.822735,3800.193563,3419.536086,3328.046728,calls/second,milliseconds
1407251421,242058,1.126205,0.082912,0.002227,0.098408,0.003722,0.163877,0.205144,0.236113,0.291334,1.124167,4105.440119,3800.193563,3419.536086,3328.046728,calls/second,milliseconds
1407251423,251292,1.126205,0.082244,0.002227,0.097709,0.003620,0.163877,0.203406,0.228771,0.276426,1.124167,4122.047495,3825.508016,3431.060845,3332.416541,calls/second,milliseconds
1407251425,260850,1.126205,0.082600,0.002227,0.097749,0.003666,0.164083,0.203879,0.228628,0.276426,1.124167,4142.151936,3825.508016,3431.060845,3332.416541,calls/second,milliseconds
1407251427,268802,1.126205,0.081763,0.002227,0.098057,0.003454,0.163564,0.203406,0.231288,0.281553,1.124167,4137.883384,3825.508016,3431.060845,3332.416541,calls/second,milliseconds
1407251429,276352,1.126205,0.081641,0.002227,0.097952,0.003474,0.163486,0.202562,0.231288,0.281553,1.124167,4126.951897,3871.569788,3447.102446,3338.339980,calls/second,milliseconds
1407251431,283544,1.126205,0.082484,0.002227,0.098185,0.003531,0.163755,0.203879,0.238050,0.281553,1.124167,4111.643434,3871.569788,3447.102446,3338.339980,calls/second,milliseconds
1407251433,291156,1.126205,0.083597,0.002227,0.098241,0.003734,0.164455,0.204046,0.238050,0.281553,1.124167,4102.713081,3871.444275,3454.092328,3341.285457,calls/second,milliseconds
1407251435,299542,1.126205,0.082847,0.002218,0.098122,0.003617,0.163458,0.204273,0.238050,0.281553,1.124167,4105.335789,3871.444275,3454.092328,3341.285457,calls/second,milliseconds
1407251437,307328,1.372016,0.084308,0.002218,0.106124,0.003552,0.163701,0.205024,0.239268,0.291334,1.364887,4099.312992,3871.444275,3454.092328,3341.285457,calls/second,milliseconds
1407251439,314926,1.372016,0.086474,0.002227,0.107499,0.003840,0.164900,0.208340,0.248049,0.318124,1.364887,4091.991354,3869.249952,3460.536935,3344.070572,calls/second,milliseconds
1407251441,321770,1.372016,0.087292,0.002227,0.108194,0.003968,0.166034,0.209208,0.268799,0.324736,1.364887,4075.012536,3869.249952,3460.536935,3344.070572,calls/second,milliseconds
1407251443,330758,1.372016,0.088226,0.002227,0.107823,0.004629,0.165900,0.208016,0.264344,0.324736,1.364887,4084.929456,3868.606313,3467.159313,3346.935548,calls/second,milliseconds
1407251445,339168,1.372016,0.088484,0.002227,0.107609,0.004735,0.165592,0.206783,0.258036,0.324736,1.364887,4088.299754,3868.606313,3467.159313,3346.935548,calls/second,milliseconds
1407251447,346664,1.372016,0.088222,0.002227,0.107535,0.004639,0.164900,0.206783,0.258036,0.324736,1.364887,4080.232555,3868.606313,3467.159313,3346.935548,calls/second,milliseconds
1407251449,355352,1.372016,0.088115,0.002227,0.107979,0.004616,0.165057,0.207140,0.258036,0.333135,1.364887,4086.349242,3882.182267,3476.601091,3350.766366,calls/second,milliseconds
1407251451,363714,1.372016,0.087970,0.002191,0.107580,0.004165,0.164788,0.206783,0.248049,0.324736,1.364887,4088.490843,3882.182267,3476.601091,3350.766366,calls/second,milliseconds
1407251453,372902,1.372016,0.088241,0.002191,0.107083,0.004435,0.165592,0.206389,0.246668,0.317415,1.364887,4099.427924,3913.382354,3489.754490,3355.872356,calls/second,milliseconds
1407251455,381424,1.372016,0.087640,0.002191,0.107538,0.003907,0.165800,0.208016,0.251191,0.324736,1.364887,4102.978197,3913.382354,3489.754490,3355.872356,calls/second,milliseconds
1407251457,390252,1.372016,0.086854,0.002227,0.107562,0.003578,0.165217,0.208012,0.251191,0.324736,1.364887,4109.618167,3913.382354,3489.754490,3355.872356,calls/second,milliseconds
1407251459,397552,1.372016,0.087378,0.002227,0.107633,0.003624,0.165600,0.208543,0.251191,0.324736,1.364887,4100.132282,3954.944678,3505.348273,3361.840915,calls/second,milliseconds
1407251461,405978,1.372016,0.086776,0.002227,0.107078,0.003493,0.165188,0.208067,0.251191,0.317415,1.364887,4102.363896,3954.944678,3505.348273,3361.840915,calls/second,milliseconds
1407251463,414202,1.372016,0.086046,0.002206,0.107161,0.003412,0.165014,0.208630,0.251191,0.317415,1.364887,4102.606794,3957.075920,3513.220021,3365.274475,calls/second,milliseconds
1407251465,420140,1.372016,0.086177,0.002206,0.107480,0.003412,0.165188,0.208919,0.255650,0.317415,1.364887,4080.593588,3957.075920,3513.220021,3365.274475,calls/second,milliseconds
1407251467,429028,1.372016,0.084529,0.002206,0.107186,0.003355,0.164549,0.208067,0.251003,0.317415,1.364887,4085.026296,3937.608660,3516.532011,3367.204251,calls/second,milliseconds
1407251469,436256,1.372016,0.084884,0.002206,0.107509,0.003373,0.164469,0.208630,0.254516,0.324736,1.364887,4078.652704,3937.608660,3516.532011,3367.204251,calls/second,milliseconds
1407251471,443634,1.372016,0.084537,0.002206,0.108035,0.003346,0.163776,0.208988,0.259915,0.328198,1.364887,4071.511850,3937.608660,3516.532011,3367.204251,calls/second,milliseconds
1407251473,450666,1.372016,0.085074,0.002206,0.108244,0.003359,0.164284,0.209156,0.264572,0.342696,1.364887,4061.208854,3913.109577,3518.427306,3368.666828,calls/second,milliseconds
1407251475,458552,1.372016,0.085764,0.002203,0.107508,0.003403,0.165196,0.208714,0.255650,0.326182,1.364887,4059.347070,3913.109577,3518.427306,3368.666828,calls/second,milliseconds
1407251477,467640,1.372016,0.087081,0.002203,0.107516,0.003470,0.165954,0.208714,0.255650,0.326182,1.364887,4067.780355,3913.109577,3518.427306,3368.666828,calls/second,milliseconds
1407251479,472124,1.372016,0.085838,0.002203,0.102780,0.003423,0.165954,0.208543,0.255650,0.323327,1.362849,4036.359484,3932.625969,3528.985290,3373.035421,calls/second,milliseconds
1407251481,478552,1.372016,0.085940,0.002203,0.102539,0.003441,0.165701,0.206783,0.255391,0.323327,1.362849,4022.758405,3932.625969,3528.985290,3373.035421,calls/second,milliseconds
1407251483,487763,1.372016,0.085498,0.002090,0.102100,0.003423,0.165701,0.205769,0.245490,0.317794,1.362849,4032.394611,3866.260757,3521.937761,3371.537168,calls/second,milliseconds
1407251485,496404,1.372016,0.085442,0.002090,0.101865,0.003403,0.166696,0.202334,0.239268,0.317794,1.362849,4036.740851,3866.260757,3521.937761,3371.537168,calls/second,milliseconds
1407251487,504328,1.372016,0.086767,0.002090,0.101840,0.003536,0.167549,0.202763,0.239268,0.309039,1.362849,4035.911595,3866.260757,3521.937761,3371.537168,calls/second,milliseconds
1407251489,512662,1.372016,0.086950,0.002090,0.101743,0.003582,0.167549,0.202808,0.239268,0.309039,1.362849,4037.592801,3892.705207,3533.095559,3376.110357,calls/second,milliseconds
1407251491,521179,1.372016,0.087410,0.002090,0.101990,0.003666,0.168762,0.202813,0.239268,0.309039,1.362849,4041.358464,3892.705207,3533.095559,3376.110357,calls/second,milliseconds
1407251493,526470,1.372016,0.088228,0.002090,0.102023,0.003750,0.168909,0.203692,0.239268,0.309039,1.362849,4020.106764,3886.412286,3537.738501,3378.536333,calls/second,milliseconds
1407251495,534080,1.372016,0.088275,0.002090,0.101609,0.003913,0.168941,0.202859,0.237179,0.290599,1.362849,4016.842541,3886.412286,3537.738501,3378.536333,calls/second,milliseconds
1407251497,541284,1.372016,0.087363,0.002090,0.101682,0.003680,0.168909,0.202859,0.237796,0.290599,1.362849,4007.284651,3854.141229,3536.830447,3379.113969,calls/second,milliseconds
1407251499,548080,1.372016,0.086973,0.002090,0.101569,0.003666,0.168941,0.202813,0.237179,0.290599,1.362849,4001.701600,3854.141229,3536.830447,3379.113969,calls/second,milliseconds
1407251501,556306,1.372016,0.087320,0.002090,0.101452,0.003680,0.168887,0.202813,0.232543,0.290599,1.362849,4003.305956,3854.141229,3536.830447,3379.113969,calls/second,milliseconds
1407251503,562862,1.372016,0.087085,0.002090,0.101631,0.003676,0.168835,0.202859,0.237179,0.307942,1.362849,3993.038145,3852.914612,3541.821565,3381.660700,calls/second,milliseconds
1407251505,570750,1.372016,0.086271,0.002090,0.097561,0.003670,0.169177,0.203429,0.237179,0.307942,1.343693,3992.337591,3852.914612,3541.821565,3381.660700,calls/second,milliseconds
1407251507,576054,0.395361,0.085105,0.002090,0.089198,0.003625,0.168941,0.202813,0.237179,0.306722,0.394895,3973.848330,3852.914612,3541.821565,3381.660700,calls/second,milliseconds
1407251509,584618,0.379291,0.083604,0.002090,0.088509,0.003404,0.167821,0.201708,0.234431,0.290599,0.378781,3978.062824,3803.013163,3536.647773,3380.813828,calls/second,milliseconds
1407251511,591878,0.848061,0.084539,0.002090,0.092105,0.003538,0.167943,0.202334,0.242050,0.310869,0.834467,3973.190928,3803.013163,3536.647773,3380.813828,calls/second,milliseconds
1407251513,600064,0.848061,0.084961,0.002023,0.091774,0.003693,0.167350,0.202763,0.238530,0.309047,0.834467,3974.938418,3818.507503,3544.253421,3384.226485,calls/second,milliseconds
1407251515,605730,0.848061,0.084632,0.002023,0.091747,0.003676,0.167289,0.202763,0.238530,0.309047,0.834467,3960.047856,3818.507503,3544.253421,3384.226485,calls/second,milliseconds
1407251517,610616,0.848061,0.085272,0.002023,0.091668,0.003778,0.167650,0.202808,0.238530,0.305248,0.834467,3940.235074,3818.507503,3544.253421,3384.226485,calls/second,milliseconds
1407251519,619376,0.848061,0.084696,0.002023,0.091362,0.003778,0.167127,0.202334,0.232543,0.305248,0.834467,3946.047740,3747.530330,3534.113928,3381.714433,calls/second,milliseconds
1407251521,626128,0.848061,0.083965,0.002023,0.091410,0.003625,0.167289,0.202763,0.232543,0.305248,0.834467,3938.776658,3747.530330,3534.113928,3381.714433,calls/second,milliseconds
1407251523,634780,0.848061,0.083893,0.002023,0.091155,0.003582,0.167342,0.202763,0.228998,0.298388,0.834467,3943.670696,3765.541898,3541.364771,3384.989137,calls/second,milliseconds
1407251525,641744,0.848061,0.084813,0.002023,0.091113,0.003786,0.167375,0.202808,0.228998,0.298388,0.834467,3938.037899,3765.541898,3541.364771,3384.989137,calls/second,milliseconds
1407251527,648520,0.848061,0.084706,0.002023,0.090786,0.003794,0.167420,0.202814,0.220559,0.267356,0.834134,3931.275991,3765.541898,3541.364771,3384.989137,calls/second,milliseconds
1407251529,655912,0.848061,0.083829,0.002023,0.090709,0.003628,0.167260,0.202789,0.220559,0.267356,0.834134,3928.544841,3752.305899,3542.333926,3386.180330,calls/second,milliseconds
1407251531,662296,1.164164,0.085813,0.002023,0.096958,0.003786,0.167412,0.203984,0.228998,0.290599,1.154997,3919.787250,3752.305899,3542.333926,3386.180330,calls/second,milliseconds
1407251533,669760,1.164164,0.086347,0.002023,0.097474,0.003828,0.167650,0.204294,0.232543,0.308057,1.154997,3917.636255,3716.141516,3538.328498,3385.702878,calls/second,milliseconds
1407251535,675946,1.164164,0.086894,0.002023,0.097643,0.004153,0.167511,0.204627,0.238530,0.310869,1.154997,3907.845473,3716.141516,3538.328498,3385.702878,calls/second,milliseconds
1407251537,684318,1.164164,0.086929,0.002023,0.097528,0.004153,0.167898,0.205125,0.238530,0.308057,1.154997,3911.150299,3716.141516,3538.328498,3385.702878,calls/second,milliseconds
1407251539,690936,1.164164,0.085947,0.002023,0.097673,0.003786,0.167511,0.206094,0.238530,0.308057,1.154997,3904.434745,3726.204605,3543.347747,3388.230833,calls/second,milliseconds
1407251541,700234,1.164164,0.084764,0.002023,0.097355,0.003680,0.167071,0.205125,0.232543,0.302824,1.154997,3912.762381,3726.204605,3543.347747,3388.230833,calls/second,milliseconds
1407251543,705442,1.164164,0.085332,0.002023,0.097439,0.003705,0.167412,0.205125,0.232543,0.302824,1.154997,3898.288253,3725.964370,3546.320443,3390.086614,calls/second,milliseconds
1407251545,712864,1.164164,0.086847,0.002023,0.097546,0.004136,0.167898,0.206094,0.238043,0.302824,1.154997,3896.269763,3725.964370,3546.320443,3390.086614,calls/second,milliseconds
1407251547,721608,1.164164,0.087237,0.002023,0.097381,0.004458,0.168070,0.206174,0.234008,0.290599,1.154997,3901.399512,3725.964370,3546.320443,3390.086614,calls/second,milliseconds
1407251549,729894,1.164164,0.087382,0.002023,0.097366,0.004647,0.168066,0.206174,0.234008,0.290599,1.154997,3903.941179,3726.574881,3549.415902,3391.989730,calls/second,milliseconds
1407251551,737070,1.164164,0.087779,0.002023,0.097422,0.004762,0.168653,0.206778,0.234008,0.290599,1.154997,3900.654614,3726.574881,3549.415902,3391.989730,calls/second,milliseconds
1407251553,745778,1.164164,0.089091,0.002023,0.097874,0.005910,0.169392,0.206778,0.238043,0.302824,1.154997,3905.386141,3756.400323,3558.509645,3395.909998,calls/second,milliseconds
1407251555,750542,1.164164,0.088550,0.002023,0.097816,0.005327,0.168906,0.206778,0.238043,0.302824,1.154997,3889.543109,3756.400323,3558.509645,3395.909998,calls/second,milliseconds
1407251557,759690,1.164164,0.087472,0.002023,0.097905,0.004123,0.168906,0.207354,0.238043,0.302824,1.154997,3896.441922,3756.400323,3558.509645,3395.909998,calls/second,milliseconds
1407251559,767634,1.164164,0.087685,0.002066,0.097957,0.004698,0.168906,0.208534,0.238043,0.302824,1.154997,3897.406775,3739.481695,3558.283045,3396.734872,calls/second,milliseconds
1407251561,775290,1.164164,0.086465,0.002066,0.097708,0.003840,0.168066,0.206116,0.235428,0.307253,1.154997,3896.673916,3739.481695,3558.283045,3396.734872,calls/second,milliseconds
1407251563,782532,1.164164,0.086439,0.002066,0.097051,0.004647,0.167534,0.204429,0.232897,0.290599,1.154997,3893.955275,3761.910701,3565.914555,3400.187855,calls/second,milliseconds
