t,count
1407251363,658
1407251365,7622
1407251367,16286
1407251369,23060
1407251371,31026
1407251373,39078
1407251375,47726
1407251377,56604
1407251379,65500
1407251381,74426
1407251383,83930
1407251385,93396
1407251387,101972
1407251389,110798
1407251391,118236
1407251393,125008
1407251395,134328
1407251397,141792
1407251399,149770
1407251401,158518
1407251403,166168
1407251405,174368
1407251407,182322
1407251409,191426
1407251411,200612
1407251413,209386
1407251415,217592
1407251417,226132
1407251419,234514
1407251421,242058
1407251423,251208
1407251425,260710
1407251427,268736
1407251429,276352
1407251431,283506
1407251433,291084
1407251435,299490
1407251437,307234
1407251439,314852
1407251441,321770
1407251443,330624
1407251445,339108
1407251447,346658
1407251449,355352
1407251451,363714
1407251453,372844
1407251455,381346
1407251457,390238
1407251459,397486
1407251461,405958
1407251463,414130
1407251465,420122
1407251467,428704
1407251469,436190
1407251471,443634
1407251473,450666
1407251475,458482
1407251477,467578
1407251479,472124
1407251481,478552
1407251483,487688
1407251485,496264
1407251487,504328
1407251489,512518
1407251491,521110
1407251493,526470
1407251495,534080
1407251497,540634
1407251499,548028
1407251501,556256
1407251503,562856
1407251505,570682
1407251507,576010
1407251509,584618
1407251511,591806
1407251513,600064
1407251515,605730
1407251517,610484
1407251519,619330
1407251521,626062
1407251523,634728
1407251525,641744
1407251527,648452
1407251529,655830
1407251531,662276
1407251533,669760
1407251535,675806
1407251537,684204
1407251539,690868
1407251541,700160
1407251543,705400
1407251545,712864
1407251547,721530
1407251549,729894
1407251551,736992
1407251553,745706
1407251555,750492
1407251557,759624
1407251559,767634
1407251561,775216
1407251563,782468
1407251565,790360
1407251567,795570
1407251569,803224
1407251571,810664
1407251573,818302
1407251575,825742
1407251577,834420
1407251579,841864
1407251581,848346
1407251583,855682
1407251585,863974
1407251587,871734
1407251589,878236
1407251591,885726
1407251593,894696
1407251595,903008
1407251597,911206
1407251599,919702
1407251601,926664
1407251603,935138
1407251605,942760
1407251607,951076
1407251609,959140
1407251611,967300
1407251613,975056
1407251615,981622
1407251617,989678
1407251619,998218
1407251621,1000001
1407251623,1000001
1407251625,1000001
1407251627,1000001
1407251629,1000001
1407251631,1000001
1407251633,1000001
1407251635,1000001
1407251637,1000001
1407251639,1000001
1407251641,1000001
1407251643,1000001
1407251645,1000001
1407251647,1000001
1407251649,1000001
1407251651,1000001
