timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1407251363,101,101,2.535547,296,25.918471,1.677794,12.453391,1004
1407251364,,,,,,,,1532
1407251365,3809,3809,0.272621,3898,0.193612,0.364391,0.455256,3223
1407251366,,,,,,,,1865
1407251367,8140,8141,0.244893,8148,0.203470,0.338079,0.438564,1244
1407251368,,,,,,,,1847
1407251369,11527,11527,0.230720,11563,0.200697,0.302298,0.413789,2154
1407251370,,,,,,,,1687
1407251371,15510,15510,0.227463,15593,0.299761,0.292301,0.406913,2339
1407251372,,,,,,,,1773
1407251373,19537,19538,0.223776,19605,0.299621,0.288771,0.386704,2159
1407251374,,,,,,,,2095
1407251375,23863,23863,0.219294,23867,0.296143,0.286711,0.380023,2192
1407251376,,,,,,,,2194
1407251377,28302,28302,0.205318,28302,0.074720,0.274310,0.377514,2491
1407251378,,,,,,,,2141
1407251379,32750,32750,0.202358,32750,0.057744,0.264529,0.356539,2211
1407251380,,,,,,,,2376
1407251381,37211,37211,0.200970,37285,0.057690,0.261177,0.370568,2162
1407251382,,,,,,,,2319
1407251383,41963,41963,0.199575,41997,0.056480,0.261127,0.366835,2323
1407251384,,,,,,,,2332
1407251385,46698,46698,0.199054,46715,0.062689,0.254884,0.371288,2530
1407251386,,,,,,,,2069
1407251387,50983,50984,0.199124,51015,0.066761,0.253656,0.361583,2108
1407251388,,,,,,,,2134
1407251389,55386,55386,0.198489,55422,0.066682,0.252797,0.360409,2288
1407251390,,,,,,,,1460
1407251391,59114,59114,0.198212,59132,0.066313,0.250204,0.349815,2273
1407251392,,,,,,,,1372
1407251393,62501,62502,0.196468,62536,0.057386,0.245886,0.340438,1908
1407251394,,,,,,,,2435
1407251395,67164,67164,0.197099,67164,0.066548,0.245579,0.348324,2433
1407251396,,,,,,,,1572
1407251397,70894,70894,0.197086,70967,0.067139,0.245886,0.378988,1472
1407251398,,,,,,,,2272
1407251399,74885,74885,0.195617,74885,0.062746,0.241430,0.354021,2236
1407251400,,,,,,,,2217
