timestamp,operator,process_time
1407251363,source-0,3.498317
1407251365,source-0,0.696856
1407251367,source-0,0.432206
1407251369,source-0,0.350946
1407251371,source-0,0.349163
1407251373,source-0,0.342319
1407251375,source-0,0.349163
1407251377,source-0,0.333350
1407251379,source-0,0.321005
1407251381,source-0,0.331129
1407251383,source-0,0.331129
1407251385,source-0,0.287363
1407251387,source-0,0.328399
1407251389,source-0,0.328399
1407251391,source-0,0.330834
1407251393,source-0,0.330834
1407251395,source-0,0.341930
1407251397,source-0,0.346118
1407251399,source-0,0.330834
1407251401,source-0,0.330834
1407251403,source-0,0.328399
1407251405,source-0,0.318755
1407251407,source-0,0.318755
1407251409,source-0,0.319379
1407251411,source-0,0.317755
1407251413,source-0,0.313164
1407251415,source-0,0.313164
1407251417,source-0,0.316415
1407251419,source-0,0.306735
1407251421,source-0,0.291334
1407251423,source-0,0.276426
1407251425,source-0,0.276426
1407251427,source-0,0.281553
1407251429,source-0,0.281553
1407251431,source-0,0.281553
1407251433,source-0,0.281553
1407251435,source-0,0.281553
1407251437,source-0,0.291334
1407251439,source-0,0.318124
1407251441,source-0,0.324736
1407251443,source-0,0.324736
1407251445,source-0,0.324736
1407251447,source-0,0.324736
1407251449,source-0,0.333135
1407251451,source-0,0.324736
1407251453,source-0,0.317415
1407251455,source-0,0.324736
1407251457,source-0,0.324736
1407251459,source-0,0.324736
1407251461,source-0,0.317415
1407251463,source-0,0.317415
1407251465,source-0,0.317415
1407251467,source-0,0.317415
1407251469,source-0,0.324736
1407251471,source-0,0.328198
1407251473,source-0,0.342696
1407251475,source-0,0.326182
1407251477,source-0,0.326182
1407251479,source-0,0.323327
1407251481,source-0,0.323327
1407251483,source-0,0.317794
1407251485,source-0,0.317794
1407251487,source-0,0.309039
1407251489,source-0,0.309039
1407251491,source-0,0.309039
1407251493,source-0,0.309039
1407251495,source-0,0.290599
1407251497,source-0,0.290599
1407251499,source-0,0.290599
1407251501,source-0,0.290599
1407251503,source-0,0.307942
1407251505,source-0,0.307942
1407251507,source-0,0.306722
1407251509,source-0,0.290599
1407251511,source-0,0.310869
1407251513,source-0,0.309047
1407251515,source-0,0.309047
1407251517,source-0,0.305248
1407251519,source-0,0.305248
1407251521,source-0,0.305248
1407251523,source-0,0.298388
1407251525,source-0,0.298388
1407251527,source-0,0.267356
1407251529,source-0,0.267356
1407251531,source-0,0.290599
1407251533,source-0,0.308057
1407251535,source-0,0.310869
1407251537,source-0,0.308057
1407251539,source-0,0.308057
1407251541,source-0,0.302824
1407251543,source-0,0.302824
1407251545,source-0,0.302824
1407251547,source-0,0.290599
1407251549,source-0,0.290599
1407251551,source-0,0.290599
1407251553,source-0,0.302824
1407251555,source-0,0.302824
1407251557,source-0,0.302824
1407251559,source-0,0.302824
1407251561,source-0,0.307253
1407251563,source-0,0.290599
1407251565,source-0,0.290599
1407251567,source-0,0.290599
1407251569,source-0,0.262334
1407251571,source-0,0.258941
1407251573,source-0,0.258941
1407251575,source-0,0.258941
1407251577,source-0,0.267068
1407251579,source-0,0.258941
1407251581,source-0,0.258941
1407251583,source-0,0.275611
1407251585,source-0,0.279905
