t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1404127281,1413,0.368711,0.009172,0.001458,0.013581,0.006983,0.012692,0.019660,0.021129,0.025988,0.361676,1598.185374,0.000000,0.000000,0.000000,calls/second,milliseconds
1404127283,2704,0.368711,0.006674,0.001246,0.013797,0.003669,0.007154,0.018397,0.020242,0.035746,0.361676,556.458812,0.000000,0.000000,0.000000,calls/second,milliseconds
1404127285,3120,0.368711,0.006250,0.001200,0.013807,0.003350,0.006972,0.018386,0.020375,0.035746,0.361676,639.741103,0.000000,0.000000,0.000000,calls/second,milliseconds
1404127287,5878,0.079833,0.004200,0.001016,0.005732,0.002499,0.004251,0.013996,0.018813,0.019759,0.079427,854.234801,733.600000,733.600000,733.600000,calls/second,milliseconds
1404127290,8201,0.079833,0.003729,0.000692,0.005165,0.002427,0.003813,0.010961,0.018739,0.019701,0.079249,811.345710,735.966685,734.089245,733.763988,calls/second,milliseconds
1404127291,10736,0.079833,0.003185,0.000524,0.004735,0.001794,0.003156,0.009735,0.017008,0.019399,0.079050,987.565448,735.966685,734.089245,733.763988,calls/second,milliseconds
1404127294,14442,0.079833,0.002558,0.000226,0.004414,0.001536,0.002552,0.008232,0.015941,0.018923,0.079050,1020.589042,735.966685,734.089245,733.763988,calls/second,milliseconds
1404127295,14794,0.079833,0.002516,0.000226,0.004327,0.001503,0.002546,0.007869,0.015621,0.018843,0.079050,994.395443,735.966685,734.089245,733.763988,calls/second,milliseconds
1404127297,16098,0.079833,0.002416,0.000226,0.004217,0.001401,0.002520,0.006990,0.014368,0.018843,0.079050,879.659248,795.824100,746.494097,737.923734,calls/second,milliseconds
1404127299,17381,0.079833,0.002270,0.000219,0.004167,0.001206,0.002454,0.006856,0.012949,0.018744,0.079050,920.830797,795.824100,746.494097,737.923734,calls/second,milliseconds
1404127301,19089,0.052849,0.002182,0.000219,0.003640,0.001166,0.002396,0.006825,0.011794,0.018744,0.052697,914.208010,786.547325,745.391740,737.601720,calls/second,milliseconds
1404127304,22793,0.053746,0.002004,0.000219,0.003723,0.001051,0.002170,0.005882,0.010136,0.018865,0.053719,942.063361,786.547325,745.391740,737.601720,calls/second,milliseconds
1404127305,23623,0.053746,0.001975,0.000219,0.003715,0.001039,0.002159,0.005743,0.010136,0.018868,0.053720,949.689162,786.547325,745.391740,737.601720,calls/second,milliseconds
1404127307,26977,0.053746,0.001838,0.000219,0.003290,0.000929,0.001954,0.005496,0.009544,0.016669,0.053720,952.505573,811.113893,751.150422,739.575112,calls/second,milliseconds
1404127309,27963,0.053746,0.001796,0.000219,0.003250,0.000902,0.001892,0.005426,0.009511,0.015280,0.053720,968.543023,811.113893,751.150422,739.575112,calls/second,milliseconds
1404127311,29777,0.053746,0.001837,0.000219,0.003547,0.000897,0.001924,0.005177,0.009544,0.016669,0.053720,921.110566,832.085132,756.476739,741.424553,calls/second,milliseconds
1404127313,32092,0.053746,0.001783,0.000219,0.003672,0.000851,0.001761,0.005107,0.009613,0.018218,0.053720,976.197221,832.085132,756.476739,741.424553,calls/second,milliseconds
1404127315,34041,0.053746,0.001786,0.000219,0.003643,0.000855,0.001771,0.005072,0.009615,0.016669,0.053720,976.069208,832.085132,756.476739,741.424553,calls/second,milliseconds
1404127317,36594,0.053746,0.001750,0.000219,0.003653,0.000834,0.001702,0.004983,0.009615,0.016669,0.053720,978.062113,844.967166,760.389431,742.819427,calls/second,milliseconds
1404127319,38065,0.053746,0.001743,0.000219,0.003784,0.000834,0.001694,0.004816,0.009544,0.015830,0.053720,979.184309,844.967166,760.389431,742.819427,calls/second,milliseconds
1404127321,39956,0.053746,0.001700,0.000219,0.003725,0.000827,0.001655,0.004721,0.009193,0.012457,0.053720,943.944248,854.580452,763.774652,744.051449,calls/second,milliseconds
1404127323,41192,0.053746,0.001691,0.000219,0.003737,0.000819,0.001641,0.004721,0.009193,0.013857,0.053720,960.292193,854.580452,763.774652,744.051449,calls/second,milliseconds
1404127325,44172,0.052849,0.001537,0.000219,0.003181,0.000799,0.001513,0.004411,0.008055,0.011400,0.052687,953.597909,865.775797,767.589859,745.439527,calls/second,milliseconds
1404127327,45310,0.052849,0.001507,0.000219,0.003169,0.000794,0.001400,0.004206,0.008055,0.011400,0.052687,966.713749,865.775797,767.589859,745.439527,calls/second,milliseconds
1404127329,50065,0.052849,0.001369,0.000219,0.002777,0.000773,0.001178,0.004097,0.007409,0.009770,0.052687,994.927506,887.621598,773.728729,747.619911,calls/second,milliseconds
1404127331,50880,0.052849,0.001340,0.000219,0.002739,0.000773,0.001166,0.004053,0.006445,0.009620,0.052687,1000.130182,887.621598,773.728729,747.619911,calls/second,milliseconds
1404127333,52563,0.052849,0.001377,0.000219,0.003072,0.000778,0.001150,0.004053,0.006990,0.009680,0.052687,994.121643,887.621598,773.728729,747.619911,calls/second,milliseconds
1404127335,54782,0.052849,0.001337,0.000219,0.003133,0.000769,0.001097,0.003971,0.005554,0.009770,0.052687,998.329971,887.621598,773.728729,747.619911,calls/second,milliseconds
1404127337,58553,0.052849,0.001282,0.000219,0.003095,0.000757,0.001049,0.003725,0.005424,0.009486,0.052687,1004.626724,928.940918,784.152808,751.258573,calls/second,milliseconds
1404127339,61298,0.052849,0.001271,0.000219,0.003201,0.000744,0.000985,0.003567,0.005424,0.009770,0.052687,1041.237066,928.940918,784.152808,751.258573,calls/second,milliseconds
