t,value
1404127273,466092032
1404127275,812122112
1404127277,1105723392
1404127279,1329594368
1404127281,1329594368
1404127283,1329594368
1404127285,1349517312
1404127287,1349517312
1404127290,1349517312
1404127291,1349517312
1404127294,1349517312
1404127295,1349517312
1404127297,1349517312
1404127299,1349517312
1404127301,1349517312
1404127304,1349517312
1404127305,1349517312
1404127307,1349517312
1404127309,1349517312
1404127311,1349517312
1404127313,1349517312
1404127315,1349517312
1404127317,1349517312
1404127319,1349517312
1404127321,1349517312
1404127323,1349517312
1404127325,1349517312
1404127327,1349517312
1404127329,1349517312
1404127331,1349517312
1404127333,1349517312
1404127335,1349517312
1404127337,1349517312
1404127339,1349517312
1404127341,1349517312
1404127343,1349517312
1404127345,1349517312
1404127347,1349517312
1404127349,1349517312
1404127351,1349517312
1404127353,1349517312
1404127356,1349517312
1404127357,1349517312
1404127359,1349517312
1404127361,1349517312
1404127363,1349517312
1404127365,1349517312
1404127367,1349517312
1404127369,1349517312
1404127371,1349517312
1404127373,1349517312
1404127375,1349517312
1404127377,1349517312
1404127379,1349517312
1404127381,1349517312
1404127383,1349517312
1404127386,1349517312
1404127387,1349517312
1404127390,1349517312
1404127391,1349517312
1404127394,1349517312
1404127395,1349517312
1404127397,1349517312
1404127399,1349517312
1404127401,1349517312
1404127403,1349517312
1404127406,1349517312
1404127407,1349517312
1404127409,1349517312
1404127411,1349517312
1404127413,1349517312
1404127415,1349517312
1404127417,1349517312
1404127419,1349517312
1404127421,1349517312
1404127423,1349517312
1404127425,1349517312
1404127427,1349517312
1404127429,1349517312
1404127431,1349517312
1404127433,1349517312
1404127435,1349517312
1404127437,1349517312
1404127440,1349517312
1404127441,1349517312
1404127443,1349517312
1404127445,1349517312
1404127447,1349517312
1404127449,1349517312
1404127451,1349517312
1404127454,1349517312
1404127455,1349517312
1404127457,1349517312
1404127459,1349517312
1404127461,1349517312
1404127464,1349517312
1404127465,1349517312
1404127467,1349517312
1404127469,1349517312
1404127471,1349517312
1404127474,1349517312
1404127475,1349517312
1404127477,1349517312
1404127479,1349517312
1404127481,1349517312
1404127483,1349517312
1404127485,1349517312
1404127487,1349517312
1404127489,1349517312
1404127491,1349517312
1404127493,1349517312
1404127495,1349517312
1404127497,1349517312
1404127499,1349517312
1404127501,1349517312
1404127503,1349517312
1404127505,1349517312
1404127507,1349517312
1404127509,1349517312
1404127511,1349517312
1404127513,1349517312
1404127515,1349517312
1404127517,1349517312
1404127519,1349517312
1404127521,1349517312
1404127523,1349517312
1404127525,1349517312
1404127527,1349517312
1404127529,1349517312
1404127531,1349517312
1404127533,1349517312
1404127535,1349517312
1404127537,1349517312
1404127539,1349517312
1404127541,1349517312
1404127543,1349517312
1404127545,1349517312
1404127548,1349517312
1404127549,1349517312
1404127551,1349517312
1404127553,1349517312
1404127555,1349517312
1404127557,1349517312
1404127560,1349517312
1404127561,1349517312
1404127563,1349517312
1404127565,1349517312
1404127567,1349517312
1404127569,1349517312
1404127571,1349517312
1404127573,1349517312
1404127575,1349517312
1404127577,1349517312
1404127579,1349517312
1404127581,1349517312
1404127583,1349517312
1404127585,1349517312
1404127587,1349517312
1404127589,1349517312
1404127591,1349517312
1404127593,1349517312
1404127595,1349517312
1404127597,1349517312
1404127599,1349517312
1404127601,1349517312
1404127603,1349517312
1404127605,1349517312
1404127607,1349517312
1404127609,1349517312
1404127611,1349517312
1404127613,1349517312
1404127615,1349517312
1404127617,1349517312
1404127619,1349517312
1404127621,1349517312
1404127623,1349517312
1404127625,1349517312
1404127627,1349517312
1404127629,1349517312
1404127631,1349517312
1404127633,1349517312
1404127635,1349517312
1404127638,1349517312
1404127639,1349517312
1404127641,1349517312
1404127643,1349517312
1404127645,1349517312
1404127647,1349517312
1404127649,1349517312
1404127652,1349517312
1404127653,1349517312
1404127655,1349517312
1404127657,1349517312
1404127659,1349517312
1404127661,1349517312
1404127663,1349517312
1404127665,1349517312
1404127667,1349517312
1404127669,1349517312
1404127671,1349517312
1404127673,1349517312
1404127675,1349517312
1404127677,1349517312
1404127679,1349517312
1404127681,1349517312
1404127683,1349517312
1404127685,1349517312
