t,value
1404127273,24576000
1404127275,24576000
1404127277,24576000
1404127279,24576000
1404127281,24576000
1404127283,24576000
1404127285,24576000
1404127287,24576000
1404127290,24576000
1404127291,24576000
1404127294,24576000
1404127295,24576000
1404127297,24576000
1404127299,24576000
1404127301,24576000
1404127304,24576000
1404127305,24576000
1404127307,24576000
1404127309,24576000
1404127311,24576000
1404127313,24576000
1404127315,24576000
1404127317,24576000
1404127319,24576000
1404127321,24576000
1404127323,24576000
1404127325,24576000
1404127327,24576000
1404127329,24576000
1404127331,24576000
1404127333,24576000
1404127335,24576000
1404127337,24576000
1404127339,24576000
1404127341,24576000
1404127343,24576000
1404127345,24576000
1404127347,24576000
1404127349,24576000
1404127351,24576000
1404127353,24576000
1404127356,24576000
1404127357,24576000
1404127359,24576000
1404127361,24576000
1404127363,24576000
1404127365,24576000
1404127367,24576000
1404127369,24576000
1404127371,24576000
1404127373,24576000
1404127375,24576000
1404127377,24576000
1404127379,24576000
1404127381,24576000
1404127383,24576000
1404127386,24576000
1404127387,24576000
1404127390,24576000
1404127391,24576000
1404127394,24576000
1404127395,24576000
1404127397,24576000
1404127399,24576000
1404127401,24576000
1404127403,24576000
1404127406,24576000
1404127407,24576000
1404127409,24576000
1404127411,24576000
1404127413,24576000
1404127415,24576000
1404127417,24576000
1404127419,24576000
1404127421,24576000
1404127423,24576000
1404127425,24576000
1404127427,24576000
1404127429,24576000
1404127431,24576000
1404127433,24576000
1404127435,24576000
1404127437,24576000
1404127440,24576000
1404127441,24576000
1404127443,24576000
1404127445,24576000
1404127447,24576000
1404127449,24576000
1404127451,24576000
1404127454,24576000
1404127455,24576000
1404127457,24576000
1404127459,24576000
1404127461,24576000
1404127464,24576000
1404127465,24576000
1404127467,24576000
1404127469,24576000
1404127471,24576000
1404127474,24576000
1404127475,24576000
1404127477,24576000
1404127479,24576000
1404127481,24576000
1404127483,24576000
1404127485,24576000
1404127487,24576000
1404127489,24576000
1404127491,24576000
1404127493,24576000
1404127495,24576000
1404127497,24576000
1404127499,24576000
1404127501,24576000
1404127503,24576000
1404127505,24576000
1404127507,24576000
1404127509,24576000
1404127511,24576000
1404127513,24576000
1404127515,24576000
1404127517,24576000
1404127519,24576000
1404127521,24576000
1404127523,24576000
1404127525,24576000
1404127527,24576000
1404127529,24576000
1404127531,24576000
1404127533,24576000
1404127535,24576000
1404127537,24576000
1404127539,24576000
1404127541,24576000
1404127543,24576000
1404127545,24576000
1404127548,24576000
1404127549,24576000
1404127551,24576000
1404127553,24576000
1404127555,24576000
1404127557,24576000
1404127560,24576000
1404127561,24576000
1404127563,24576000
1404127565,24576000
1404127567,24576000
1404127569,24576000
1404127571,24576000
1404127573,24576000
1404127575,24576000
1404127577,24576000
1404127579,24576000
1404127581,24576000
1404127583,24576000
1404127585,24576000
1404127587,24576000
1404127589,24576000
1404127591,24576000
1404127593,24576000
1404127595,24576000
1404127597,24576000
1404127599,24576000
1404127601,24576000
1404127603,24576000
1404127605,24576000
1404127607,24576000
1404127609,24576000
1404127611,24576000
1404127613,24576000
1404127615,24576000
1404127617,24576000
1404127619,24576000
1404127621,24576000
1404127623,24576000
1404127625,24576000
1404127627,24576000
1404127629,24576000
1404127631,24576000
1404127633,24576000
1404127635,24576000
1404127638,24576000
1404127639,24576000
1404127641,24576000
1404127643,24576000
1404127645,24576000
1404127647,24576000
1404127649,24576000
1404127652,24576000
1404127653,24576000
1404127655,24576000
1404127657,24576000
1404127659,24576000
1404127661,24576000
1404127663,24576000
1404127665,24576000
1404127667,24576000
1404127669,24576000
1404127671,24576000
1404127673,24576000
1404127675,24576000
1404127677,24576000
1404127679,24576000
1404127681,24576000
1404127683,24576000
1404127685,24576000
1404127687,24576000
1404127690,24576000
1404127691,24576000
1404127693,24576000
1404127695,24576000
1404127697,24576000
1404127699,24576000
1404127701,24576000
1404127703,24576000
1404127705,24576000
1404127707,24576000
1404127709,24576000
1404127711,24576000
1404127713,24576000
1404127715,24576000
1404127717,24576000
1404127720,24576000
1404127721,24576000
1404127723,24576000
1404127725,24576000
1404127727,24576000
1404127729,24576000
1404127731,24576000
1404127733,24576000
1404127735,24576000
1404127737,24576000
1404127739,24576000
1404127741,24576000
1404127743,24576000
1404127745,24576000
1404127747,24576000
1404127749,24576000
1404127751,24576000
1404127753,24576000
1404127755,24576000
1404127757,24576000
1404127759,24576000
1404127762,24576000
1404127763,24576000
1404127765,24576000
1404127767,24576000
1404127769,24576000
1404127771,24576000
1404127773,24576000
1404127775,24576000
1404127777,24576000
1404127779,24576000
1404127781,24576000
1404127783,24576000
1404127785,24576000
1404127787,24576000
1404127789,24576000
1404127791,24576000
1404127793,24576000
1404127795,24576000
1404127797,24576000
1404127799,24576000
1404127801,24576000
1404127803,24576000
1404127805,24576000
1404127807,24576000
1404127810,24576000
1404127811,24576000
1404127813,24576000
1404127815,24576000
1404127818,24576000
1404127819,24576000
1404127821,24576000
1404127823,24576000
1404127825,24576000
1404127827,24576000
1404127829,24576000
1404127831,24576000
1404127833,24576000
1404127835,24576000
1404127837,24576000
1404127839,24576000
1404127841,24576000
1404127843,24576000
1404127845,24576000
1404127847,24576000
1404127849,24576000
1404127851,24576000
1404127853,24576000
1404127855,24576000
1404127857,24576000
1404127859,24576000
1404127861,24576000
1404127863,24576000
1404127865,24576000
1404127867,24576000
1404127870,24576000
1404127871,24576000
1404127873,24576000
1404127875,24576000
1404127877,24576000
1404127879,24576000
1404127881,24576000
1404127883,24576000
1404127885,24576000
1404127887,24576000
1404127889,24576000
1404127891,24576000
1404127893,24576000
1404127895,24576000
1404127898,24576000
1404127899,24576000
1404127901,24576000
1404127904,24576000
1404127905,24576000
1404127907,24576000
1404127909,24576000
1404127911,24576000
1404127913,24576000
1404127915,24576000
1404127918,24576000
1404127919,24576000
1404127921,24576000
1404127923,24576000
1404127925,24576000
1404127927,24576000
1404127929,24576000
1404127931,24576000
1404127933,24576000
1404127935,24576000
1404127937,24576000
1404127939,24576000
1404127941,24576000
1404127943,24576000
1404127945,24576000
1404127947,24576000
1404127949,24576000
1404127952,24576000
1404127953,24576000
1404127955,24576000
1404127957,24576000
1404127959,24576000
1404127961,24576000
1404127963,24576000
1404127965,24576000
1404127967,24576000
1404127969,24576000
1404127971,24576000
1404127973,24576000
1404127975,24576000
1404127977,24576000
1404127979,24576000
1404127981,24576000
1404127983,24576000
1404127985,24576000
1404127987,24576000
1404127989,24576000
1404127991,24576000
1404127993,24576000
1404127995,24576000
1404127997,24576000
1404127999,24576000
1404128002,24576000
1404128003,24576000
1404128005,24576000
1404128007,24576000
1404128009,24576000
1404128011,24576000
1404128013,24576000
1404128015,24576000
1404128017,24576000
1404128019,24576000
1404128022,24576000
1404128023,24576000
1404128025,24576000
1404128028,24576000
1404128029,24576000
1404128031,24576000
1404128033,24576000
1404128035,24576000
1404128037,24576000
1404128039,24576000
1404128041,24576000
1404128043,24576000
1404128045,24576000
1404128047,24576000
1404128049,24576000
1404128051,24576000
1404128053,24576000
1404128055,24576000
1404128057,24576000
1404128059,24576000
1404128062,24576000
1404128063,24576000
1404128065,24576000
1404128067,24576000
1404128069,24576000
1404128071,24576000
1404128073,24576000
1404128075,24576000
1404128077,24576000
1404128079,24576000
1404128082,24576000
1404128083,24576000
1404128085,24576000
1404128087,24576000
1404128089,24576000
1404128091,24576000
1404128093,24576000
1404128095,24576000
1404128097,24576000
1404128099,24576000
1404128102,24576000
1404128103,24576000
1404128105,24576000
1404128107,24576000
1404128109,24576000
1404128111,24576000
1404128113,24576000
1404128115,24576000
1404128117,24576000
1404128119,24576000
1404128122,24576000
1404128123,24576000
1404128125,24576000
1404128127,24576000
1404128129,24576000
1404128131,24576000
1404128133,24576000
1404128135,24576000
1404128137,24576000
1404128139,24576000
1404128141,24576000
1404128143,24576000
1404128145,24576000
1404128147,24576000
1404128149,24576000
1404128152,24576000
1404128153,24576000
1404128155,24576000
1404128158,24576000
1404128159,24576000
1404128161,24576000
1404128163,24576000
1404128165,24576000
1404128167,24576000
1404128169,24576000
1404128171,24576000
1404128173,24576000
1404128175,24576000
1404128177,24576000
