t,value
1404127273,490668032
1404127275,836698112
1404127277,1130299392
1404127279,1354170368
1404127281,1354170368
1404127283,1354170368
1404127285,1374093312
1404127287,1374093312
1404127290,1374093312
1404127291,1374093312
1404127294,1374093312
1404127295,1374093312
1404127297,1374093312
1404127299,1374093312
1404127301,1374093312
1404127304,1374093312
1404127305,1374093312
1404127307,1374093312
1404127309,1374093312
1404127311,1374093312
1404127313,1374093312
1404127315,1374093312
1404127317,1374093312
1404127319,1374093312
1404127321,1374093312
1404127323,1374093312
1404127325,1374093312
1404127327,1374093312
1404127329,1374093312
1404127331,1374093312
1404127333,1374093312
1404127335,1374093312
1404127337,1374093312
1404127339,1374093312
1404127341,1374093312
1404127343,1374093312
1404127345,1374093312
1404127347,1374093312
1404127349,1374093312
1404127351,1374093312
1404127353,1374093312
1404127356,1374093312
1404127357,1374093312
1404127359,1374093312
1404127361,1374093312
1404127363,1374093312
1404127365,1374093312
1404127367,1374093312
1404127369,1374093312
1404127371,1374093312
1404127373,1374093312
1404127375,1374093312
1404127377,1374093312
1404127379,1374093312
1404127381,1374093312
1404127383,1374093312
1404127386,1374093312
1404127387,1374093312
1404127390,1374093312
1404127391,1374093312
1404127394,1374093312
1404127395,1374093312
1404127397,1374093312
1404127399,1374093312
1404127401,1374093312
1404127403,1374093312
1404127406,1374093312
1404127407,1374093312
1404127409,1374093312
1404127411,1374093312
1404127413,1374093312
1404127415,1374093312
1404127417,1374093312
1404127419,1374093312
1404127421,1374093312
1404127423,1374093312
1404127425,1374093312
1404127427,1374093312
1404127429,1374093312
1404127431,1374093312
1404127433,1374093312
1404127435,1374093312
1404127437,1374093312
1404127440,1374093312
1404127441,1374093312
1404127443,1374093312
1404127445,1374093312
1404127447,1374093312
1404127449,1374093312
1404127451,1374093312
1404127454,1374093312
1404127455,1374093312
1404127457,1374093312
1404127459,1374093312
1404127461,1374093312
1404127464,1374093312
1404127465,1374093312
1404127467,1374093312
1404127469,1374093312
1404127471,1374093312
1404127474,1374093312
1404127475,1374093312
1404127477,1374093312
1404127479,1374093312
1404127481,1374093312
1404127483,1374093312
1404127485,1374093312
1404127487,1374093312
1404127489,1374093312
1404127491,1374093312
1404127493,1374093312
1404127495,1374093312
1404127497,1374093312
1404127499,1374093312
1404127501,1374093312
1404127503,1374093312
1404127505,1374093312
1404127507,1374093312
1404127509,1374093312
1404127511,1374093312
1404127513,1374093312
1404127515,1374093312
1404127517,1374093312
1404127519,1374093312
1404127521,1374093312
1404127523,1374093312
1404127525,1374093312
1404127527,1374093312
1404127529,1374093312
1404127531,1374093312
1404127533,1374093312
1404127535,1374093312
1404127537,1374093312
1404127539,1374093312
1404127541,1374093312
1404127543,1374093312
1404127545,1374093312
1404127548,1374093312
1404127549,1374093312
1404127551,1374093312
1404127553,1374093312
1404127555,1374093312
1404127557,1374093312
1404127560,1374093312
1404127561,1374093312
1404127563,1374093312
1404127565,1374093312
1404127567,1374093312
1404127569,1374093312
1404127571,1374093312
1404127573,1374093312
1404127575,1374093312
1404127577,1374093312
1404127579,1374093312
1404127581,1374093312
1404127583,1374093312
1404127585,1374093312
1404127587,1374093312
1404127589,1374093312
1404127591,1374093312
1404127593,1374093312
1404127595,1374093312
1404127597,1374093312
1404127599,1374093312
1404127601,1374093312
1404127603,1374093312
1404127605,1374093312
1404127607,1374093312
1404127609,1374093312
1404127611,1374093312
1404127613,1374093312
1404127615,1374093312
1404127617,1374093312
1404127619,1374093312
1404127621,1374093312
1404127623,1374093312
1404127625,1374093312
1404127627,1374093312
1404127629,1374093312
1404127631,1374093312
1404127633,1374093312
1404127635,1374093312
1404127638,1374093312
1404127639,1374093312
1404127641,1374093312
1404127643,1374093312
1404127645,1374093312
1404127647,1374093312
1404127649,1374093312
1404127652,1374093312
1404127653,1374093312
1404127655,1374093312
1404127657,1374093312
1404127659,1374093312
1404127661,1374093312
1404127663,1374093312
1404127665,1374093312
1404127667,1374093312
1404127669,1374093312
1404127671,1374093312
1404127673,1374093312
1404127675,1374093312
1404127677,1374093312
1404127679,1374093312
1404127681,1374093312
1404127683,1374093312
1404127685,1374093312
1404127687,1374093312
1404127690,1374093312
1404127691,1374093312
1404127693,1374093312
1404127695,1374093312
1404127697,1374093312
1404127699,1374093312
1404127701,1374093312
1404127703,1374093312
1404127705,1374093312
1404127707,1374093312
1404127709,1374093312
1404127711,1374093312
1404127713,1374093312
1404127715,1374093312
1404127717,1374093312
1404127720,1374093312
1404127721,1374093312
1404127723,1374093312
1404127725,1374093312
1404127727,1374093312
1404127729,1374093312
1404127731,1374093312
1404127733,1374093312
1404127735,1374093312
1404127737,1374093312
1404127739,1374093312
1404127741,1374093312
1404127743,1374093312
1404127745,1374093312
1404127747,1374093312
1404127749,1374093312
1404127751,1374093312
1404127753,1374093312
1404127755,1374093312
1404127757,1374093312
1404127759,1374093312
1404127762,1374093312
1404127763,1374093312
1404127765,1374093312
1404127767,1374093312
1404127769,1374093312
1404127771,1374093312
1404127773,1374093312
1404127775,1374093312
1404127777,1374093312
1404127779,1374093312
1404127781,1374093312
1404127783,1374093312
1404127785,1374093312
1404127787,1374093312
1404127789,1374093312
1404127791,1374093312
1404127793,1374093312
1404127795,1374093312
1404127797,1374093312
1404127799,1374093312
1404127801,1374093312
1404127803,1374093312
1404127805,1374093312
1404127807,1374093312
1404127810,1374093312
1404127811,1374093312
1404127813,1374093312
1404127815,1374093312
1404127818,1374093312
1404127819,1374093312
1404127821,1374093312
1404127823,1374093312
1404127825,1374093312
1404127827,1374093312
1404127829,1374093312
1404127831,1374093312
1404127833,1374093312
1404127835,1374093312
1404127837,1374093312
1404127839,1374093312
1404127841,1374093312
1404127843,1374093312
1404127845,1374093312
1404127847,1374093312
1404127849,1374093312
1404127851,1374093312
1404127853,1374093312
1404127855,1374093312
1404127857,1374093312
1404127859,1374093312
1404127861,1374093312
1404127863,1374093312
1404127865,1374093312
1404127867,1374093312
1404127870,1374093312
1404127871,1374093312
1404127873,1374093312
1404127875,1374093312
1404127877,1374093312
1404127879,1374093312
1404127881,1374093312
1404127883,1374093312
1404127885,1374093312
1404127887,1374093312
1404127889,1374093312
1404127891,1374093312
1404127893,1374093312
1404127895,1374093312
1404127898,1374093312
1404127899,1374093312
1404127901,1374093312
1404127904,1374093312
1404127905,1374093312
1404127907,1374093312
1404127909,1374093312
1404127911,1374093312
1404127913,1374093312
1404127915,1374093312
1404127918,1374093312
1404127919,1374093312
1404127921,1374093312
1404127923,1374093312
1404127925,1374093312
1404127927,1374093312
1404127929,1374093312
1404127931,1374093312
1404127933,1374093312
1404127935,1374093312
1404127937,1374093312
1404127939,1374093312
1404127941,1374093312
1404127943,1374093312
1404127945,1374093312
1404127947,1374093312
1404127949,1374093312
1404127952,1374093312
1404127953,1374093312
1404127955,1374093312
1404127957,1374093312
1404127959,1374093312
1404127961,1374093312
1404127963,1374093312
1404127965,1374093312
1404127967,1374093312
1404127969,1374093312
1404127971,1374093312
1404127973,1374093312
1404127975,1374093312
1404127977,1374093312
1404127979,1374093312
1404127981,1374093312
1404127983,1374093312
1404127985,1374093312
1404127987,1374093312
1404127989,1374093312
1404127991,1374093312
1404127993,1374093312
1404127995,1374093312
1404127997,1374093312
1404127999,1374093312
1404128002,1374093312
1404128003,1374093312
1404128005,1374093312
1404128007,1374093312
1404128009,1374093312
1404128011,1374093312
1404128013,1374093312
1404128015,1374093312
1404128017,1374093312
1404128019,1374093312
1404128022,1374093312
1404128023,1374093312
1404128025,1374093312
1404128028,1374093312
1404128029,1374093312
1404128031,1374093312
1404128033,1374093312
1404128035,1374093312
1404128037,1374093312
1404128039,1374093312
1404128041,1374093312
1404128043,1374093312
1404128045,1374093312
1404128047,1374093312
1404128049,1374093312
1404128051,1374093312
1404128053,1374093312
1404128055,1374093312
1404128057,1374093312
1404128059,1374093312
