t,value
1404127273,120555072
1404127275,120555072
1404127277,120555072
1404127279,120555072
1404127281,120555072
1404127283,120555072
1404127285,120555072
1404127287,120555072
1404127290,120555072
1404127291,120555072
1404127294,120555072
1404127295,120555072
1404127297,120555072
1404127299,120555072
1404127301,120555072
1404127304,120555072
1404127305,120555072
1404127307,120555072
1404127309,120555072
1404127311,120555072
1404127313,120555072
1404127315,120555072
1404127317,120555072
1404127319,120555072
1404127321,120555072
1404127323,120555072
1404127325,120555072
1404127327,120555072
1404127329,120555072
1404127331,120555072
1404127333,120555072
1404127335,120555072
1404127337,120555072
1404127339,120555072
1404127341,120555072
1404127343,120555072
1404127345,120555072
1404127347,120555072
1404127349,120555072
1404127351,120555072
1404127353,120555072
1404127356,120555072
1404127357,120555072
1404127359,120555072
1404127361,120555072
1404127363,120555072
1404127365,120555072
1404127367,120555072
1404127369,120555072
1404127371,120555072
1404127373,120555072
1404127375,120555072
1404127377,120555072
1404127379,120555072
1404127381,120555072
1404127383,120555072
1404127386,120555072
1404127387,120555072
1404127390,120555072
1404127391,120555072
1404127394,120555072
1404127395,120555072
1404127397,120555072
1404127399,120555072
1404127401,120555072
1404127403,120555072
1404127406,120555072
1404127407,120555072
1404127409,120555072
1404127411,120555072
1404127413,120555072
1404127415,120555072
1404127417,120555072
1404127419,120555072
1404127421,120555072
1404127423,120555072
1404127425,120555072
1404127427,120555072
1404127429,120555072
1404127431,120555072
1404127433,120555072
1404127435,120555072
1404127437,120555072
1404127440,120555072
1404127441,120555072
1404127443,120555072
1404127445,120555072
1404127447,120555072
1404127449,120555072
1404127451,120555072
1404127454,120555072
1404127455,120555072
1404127457,120555072
1404127459,120555072
1404127461,120555072
1404127464,120555072
1404127465,120555072
1404127467,120555072
1404127469,120555072
1404127471,120555072
1404127474,120555072
1404127475,120555072
1404127477,120555072
1404127479,120555072
1404127481,120555072
1404127483,120555072
1404127485,120555072
1404127487,120555072
1404127489,120555072
1404127491,120555072
1404127493,120555072
1404127495,120555072
1404127497,120555072
1404127499,120555072
1404127501,120555072
1404127503,120555072
1404127505,120555072
1404127507,120555072
1404127509,120555072
1404127511,120555072
1404127513,120555072
1404127515,120555072
1404127517,120555072
1404127519,120555072
1404127521,120555072
1404127523,120555072
1404127525,120555072
1404127527,120555072
1404127529,120555072
1404127531,120555072
1404127533,120555072
1404127535,120555072
1404127537,120555072
1404127539,120555072
1404127541,120555072
1404127543,120555072
1404127545,120555072
1404127548,120555072
1404127549,120555072
1404127551,120555072
1404127553,120555072
1404127555,120555072
1404127557,120555072
1404127560,120555072
1404127561,120555072
1404127563,120555072
1404127565,120555072
1404127567,120555072
1404127569,120555072
1404127571,120555072
1404127573,120555072
1404127575,120555072
1404127577,120555072
1404127579,120555072
1404127581,120555072
1404127583,120555072
1404127585,120555072
1404127587,120555072
1404127589,120555072
1404127591,120555072
1404127593,120555072
1404127595,120555072
1404127597,120555072
1404127599,120555072
1404127601,120555072
1404127603,120555072
1404127605,120555072
1404127607,120555072
1404127609,120555072
1404127611,120555072
1404127613,120555072
1404127615,120555072
1404127617,120555072
1404127619,120555072
1404127621,120555072
1404127623,120555072
1404127625,120555072
1404127627,120555072
1404127629,120555072
1404127631,120555072
1404127633,120555072
1404127635,120555072
1404127638,120555072
1404127639,120555072
1404127641,120555072
1404127643,120555072
1404127645,120555072
1404127647,120555072
1404127649,120555072
1404127652,120555072
1404127653,120555072
1404127655,120555072
1404127657,120555072
1404127659,120555072
1404127661,120555072
1404127663,120555072
1404127665,120555072
1404127667,120555072
1404127669,120555072
1404127671,120555072
1404127673,120555072
1404127675,120555072
1404127677,120555072
1404127679,120555072
1404127681,120555072
1404127683,120555072
1404127685,120555072
1404127687,120555072
1404127690,120555072
1404127691,120555072
1404127693,120555072
1404127695,120555072
1404127697,120555072
1404127699,120555072
1404127701,120555072
1404127703,120555072
1404127705,120555072
1404127707,120555072
1404127709,120555072
1404127711,120555072
1404127713,120555072
1404127715,120555072
1404127717,120555072
1404127720,120555072
1404127721,120555072
1404127723,120555072
1404127725,120555072
1404127727,120555072
1404127729,120555072
1404127731,120555072
1404127733,120555072
1404127735,120555072
1404127737,120555072
1404127739,120555072
1404127741,120555072
1404127743,120555072
1404127745,120555072
1404127747,120555072
1404127749,120555072
1404127751,120555072
1404127753,120555072
1404127755,120555072
1404127757,120555072
1404127759,120555072
1404127762,120555072
1404127763,120555072
1404127765,120555072
1404127767,120555072
1404127769,120555072
1404127771,120555072
1404127773,120555072
1404127775,120555072
1404127777,120555072
1404127779,120555072
1404127781,120555072
1404127783,120555072
1404127785,120555072
1404127787,120555072
1404127789,120555072
1404127791,120555072
1404127793,120555072
1404127795,120555072
1404127797,120555072
1404127799,120555072
1404127801,120555072
1404127803,120555072
1404127805,120555072
1404127807,120555072
1404127810,120555072
1404127811,120555072
1404127813,120555072
1404127815,120555072
1404127818,120555072
1404127819,120555072
1404127821,120555072
1404127823,120555072
1404127825,120555072
1404127827,120555072
1404127829,120555072
1404127831,120555072
1404127833,120555072
1404127835,120555072
1404127837,120555072
1404127839,120555072
1404127841,120555072
1404127843,120555072
1404127845,120555072
1404127847,120555072
1404127849,120555072
1404127851,120555072
1404127853,120555072
1404127855,120555072
1404127857,120555072
1404127859,120555072
1404127861,120555072
1404127863,120555072
1404127865,120555072
1404127867,120555072
1404127870,120555072
1404127871,120555072
1404127873,120555072
1404127875,120555072
1404127877,120555072
1404127879,120555072
1404127881,120555072
1404127883,120555072
1404127885,120555072
1404127887,120555072
1404127889,120555072
1404127891,120555072
1404127893,120555072
1404127895,120555072
1404127898,120555072
1404127899,120555072
1404127901,120555072
1404127904,120555072
1404127905,120555072
1404127907,120555072
1404127909,120555072
1404127911,120555072
1404127913,120555072
1404127915,120555072
1404127918,120555072
1404127919,120555072
1404127921,120555072
1404127923,120555072
1404127925,120555072
1404127927,120555072
1404127929,120555072
1404127931,120555072
1404127933,120555072
1404127935,120555072
1404127937,120555072
1404127939,120555072
1404127941,120555072
1404127943,120555072
1404127945,120555072
1404127947,120555072
1404127949,120555072
1404127952,120555072
1404127953,120555072
1404127955,120555072
1404127957,120555072
1404127959,120555072
1404127961,120555072
1404127963,120555072
1404127965,120555072
1404127967,120555072
1404127969,120555072
1404127971,120555072
1404127973,120555072
1404127975,120555072
1404127977,120555072
1404127979,120555072
1404127981,120555072
1404127983,120555072
1404127985,120555072
1404127987,120555072
1404127989,120555072
1404127991,120555072
1404127993,120555072
1404127995,120555072
1404127997,120555072
1404127999,120555072
1404128002,120555072
1404128003,120555072
1404128005,120555072
1404128007,120555072
1404128009,120555072
1404128011,120555072
1404128013,120555072
1404128015,120555072
1404128017,120555072
1404128019,120555072
1404128022,120555072
1404128023,120555072
1404128025,120555072
1404128028,120555072
1404128029,120555072
1404128031,120555072
1404128033,120555072
1404128035,120555072
1404128037,120555072
1404128039,120555072
1404128041,120555072
1404128043,120555072
1404128045,120555072
1404128047,120555072
1404128049,120555072
1404128051,120555072
1404128053,120555072
1404128055,120555072
1404128057,120555072
1404128059,120555072
1404128062,120555072
1404128063,120555072
1404128065,120555072
1404128067,120555072
1404128069,120555072
1404128071,120555072
1404128073,120555072
1404128075,120555072
1404128077,120555072
1404128079,120555072
1404128082,120555072
1404128083,120555072
1404128085,120555072
1404128087,120555072
1404128089,120555072
1404128091,120555072
1404128093,120555072
1404128095,120555072
1404128097,120555072
1404128099,120555072
1404128102,120555072
1404128103,120555072
1404128105,120555072
1404128107,120555072
1404128109,120555072
1404128111,120555072
1404128113,120555072
1404128115,120555072
1404128117,120555072
1404128119,120555072
1404128122,120555072
1404128123,120555072
1404128125,120555072
1404128127,120555072
1404128129,120555072
1404128131,120555072
1404128133,120555072
1404128135,120555072
1404128137,120555072
1404128139,120555072
1404128141,120555072
1404128143,120555072
1404128145,120555072
1404128147,120555072
1404128149,120555072
1404128152,120555072
1404128153,120555072
1404128155,120555072
1404128158,120555072
1404128159,120555072
1404128161,120555072
1404128163,120555072
1404128165,120555072
1404128167,120555072
1404128169,120555072
1404128171,120555072
1404128173,120555072
1404128175,120555072
1404128177,120555072
1404128179,120555072
1404128181,120555072
1404128183,120555072
1404128185,120555072
1404128187,120555072
1404128189,120555072
1404128192,120555072
1404128193,120555072
1404128195,120555072
1404128197,120555072
1404128199,120555072
1404128201,120555072
1404128203,120555072
1404128205,120555072
1404128207,120555072
1404128209,120555072
1404128212,120555072
1404128213,120555072
1404128215,120555072
1404128217,120555072
1404128219,120555072
1404128221,120555072
1404128223,120555072
1404128225,120555072
1404128227,120555072
1404128229,120555072
1404128231,120555072
1404128233,120555072
1404128235,120555072
1404128237,120555072
1404128239,120555072
1404128241,120555072
1404128244,120555072
1404128245,120555072
1404128247,120555072
1404128249,120555072
1404128251,120555072
1404128253,120555072
1404128255,120555072
1404128257,120555072
1404128259,120555072
1404128261,120555072
1404128263,120555072
1404128265,120555072
1404128267,120555072
1404128269,120555072
1404128272,120555072
1404128273,120555072
1404128275,120555072
1404128277,120555072
1404128279,120555072
1404128281,120555072
1404128283,120555072
1404128285,120555072
1404128287,120555072
1404128289,120555072
1404128291,120555072
1404128293,120555072
1404128295,120555072
1404128297,120555072
1404128299,120555072
1404128301,120555072
