t,value
1404127273,1590689792
1404127275,1590689792
1404127277,1590689792
1404127279,1590689792
1404127281,1590689792
1404127283,1590689792
1404127285,1590689792
1404127287,1590689792
1404127290,1590689792
1404127291,1590689792
1404127294,1590689792
1404127295,1590689792
1404127297,1590689792
1404127299,1590689792
1404127301,1590689792
1404127304,1590689792
1404127305,1590689792
1404127307,1590689792
1404127309,1590689792
1404127311,1590689792
1404127313,1590689792
1404127315,1590689792
1404127317,1590689792
1404127319,1590689792
1404127321,1590689792
1404127323,1590689792
1404127325,1590689792
1404127327,1590689792
1404127329,1590689792
1404127331,1590689792
1404127333,1590689792
1404127335,1590689792
1404127337,1590689792
1404127339,1590689792
1404127341,1590689792
1404127343,1590689792
1404127345,1590689792
1404127347,1590689792
1404127349,1590689792
1404127351,1590689792
1404127353,1590689792
1404127356,1590689792
1404127357,1590689792
1404127359,1590689792
1404127361,1590689792
1404127363,1590689792
1404127365,1590689792
1404127367,1590689792
1404127369,1590689792
1404127371,1590689792
1404127373,1590689792
1404127375,1590689792
1404127377,1590689792
1404127379,1590689792
1404127381,1590689792
1404127383,1590689792
1404127386,1590689792
1404127387,1590689792
1404127390,1590689792
1404127391,1590689792
1404127394,1590689792
1404127395,1590689792
1404127397,1590689792
1404127399,1590689792
1404127401,1590689792
1404127403,1590689792
1404127406,1590689792
1404127407,1590689792
1404127409,1590689792
1404127411,1590689792
1404127413,1590689792
1404127415,1590689792
1404127417,1590689792
1404127419,1590689792
1404127421,1590689792
1404127423,1590689792
1404127425,1590689792
1404127427,1590689792
1404127429,1590689792
1404127431,1590689792
1404127433,1590689792
1404127435,1590689792
1404127437,1590689792
1404127440,1590689792
1404127441,1590689792
1404127443,1590689792
1404127445,1590689792
1404127447,1590689792
1404127449,1590689792
1404127451,1590689792
1404127454,1590689792
1404127455,1590689792
1404127457,1590689792
1404127459,1590689792
1404127461,1590689792
1404127464,1590689792
1404127465,1590689792
1404127467,1590689792
1404127469,1590689792
1404127471,1590689792
1404127474,1590689792
1404127475,1590689792
1404127477,1590689792
1404127479,1590689792
1404127481,1590689792
1404127483,1590689792
1404127485,1590689792
1404127487,1590689792
1404127489,1590689792
1404127491,1590689792
1404127493,1590689792
1404127495,1590689792
1404127497,1590689792
1404127499,1590689792
1404127501,1590689792
1404127503,1590689792
1404127505,1590689792
1404127507,1590689792
1404127509,1590689792
1404127511,1590689792
1404127513,1590689792
1404127515,1590689792
1404127517,1590689792
1404127519,1590689792
1404127521,1590689792
1404127523,1590689792
1404127525,1590689792
1404127527,1590689792
1404127529,1590689792
1404127531,1590689792
1404127533,1590689792
1404127535,1590689792
1404127537,1590689792
1404127539,1590689792
1404127541,1590689792
1404127543,1590689792
1404127545,1590689792
1404127548,1590689792
1404127549,1590689792
1404127551,1590689792
1404127553,1590689792
1404127555,1590689792
1404127557,1590689792
1404127560,1590689792
1404127561,1590689792
1404127563,1590689792
1404127565,1590689792
1404127567,1590689792
1404127569,1590689792
1404127571,1590689792
1404127573,1590689792
1404127575,1590689792
1404127577,1590689792
1404127579,1590689792
1404127581,1590689792
1404127583,1590689792
1404127585,1590689792
1404127587,1590689792
1404127589,1590689792
1404127591,1590689792
1404127593,1590689792
1404127595,1590689792
1404127597,1590689792
1404127599,1590689792
1404127601,1590689792
1404127603,1590689792
1404127605,1590689792
1404127607,1590689792
1404127609,1590689792
1404127611,1590689792
1404127613,1590689792
1404127615,1590689792
1404127617,1590689792
1404127619,1590689792
1404127621,1590689792
1404127623,1590689792
1404127625,1590689792
1404127627,1590689792
1404127629,1590689792
1404127631,1590689792
1404127633,1590689792
1404127635,1590689792
1404127638,1590689792
1404127639,1590689792
1404127641,1590689792
1404127643,1590689792
1404127645,1590689792
1404127647,1590689792
1404127649,1590689792
1404127652,1590689792
1404127653,1590689792
1404127655,1590689792
1404127657,1590689792
1404127659,1590689792
1404127661,1590689792
1404127663,1590689792
1404127665,1590689792
1404127667,1590689792
1404127669,1590689792
1404127671,1590689792
1404127673,1590689792
1404127675,1590689792
1404127677,1590689792
1404127679,1590689792
1404127681,1590689792
1404127683,1590689792
1404127685,1590689792
1404127687,1590689792
1404127690,1590689792
1404127691,1590689792
