t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1404127281,7,0.004379,0.001540,0.000681,0.001380,0.000914,0.002346,0.004379,0.004379,0.004379,0.004379,7.892200,0.000000,0.000000,0.000000,calls/second,milliseconds
1404127283,17,0.004379,0.001523,0.000681,0.000877,0.001613,0.001709,0.004379,0.004379,0.004379,0.004379,3.496897,0.000000,0.000000,0.000000,calls/second,milliseconds
1404127285,20,0.004379,0.001432,0.000681,0.000836,0.001271,0.001697,0.004277,0.004379,0.004379,0.004379,4.097817,0.000000,0.000000,0.000000,calls/second,milliseconds
1404127287,34,0.004379,0.001368,0.000468,0.000718,0.001493,0.001714,0.002854,0.004379,0.004379,0.004379,4.939730,4.800000,4.800000,4.800000,calls/second,milliseconds
1404127290,42,0.004379,0.001410,0.000468,0.000652,0.001513,0.001708,0.002263,0.004379,0.004379,0.004379,4.154340,4.704053,4.780166,4.793352,calls/second,milliseconds
1404127291,53,0.004379,0.001293,0.000468,0.000636,0.001413,0.001682,0.001957,0.004216,0.004379,0.004379,4.874205,4.704053,4.780166,4.793352,calls/second,milliseconds
1404127294,70,0.004379,0.001278,0.000410,0.000604,0.001400,0.001662,0.001908,0.003525,0.004379,0.004379,4.946061,4.704053,4.780166,4.793352,calls/second,milliseconds
1404127295,73,0.004379,0.001307,0.000410,0.000609,0.001420,0.001678,0.002076,0.003403,0.004379,0.004379,4.906128,4.704053,4.780166,4.793352,calls/second,milliseconds
1404127297,84,0.004379,0.001391,0.000410,0.000612,0.001498,0.001745,0.002126,0.002956,0.004379,0.004379,4.586175,4.839654,4.806939,4.802253,calls/second,milliseconds
1404127299,92,0.004379,0.001377,0.000410,0.000609,0.001480,0.001745,0.002118,0.002631,0.004379,0.004379,4.873574,4.839654,4.806939,4.802253,calls/second,milliseconds
1404127301,102,0.004379,0.001422,0.000410,0.000609,0.001512,0.001818,0.002133,0.002341,0.004318,0.004379,4.884408,4.836483,4.806825,4.802240,calls/second,milliseconds
