t,count
1404127281,6
1404127283,17
1404127285,17
1404127287,34
1404127290,42
1404127291,53
1404127294,62
1404127295,73
1404127297,83
1404127299,92
1404127301,102
1404127304,112
1404127305,122
1404127307,132
1404127309,141
1404127311,151
1404127313,160
1404127315,170
1404127317,182
1404127319,190
1404127321,200
1404127323,209
1404127325,219
1404127327,228
1404127329,238
1404127331,247
1404127333,257
1404127335,267
1404127337,277
1404127339,286
1404127341,296
1404127343,305
1404127345,315
1404127347,324
1404127349,334
1404127351,343
1404127353,353
1404127356,360
1404127357,372
1404127359,382
1404127361,391
1404127363,401
1404127365,410
1404127367,420
1404127369,429
1404127371,439
1404127373,448
1404127375,458
1404127377,462
1404127379,477
1404127381,480
1404127383,497
1404127386,503
1404127387,517
1404127390,527
1404127391,537
1404127394,545
1404127395,556
1404127397,566
1404127399,575
1404127401,585
1404127403,594
1404127406,604
1404127407,613
1404127409,623
1404127411,632
1404127413,642
1404127415,651
1404127417,661
1404127419,670
1404127421,680
1404127423,689
1404127425,698
1404127427,709
1404127429,718
1404127431,728
1404127433,737
1404127435,747
1404127437,756
1404127440,763
1404127441,776
1404127443,785
1404127445,795
1404127447,804
1404127449,814
1404127451,823
1404127454,830
1404127455,842
1404127457,851
1404127459,861
1404127461,870
1404127464,880
1404127465,890
1404127467,891
1404127469,906
1404127471,915
1404127474,924
1404127475,935
1404127477,944
1404127479,954
1404127481,963
1404127483,973
1404127485,982
1404127487,991
1404127489,1001
1404127491,1010
1404127493,1020
1404127495,1030
1404127497,1039
1404127499,1042
1404127501,1058
1404127503,1067
1404127505,1070
1404127507,1087
1404127509,1096
1404127511,1105
1404127513,1115
1404127515,1124
1404127517,1134
1404127519,1144
1404127521,1153
1404127523,1159
1404127525,1173
1404127527,1182
1404127529,1192
1404127531,1202
1404127533,1211
1404127535,1221
1404127537,1231
1404127539,1240
1404127541,1245
1404127543,1260
1404127545,1269
1404127548,1276
1404127549,1289
1404127551,1298
1404127553,1302
1404127555,1318
1404127557,1327
1404127560,1333
1404127561,1346
1404127563,1355
1404127565,1365
1404127567,1375
1404127569,1384
1404127571,1393
1404127573,1403
1404127575,1412
1404127577,1421
1404127579,1431
1404127581,1440
1404127583,1449
1404127585,1459
1404127587,1468
1404127589,1477
1404127591,1487
1404127593,1496
1404127595,1505
1404127597,1515
1404127599,1524
1404127601,1533
1404127603,1543
1404127605,1552
1404127607,1561
1404127609,1571
1404127611,1580
1404127613,1589
1404127615,1594
1404127617,1609
1404127619,1618
1404127621,1622
1404127623,1633
1404127625,1648
1404127627,1657
1404127629,1667
1404127631,1677
1404127633,1686
1404127635,1696
1404127638,1700
1404127639,1715
1404127641,1724
1404127643,1733
1404127645,1743
1404127647,1752
1404127649,1761
1404127652,1770
1404127653,1781
1404127655,1790
1404127657,1794
1404127659,1810
1404127661,1819
1404127663,1823
1404127665,1839
1404127667,1848
1404127669,1857
1404127671,1867
1404127673,1876
1404127675,1885
1404127677,1895
1404127679,1904
1404127681,1913
1404127683,1923
1404127685,1932
1404127687,1941
1404127690,1950
1404127691,1960
1404127693,1969
1404127695,1980
1404127697,1989
1404127699,1998
1404127701,2002
1404127703,2018
1404127705,2027
1404127707,2036
1404127709,2046
1404127711,2055
1404127713,2065
1404127715,2070
1404127717,2070
1404127720,2091
1404127721,2104
1404127723,2113
1404127725,2116
1404127727,2132
1404127729,2141
1404127731,2150
1404127733,2160
1404127735,2169
1404127737,2178
1404127739,2188
