t,count,max,mean,min,stddev,p50,p75,p95,p98,p99,p999,mean_rate,m1_rate,m5_rate,m15_rate,rate_unit,duration_unit
1404127281,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,1.984135,0.000000,0.000000,0.000000,calls/second,milliseconds
1404127283,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.223301,0.000000,0.000000,0.000000,calls/second,milliseconds
1404127285,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.222352,0.000000,0.000000,0.000000,calls/second,milliseconds
1404127287,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.153859,0.200000,0.200000,0.200000,calls/second,milliseconds
1404127290,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.102812,0.200000,0.200000,0.200000,calls/second,milliseconds
1404127291,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.095317,0.184009,0.196694,0.198892,calls/second,milliseconds
1404127294,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.072625,0.184009,0.196694,0.198892,calls/second,milliseconds
1404127295,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.068985,0.184009,0.196694,0.198892,calls/second,milliseconds
1404127297,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.055765,0.169296,0.193443,0.197790,calls/second,milliseconds
1404127299,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.054073,0.169296,0.193443,0.197790,calls/second,milliseconds
1404127301,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.048780,0.155760,0.190246,0.196694,calls/second,milliseconds
1404127304,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.041992,0.155760,0.190246,0.196694,calls/second,milliseconds
1404127305,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.040829,0.155760,0.190246,0.196694,calls/second,milliseconds
1404127307,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.035788,0.143306,0.187101,0.195605,calls/second,milliseconds
1404127309,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.035101,0.143306,0.187101,0.195605,calls/second,milliseconds
1404127311,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.031297,0.131848,0.184009,0.194521,calls/second,milliseconds
1404127313,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.030777,0.131848,0.184009,0.194521,calls/second,milliseconds
1404127315,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.028991,0.131848,0.184009,0.194521,calls/second,milliseconds
1404127317,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.027003,0.121306,0.180967,0.193443,calls/second,milliseconds
1404127319,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.025980,0.121306,0.180967,0.193443,calls/second,milliseconds
1404127321,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.023840,0.111607,0.177976,0.192372,calls/second,milliseconds
1404127323,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.023522,0.111607,0.177976,0.192372,calls/second,milliseconds
1404127325,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.021768,0.102683,0.175035,0.191306,calls/second,milliseconds
1404127327,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.021511,0.102683,0.175035,0.191306,calls/second,milliseconds
1404127329,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.020025,0.102683,0.175035,0.191306,calls/second,milliseconds
1404127331,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.019806,0.094473,0.172142,0.190246,calls/second,milliseconds
1404127333,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.019051,0.094473,0.172142,0.190246,calls/second,milliseconds
1404127335,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.018351,0.094473,0.172142,0.190246,calls/second,milliseconds
1404127337,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.017267,0.086920,0.169296,0.189192,calls/second,milliseconds
1404127339,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.017098,0.086920,0.169296,0.189192,calls/second,milliseconds
1404127341,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.016149,0.079970,0.166498,0.188144,calls/second,milliseconds
1404127343,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.016002,0.079970,0.166498,0.188144,calls/second,milliseconds
1404127345,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.015169,0.073576,0.163746,0.187101,calls/second,milliseconds
1404127347,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.015040,0.073576,0.163746,0.187101,calls/second,milliseconds
1404127349,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.014301,0.073576,0.163746,0.187101,calls/second,milliseconds
1404127351,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.014187,0.067693,0.161040,0.186065,calls/second,milliseconds
1404127353,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.013795,0.067693,0.161040,0.186065,calls/second,milliseconds
1404127356,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.013305,0.062281,0.158378,0.185034,calls/second,milliseconds
1404127357,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.013074,0.062281,0.158378,0.185034,calls/second,milliseconds
1404127359,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.012512,0.062281,0.158378,0.185034,calls/second,milliseconds
1404127361,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.012424,0.057301,0.155760,0.184009,calls/second,milliseconds
1404127363,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.011916,0.057301,0.155760,0.184009,calls/second,milliseconds
1404127365,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.011836,0.057301,0.155760,0.184009,calls/second,milliseconds
1404127367,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.011373,0.052719,0.153186,0.182989,calls/second,milliseconds
1404127369,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.011300,0.052719,0.153186,0.182989,calls/second,milliseconds
1404127371,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.010877,0.048504,0.150654,0.181976,calls/second,milliseconds
1404127373,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.010812,0.048504,0.150654,0.181976,calls/second,milliseconds
1404127375,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.010583,0.048504,0.150654,0.181976,calls/second,milliseconds
1404127377,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.010333,0.044626,0.148164,0.180967,calls/second,milliseconds
1404127379,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.010153,0.044626,0.148164,0.180967,calls/second,milliseconds
1404127381,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.009940,0.041058,0.145715,0.179965,calls/second,milliseconds
1404127383,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.009755,0.041058,0.145715,0.179965,calls/second,milliseconds
1404127386,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.009503,0.037775,0.143306,0.178968,calls/second,milliseconds
1404127387,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.009391,0.037775,0.143306,0.178968,calls/second,milliseconds
1404127390,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.009102,0.037775,0.143306,0.178968,calls/second,milliseconds
1404127391,1,0.159871,0.159871,0.159871,0.000000,0.159871,0.159871,0.159871,0.159871,0.159871,0.159871,0.009051,0.034755,0.140938,0.177976,calls/second,milliseconds
