timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1404127281,6,1273,0.009172,1413,0.013581,0.019660,0.025988,1648
1404127282,,,,,,,,743
1404127283,17,2704,0.006674,2704,0.013797,0.018397,0.035746,316
1404127285,17,2709,0.006250,3120,0.013807,0.018386,0.035746,2115
1404127286,,,,,,,,611
1404127287,34,5878,0.004200,5878,0.005732,0.013996,0.019759,1228
1404127288,,,,,,,,815
1404127289,,,,,,,,16
1404127290,42,7815,0.003729,8201,0.005165,0.010961,0.019701,2382
1404127291,53,10736,0.003185,10736,0.004735,0.009735,0.019399,1784
1404127292,,,,,,,,848
1404127293,,,,,,,,301
1404127294,63,13203,0.002558,14442,0.004414,0.008232,0.018923,1825
1404127295,73,14794,0.002516,14794,0.004327,0.007869,0.018843,567
1404127296,,,,,,,,567
1404127297,83,16023,0.002416,16098,0.004217,0.006990,0.018843,273
1404127298,,,,,,,,1117
1404127299,92,17381,0.002270,17381,0.004167,0.006856,0.018744,791
1404127300,,,,,,,,981
1404127301,102,19089,0.002182,19089,0.003640,0.006825,0.018744,1355
1404127302,,,,,,,,774
1404127303,,,,,,,,209
1404127304,112,21568,0.002004,22793,0.003723,0.005882,0.018865,2206
1404127305,122,23623,0.001975,23623,0.003715,0.005743,0.018868,1094
1404127306,,,,,,,,1281
1404127307,132,26332,0.001838,26977,0.003290,0.005496,0.016669,511
1404127308,,,,,,,,1303
1404127309,141,27963,0.001796,27963,0.003250,0.005426,0.015280,934
1404127310,,,,,,,,949
1404127311,151,29777,0.001837,29777,0.003547,0.005177,0.016669,263
1404127312,,,,,,,,1965
1404127313,160,32092,0.001783,32092,0.003672,0.005107,0.018218,1050
1404127314,,,,,,,,751
1404127315,170,34041,0.001786,34041,0.003643,0.005072,0.016669,745
1404127316,,,,,,,,538
1404127317,182,36539,0.001750,36594,0.003653,0.004983,0.016669,1774
1404127318,,,,,,,,938
1404127319,190,38065,0.001743,38065,0.003784,0.004816,0.015830,1153
1404127320,,,,,,,,379
1404127321,200,39866,0.001700,39956,0.003725,0.004721,0.012457,806
1404127322,,,,,,,,1036
1404127323,209,41192,0.001691,41192,0.003737,0.004721,0.013857,610
1404127324,,,,,,,,705
1404127325,219,43907,0.001537,44172,0.003181,0.004411,0.011400,1694
1404127326,,,,,,,,1059
1404127327,228,45310,0.001507,45310,0.003169,0.004206,0.011400,2553
1404127328,,,,,,,,1694
1404127329,238,49602,0.001369,50065,0.002777,0.004097,0.009770,393
1404127330,,,,,,,,1026
1404127331,247,50880,0.001340,50880,0.002739,0.004053,0.009620,673
1404127332,,,,,,,,752
1404127333,257,52563,0.001377,52563,0.003072,0.004053,0.009680,712
1404127335,267,54782,0.001337,54782,0.003133,0.003971,0.009770,4302
1404127336,,,,,,,,957
1404127337,277,58446,0.001282,58553,0.003095,0.003725,0.009486,429
1404127338,,,,,,,,2496
1404127339,286,61298,0.001271,61298,0.003201,0.003567,0.009770,1109
1404127340,,,,,,,,979
1404127341,296,63233,0.001314,63282,0.003495,0.003640,0.012998,207
1404127342,,,,,,,,1776
1404127343,305,65256,0.001291,65256,0.003493,0.003540,0.012998,888
1404127344,,,,,,,,1422
1404127345,315,67766,0.001277,67766,0.003487,0.003369,0.012998,451
1404127346,,,,,,,,1631
1404127347,324,69816,0.001187,69816,0.003130,0.003003,0.009399,1230
1404127348,,,,,,,,1592
1404127349,334,72421,0.001175,72421,0.003121,0.002897,0.009399,206
1404127350,,,,,,,,1244
1404127351,343,73918,0.001166,73918,0.003120,0.002892,0.009399,803
1404127352,,,,,,,,1616
1404127353,353,76249,0.001150,76249,0.003107,0.002843,0.009399,557
1404127354,,,,,,,,378
1404127356,360,77246,0.001216,78041,0.003522,0.002892,0.012998,1930
