timestamp,tuples-emitted,tuples-received,process-mean,process-count,process-stddev,process-p95,process-p99,throughput
1404127281,1361,1364,0.125987,1413,0.078732,0.317792,0.336216,1648
1404127282,,,,,,,,743
1404127283,2704,2704,0.096843,2794,0.080619,0.260235,0.336013,316
1404127285,2910,2914,0.089836,3164,0.080338,0.255118,0.336013,2115
1404127286,,,,,,,,611
1404127287,5878,5878,0.061080,5878,0.054351,0.169019,0.318846,1228
1404127288,,,,,,,,815
1404127289,,,,,,,,17
1404127290,7881,7890,1.445126,8201,44.639387,0.158786,0.261523,2381
1404127291,10736,10736,1.437119,10736,44.639635,0.138666,0.253915,1784
1404127292,,,,,,,,848
1404127293,,,,,,,,302
1404127294,13277,13288,1.429835,14442,44.639859,0.108197,0.191155,1824
1404127295,14794,14794,1.429272,14794,44.639876,0.107202,0.191155,567
1404127296,,,,,,,,567
1404127297,16023,16023,1.425895,16368,44.618242,0.099693,0.185504,273
1404127298,,,,,,,,1117
1404127299,17381,17381,1.426039,17381,44.639976,0.098298,0.185570,791
1404127300,,,,,,,,981
1404127301,19089,19089,1.424814,19089,44.640013,0.093666,0.180018,1355
1404127302,,,,,,,,774
1404127303,,,,,,,,210
1404127304,21823,21836,1.421603,22826,44.640111,0.078835,0.180018,2205
1404127305,23623,23623,1.421292,23623,44.640121,0.077416,0.180018,1094
1404127306,,,,,,,,1281
1404127307,26332,26332,1.414114,27132,44.618342,0.074213,0.177391,511
1404127308,,,,,,,,1303
1404127309,27963,27963,1.415412,27963,44.640040,0.073692,0.176700,934
1404127310,,,,,,,,949
1404127311,29777,29777,1.414872,30717,44.640057,0.069621,0.176700,263
1404127312,,,,,,,,1965
1404127313,32092,32092,1.414373,32092,44.640072,0.067234,0.176700,1050
1404127314,,,,,,,,751
1404127315,34041,34041,0.022111,34041,0.029710,0.067141,0.173455,745
1404127316,,,,,,,,538
1404127317,36594,36594,0.021221,36594,0.029130,0.061958,0.173455,1774
1404127318,,,,,,,,938
1404127319,38065,38065,0.020690,38065,0.026441,0.054673,0.164741,1153
1404127320,,,,,,,,379
1404127321,39866,39866,0.020035,40769,0.025719,0.050062,0.164741,806
1404127322,,,,,,,,1036
1404127323,41192,41192,0.019996,41192,0.025729,0.050062,0.164741,610
1404127324,,,,,,,,705
1404127325,43907,43907,0.019350,44282,0.024538,0.045523,0.150990,1694
1404127326,,,,,,,,1059
1404127327,45310,45310,0.019277,45310,0.024441,0.045168,0.151360,2553
1404127328,,,,,,,,1694
1404127329,49602,49602,0.018658,50169,0.024033,0.042740,0.151360,393
1404127330,,,,,,,,1026
1404127331,50880,50880,0.018653,50880,0.024014,0.042740,0.151360,673
1404127332,,,,,,,,752
1404127333,52563,52563,0.018587,52563,0.023536,0.042740,0.122377,713
1404127335,54782,54782,0.018240,54782,0.023536,0.042283,0.122377,4301
1404127336,,,,,,,,957
1404127337,58446,58446,0.017599,58752,0.022528,0.037662,0.112962,429
1404127338,,,,,,,,2496
1404127339,61298,61298,0.017264,61298,0.022377,0.033440,0.111975,1109
1404127340,,,,,,,,979
1404127341,63233,63233,0.016989,63436,0.021237,0.031616,0.095442,207
1404127342,,,,,,,,1776
1404127343,65256,65256,0.016678,65256,0.021091,0.029800,0.091815,888
1404127344,,,,,,,,1422
1404127345,67766,67766,0.016829,67948,0.020985,0.029800,0.091815,451
1404127346,,,,,,,,1631
1404127347,69816,69816,0.016587,69816,0.020994,0.029586,0.091815,1230
1404127348,,,,,,,,1592
1404127349,72421,72421,0.016091,72569,0.018107,0.028800,0.079704,206
1404127350,,,,,,,,1244
1404127351,73918,73918,0.016004,73918,0.018005,0.027780,0.079704,803
1404127352,,,,,,,,1616
1404127353,76249,76249,0.016073,76249,0.017917,0.027398,0.079704,557
1404127354,,,,,,,,378
1404127356,77292,77298,0.016006,78169,0.017912,0.027398,0.079704,1930
1404127357,79345,79345,0.016009,79345,0.017961,0.027398,0.081500,945
1404127358,,,,,,,,696
1404127359,80915,80915,0.015746,81561,0.016195,0.026042,0.079648,334
1404127360,,,,,,,,933
1404127361,82491,82491,0.015695,82491,0.016205,0.025503,0.079704,1236
1404127362,,,,,,,,1059
1404127363,84313,84313,0.015759,84613,0.016232,0.026092,0.079704,174
1404127364,,,,,,,,1326
1404127365,86687,86687,0.015546,86687,0.016239,0.025503,0.079704,1569
1404127366,,,,,,,,811
1404127367,88861,88861,0.015490,89017,0.015845,0.025193,0.073422,846
1404127368,,,,,,,,1915
1404127369,91402,91402,0.015383,91402,0.015713,0.025029,0.066459,1123
1404127370,,,,,,,,562
1404127371,92852,92852,0.015510,92992,0.015743,0.025193,0.066459,395
1404127372,,,,,,,,1807
1404127373,95029,95029,0.015306,95029,0.015747,0.022886,0.066459,742
1404127374,,,,,,,,754
1404127375,96284,96284,0.015396,96284,0.015698,0.022662,0.066459,720
1404127376,,,,,,,,118
1404127377,97241,97247,0.015292,98166,0.015703,0.022529,0.066459,1721
1404127378,,,,,,,,956
1404127379,100019,100019,0.015202,100019,0.015425,0.021621,0.061465,1252
1404127380,,,,,,,,227
1404127381,101456,101464,0.015067,102403,0.015351,0.021193,0.056828,1466
1404127382,,,,,,,,848
1404127383,103810,103810,0.015081,103810,0.015305,0.021082,0.056828,882
1404127384,,,,,,,,1001
1404127386,105667,105674,0.015023,106784,0.015288,0.020861,0.056828,1988
1404127387,108009,108009,0.015032,108009,0.015251,0.020708,0.056828,1245
1404127388,,,,,,,,611
1404127389,,,,,,,,252
1404127390,109467,109474,0.015102,110414,0.015280,0.020708,0.056828,2004
1404127391,111691,111691,0.014968,111691,0.015084,0.020581,0.055465,1210
1404127392,,,,,,,,804
1404127394,113757,113764,0.015054,114583,0.015061,0.020320,0.055465,2489
1404127395,116078,116078,0.014788,116181,0.014594,0.019791,0.051606,723
1404127396,,,,,,,,573
1404127397,117295,117295,0.014880,118174,0.014631,0.019987,0.053253,74
1404127398,,,,,,,,1215
1404127399,119020,119020,0.014895,119020,0.014636,0.019988,0.053271,948
1404127400,,,,,,,,858
1404127401,120943,120943,0.014859,121810,0.014417,0.020072,0.051606,631
1404127402,,,,,,,,2013
1404127403,123148,123148,0.014411,123148,0.010309,0.019954,0.050725,737
1404127404,,,,,,,,855
1404127405,,,,,,,,167
1404127406,125030,125036,0.014442,126013,0.010275,0.019805,0.050725,1434
1404127407,126341,126341,0.014480,126341,0.010269,0.019805,0.050725,512
1404127408,,,,,,,,748
1404127409,127670,127670,0.014555,128439,0.010252,0.019761,0.050725,269
1404127410,,,,,,,,1125
1404127411,129075,129075,0.014517,129075,0.010261,0.019761,0.050725,897
1404127412,,,,,,,,766
1404127413,130696,130696,0.014500,131394,0.010072,0.019761,0.050681,242
1404127414,,,,,,,,1589
1404127415,132576,132576,0.014401,132576,0.010090,0.019761,0.050681,889
1404127416,,,,,,,,865
1404127417,134347,134347,0.014431,135085,0.009995,0.019727,0.049144,312
1404127418,,,,,,,,1404
1404127419,136133,136133,0.014394,136133,0.009952,0.019680,0.049144,878
1404127420,,,,,,,,975
1404127421,137814,137814,0.014214,138636,0.008388,0.019072,0.043406,214
1404127422,,,,,,,,990
1404127423,139256,139256,0.014240,139256,0.008387,0.019119,0.043406,948
1404127424,,,,,,,,1162
1404127425,142890,142897,0.014044,142994,0.008422,0.019119,0.043406,2367
1404127426,,,,,,,,1002
1404127427,144748,144748,0.014093,145068,0.008418,0.019343,0.043406,471
1404127428,,,,,,,,1094
1404127429,146055,146055,0.014047,146055,0.008420,0.019119,0.043406,924
1404127430,,,,,,,,613
1404127431,147726,147726,0.014006,148147,0.008354,0.019343,0.040760,351
1404127432,,,,,,,,1614
1404127433,149540,149540,0.013888,149540,0.008262,0.019119,0.035745,566
1404127434,,,,,,,,838
1404127435,151690,151690,0.013865,152526,0.007860,0.019119,0.035745,950
1404127436,,,,,,,,1831
1404127437,153712,153712,0.013813,153712,0.007863,0.019033,0.035745,629
1404127438,,,,,,,,1061
1404127440,155531,155538,0.013710,156687,0.007703,0.018874,0.027183,2452
1404127441,157968,157968,0.013765,158163,0.007689,0.018874,0.027183,310
1404127442,,,,,,,,1001
1404127443,159355,159355,0.013688,159355,0.007668,0.018904,0.026254,842
1404127444,,,,,,,,1612
1404127445,161677,161677,0.013684,162300,0.007670,0.018904,0.026254,258
1404127446,,,,,,,,1251
1404127447,163569,163569,0.013632,163569,0.007666,0.018904,0.026254,1047
1404127448,,,,,,,,545
1404127449,164827,164827,0.013633,165680,0.007669,0.018977,0.026254,311
1404127450,,,,,,,,1467
1404127451,166648,166648,0.013567,166648,0.007658,0.018904,0.026189,812
1404127452,,,,,,,,370
1404127454,167789,167796,0.013550,168351,0.007645,0.018648,0.026189,1631
1404127455,169355,169355,0.013620,169355,0.007649,0.018823,0.027183,253
1404127456,,,,,,,,1341
1404127457,171023,171023,0.013486,171023,0.007574,0.018823,0.026158,1097
1404127458,,,,,,,,993
1404127459,172941,172941,0.013421,173581,0.005081,0.018648,0.024201,159
1404127460,,,,,,,,1363
1404127461,174681,174681,0.013366,174681,0.005091,0.018648,0.024201,805
1404127462,,,,,,,,997
1404127463,,,,,,,,316
1404127464,176695,176702,0.013410,177908,0.005241,0.018760,0.025905,1715
1404127465,178385,178385,0.013462,178542,0.005235,0.018760,0.025905,254
1404127467,178853,178860,0.013388,179561,0.005251,0.018760,0.025905,1333
1404127468,,,,,,,,858
1404127469,180892,180892,0.013426,181528,0.005247,0.018807,0.025905,319
1404127470,,,,,,,,1531
1404127471,182720,182720,0.013359,182720,0.005258,0.018760,0.025905,726
1404127472,,,,,,,,1318
1404127473,,,,,,,,104
1404127474,184774,184780,0.013405,185727,0.005298,0.018844,0.027183,2801
1404127475,187682,187682,0.013346,188229,0.005469,0.018807,0.028448,316
1404127476,,,,,,,,2971
1404127477,190957,190957,0.013072,190957,0.005419,0.018663,0.027183,507
1404127479,196238,196238,0.012875,196238,0.005265,0.018382,0.023931,5331
1404127481,197842,197842,0.012776,197842,0.005264,0.018290,0.023931,1936
1404127482,,,,,,,,798
1404127483,199606,199606,0.012834,200324,0.005268,0.018290,0.023931,387
1404127484,,,,,,,,2113
1404127485,202248,202248,0.012755,202248,0.005243,0.018192,0.022870,685
1404127487,203903,203903,0.012689,203903,0.005251,0.018192,0.022870,2463
1404127488,,,,,,,,1720
1404127489,206928,206928,0.012796,207667,0.005060,0.018192,0.022671,346
1404127490,,,,,,,,740
1404127491,207848,207848,0.012819,207848,0.005063,0.018238,0.022671,232
1404127492,,,,,,,,1673
1404127493,209820,209820,0.012764,209820,0.005058,0.018164,0.022671,591
1404127494,,,,,,,,659
1404127495,211116,211116,0.012833,212024,0.005053,0.018184,0.022868,299
1404127496,,,,,,,,1180
1404127497,212641,212641,0.012838,212641,0.005054,0.018238,0.022870,730
1404127499,213243,213248,0.012863,214225,0.005044,0.018202,0.022870,1669
1404127500,,,,,,,,780
1404127501,216003,216003,0.012924,216863,0.005033,0.018202,0.022870,533
1404127502,,,,,,,,1491
1404127503,217704,217704,0.012849,217704,0.005040,0.018202,0.022870,638
1404127504,,,,,,,,17
1404127505,218418,218425,0.012824,219798,0.005017,0.018202,0.022870,2888
1404127506,,,,,,,,883
1404127507,222273,222273,0.012890,223162,0.005019,0.018279,0.022870,359
1404127508,,,,,,,,890
1404127509,223493,223493,0.012931,223493,0.005018,0.018279,0.022870,332
1404127510,,,,,,,,1361
1404127511,225293,225293,0.012924,225293,0.005014,0.018202,0.022870,982
1404127512,,,,,,,,599
1404127513,226840,226840,0.013004,227795,0.005015,0.018328,0.022868,409
1404127514,,,,,,,,1140
1404127515,228341,228341,0.012994,228341,0.005015,0.018332,0.022870,544
1404127517,229971,229971,0.013011,229971,0.005023,0.018374,0.022870,2083
1404127518,,,,,,,,830
1404127519,231663,231663,0.013057,232595,0.005014,0.018385,0.022870,231
1404127520,,,,,,,,933
1404127521,232936,232936,0.013064,232936,0.005005,0.018383,0.022870,857
1404127522,,,,,,,,108
1404127523,233832,233837,0.013029,235090,0.005013,0.018385,0.023132,2060
1404127524,,,,,,,,1053
1404127525,236906,236906,0.013147,237863,0.005182,0.018506,0.023257,238
1404127526,,,,,,,,1111
1404127527,238376,238376,0.013206,238376,0.005270,0.018549,0.025656,668
1404127529,240501,240501,0.013125,240501,0.005285,0.018580,0.025945,2343
1404127530,,,,,,,,748
1404127531,242139,242139,0.013117,243110,0.005278,0.018487,0.023984,368
1404127532,,,,,,,,1079
1404127533,243387,243387,0.013082,243387,0.005281,0.018487,0.023984,584
1404127535,244851,244851,0.013094,244851,0.005419,0.018475,0.025945,1562
1404127536,,,,,,,,794
1404127537,246736,246736,0.013229,247585,0.005652,0.018580,0.030151,583
1404127538,,,,,,,,1093
1404127539,248217,248217,0.013199,248217,0.005651,0.018549,0.030151,749
1404127540,,,,,,,,231
1404127541,249062,249068,0.013165,249684,0.005663,0.018639,0.030151,879
1404127542,,,,,,,,1125
1404127543,251116,251116,0.013163,251772,0.005489,0.018475,0.027594,309
1404127544,,,,,,,,737
1404127545,252155,252155,0.013162,252155,0.005488,0.018475,0.027594,1072
1404127546,,,,,,,,880
1404127548,254033,254038,0.013344,255264,0.005932,0.018549,0.038958,2021
1404127549,256079,256079,0.013330,256665,0.005924,0.018506,0.038958,258
1404127550,,,,,,,,1049
1404127551,257414,257414,0.013293,257414,0.005929,0.018506,0.038958,721
1404127552,,,,,,,,1292
1404127553,259430,259437,0.013248,260712,0.005750,0.018418,0.030121,1908
1404127554,,,,,,,,633
1404127555,262080,262080,0.013302,262793,0.005770,0.018853,0.030151,404
1404127556,,,,,,,,1071
1404127557,263478,263478,0.013301,263478,0.005765,0.018853,0.030151,784
1404127558,,,,,,,,240
1404127560,264423,264428,0.013300,265551,0.005892,0.018835,0.038958,2665
1404127561,267135,267135,0.013217,268013,0.005752,0.018644,0.030151,300
1404127562,,,,,,,,1356
1404127563,268741,268741,0.013209,268741,0.005751,0.018644,0.030151,850
1404127565,271595,271595,0.013064,271595,0.005761,0.018555,0.030151,2880
1404127566,,,,,,,,736
1404127567,273183,273183,0.013070,274033,0.005745,0.018506,0.030151,231
1404127568,,,,,,,,851
1404127569,274584,274584,0.013105,274584,0.005675,0.018494,0.027594,552
1404127570,,,,,,,,1479
1404127571,276652,276652,0.013029,276652,0.005376,0.018444,0.026193,1143
1404127572,,,,,,,,1139
1404127573,278635,278635,0.013118,279757,0.006074,0.018341,0.027594,294
1404127574,,,,,,,,1262
1404127575,280276,280276,0.013128,280519,0.006078,0.018341,0.027594,381
1404127576,,,,,,,,1402
1404127577,281854,281854,0.013041,281854,0.006084,0.018280,0.027594,662
1404127578,,,,,,,,1184
1404127579,283703,283703,0.013091,284816,0.006066,0.018215,0.027594,183
1404127580,,,,,,,,1608
1404127581,285534,285534,0.013010,285749,0.005933,0.018202,0.025945,225
1404127582,,,,,,,,1008
1404127583,286746,286746,0.012958,286746,0.005940,0.018172,0.025945,718
1404127584,,,,,,,,808
1404127585,288297,288297,0.013056,289243,0.006079,0.018265,0.027594,233
1404127586,,,,,,,,2702
1404127587,291253,291253,0.012979,291632,0.006084,0.018259,0.027594,256
1404127588,,,,,,,,1327
1404127589,292943,292943,0.012901,292943,0.006093,0.018219,0.027594,950
1404127590,,,,,,,,793
1404127591,294594,294594,0.012919,295776,0.006055,0.018214,0.025945,275
1404127592,,,,,,,,1236
1404127593,296142,296142,0.012923,296446,0.006087,0.018237,0.027594,314
1404127594,,,,,,,,1027
1404127595,297414,297414,0.012872,297414,0.006096,0.018237,0.027594,560
1404127596,,,,,,,,1155
1404127597,299155,299155,0.012933,300232,0.005850,0.018224,0.025945,275
1404127598,,,,,,,,2116
1404127599,301502,301502,0.012886,301795,0.005850,0.018214,0.025945,233
1404127600,,,,,,,,1237
1404127601,303002,303002,0.012833,303002,0.005885,0.018214,0.030525,1225
1404127602,,,,,,,,990
1404127603,305389,305389,0.012896,306459,0.005847,0.018146,0.025945,439
1404127604,,,,,,,,1071
1404127605,306634,306634,0.012886,306921,0.005848,0.018146,0.025945,176
1404127606,,,,,,,,1042
1404127607,308564,308564,0.012956,308564,0.005890,0.018177,0.029944,1304
1404127608,,,,,,,,1319
1404127609,310460,310460,0.012995,311688,0.005817,0.018202,0.029944,165
1404127610,,,,,,,,2180
1404127611,312934,312934,0.012771,313522,0.005049,0.018146,0.026548,296
1404127612,,,,,,,,2163
1404127613,315617,315617,0.012665,315617,0.005042,0.018123,0.026548,1035
1404127614,,,,,,,,73
1404127615,316364,316369,0.012641,317688,0.004880,0.018086,0.026063,1903
1404127616,,,,,,,,859
1404127617,319236,319236,0.012724,320131,0.004890,0.018177,0.026063,275
1404127618,,,,,,,,1170
1404127619,320662,320662,0.012801,320662,0.005002,0.018259,0.029944,661
1404127620,,,,,,,,188
1404127621,321490,321497,0.012899,322525,0.005010,0.018280,0.029944,3036
1404127622,,,,,,,,1501
1404127623,326071,326077,0.012762,327397,0.004990,0.018254,0.029944,1832
1404127624,,,,,,,,1324
1404127625,329374,329374,0.012717,330260,0.004830,0.018219,0.026548,434
1404127626,,,,,,,,887
1404127627,330443,330443,0.012722,330443,0.004827,0.018219,0.026548,969
1404127629,332029,332029,0.012715,332029,0.004834,0.018185,0.026548,1289
1404127630,,,,,,,,726
1404127631,333430,333430,0.012791,334092,0.004835,0.018219,0.026548,190
1404127632,,,,,,,,1087
1404127633,334674,334674,0.012765,334674,0.004835,0.018219,0.026548,502
1404127634,,,,,,,,618
1404127635,335839,335839,0.012934,336381,0.005057,0.018243,0.031768,206
1404127636,,,,,,,,3735
1404127638,340443,340448,0.012466,343026,0.004832,0.018024,0.029944,4465
