t,value
1407251904,382205952
1407251906,525860864
1407251908,411566080
1407251910,283639808
1407251912,200278016
1407251914,196083712
1407251916,211812352
1407251918,177209344
1407251920,209190912
1407251922,202899456
1407251924,225443840
1407251926,188219392
1407251928,209190912
1407251930,209190912
1407251932,240648192
1407251934,165150720
1407251936,208666624
1407251938,159383552
1407251940,150470656
1407251942,187695104
1407251944,211288064
1407251946,165150720
1407251948,192413696
1407251950,180879360
1407251952,205520896
1407251954,186122240
1407251956,199753728
1407251958,217055232
1407251960,163577856
1407251962,171966464
1407251964,256901120
1407251966,247463936
1407251968,247463936
1407251970,247463936
1407251972,247463936
1407251974,247463936
1407251976,238551040
