t,value
1407251904,238420216
1407251906,39660960
1407251908,218352688
1407251910,179891328
1407251912,54213344
1407251914,119516016
1407251916,116280392
1407251918,108245688
1407251920,58776784
1407251922,148165088
1407251924,55639920
1407251926,90843496
1407251928,117200064
1407251930,78741152
1407251932,86955128
1407251934,69808032
1407251936,13708816
1407251938,134289000
1407251940,24613824
1407251942,134578392
1407251944,165280720
1407251946,40650560
1407251948,108114592
1407251950,105703736
1407251952,117384448
1407251954,163676544
1407251956,110405568
1407251958,91228872
1407251960,71781344
1407251962,23521824
1407251964,209493728
1407251966,31229456
1407251968,75296600
1407251970,119380984
1407251972,162517352
1407251974,206590560
1407251976,39167496
